[842, 1191]
[headline, [78.0, 50.0, 310.0, 25.5], wyhmgKq3Ju, 5763166]
[headline, [78.0, 75.5, 310.0, 25.5], wyhmgKq3Ju, 5763166]
[headline, [78.0, 101.0, 310.0, 25.5], wyhmgKq3Ju, 5763166]
[headline, [78.0, 126.5, 310.0, 25.5], wyhmgKq3Ju, 5763166]
[figure-caption, [851.0, 200.0, 280.0, 18.0], shoonya_3s9B65F028EC52, 5763166]
[figure-caption, [851.0, 218.0, 280.0, 18.0], shoonya_3s9B65F028EC52, 5763166]
[figure-caption, [851.0, 236.0, 280.0, 18.0], shoonya_3s9B65F028EC52, 5763166]
[paragraph, [75.0, 223.0, 342.0, 18.0], wypbqy7ZYC, 5763166]
[paragraph, [75.0, 241.0, 342.0, 18.0], wypbqy7ZYC, 5763166]
[paragraph, [75.0, 259.0, 342.0, 18.0], wypbqy7ZYC, 5763166]
[paragraph, [75.0, 277.0, 342.0, 18.0], wypbqy7ZYC, 5763166]
[paragraph, [842.0, 406.0, 287.0, 18.0], tc8tDqQqii, 5763166]
[paragraph, [842.0, 424.0, 287.0, 18.0], tc8tDqQqii, 5763166]
[paragraph, [848.0, 447.0, 280.0, 18.0], 7lNtVAb3K5, 5763166]
[paragraph, [848.0, 465.0, 280.0, 18.0], 7lNtVAb3K5, 5763166]
[paragraph, [848.0, 483.0, 280.0, 18.0], 7lNtVAb3K5, 5763166]
[paragraph, [848.0, 514.0, 285.0, 18.0], vyKXRAVU_U, 5763166]
[paragraph, [848.0, 532.0, 285.0, 18.0], vyKXRAVU_U, 5763166]
[paragraph, [848.0, 550.0, 285.0, 18.0], vyKXRAVU_U, 5763166]
[paragraph, [335.0, 551.0, 210.0, 18.0], shoonya_10sLHSTP2C79O7, 5763166]
[paragraph, [335.0, 569.0, 210.0, 18.0], shoonya_10sLHSTP2C79O7, 5763166]
[paragraph, [335.0, 587.0, 210.0, 18.0], shoonya_10sLHSTP2C79O7, 5763166]
[paragraph, [335.0, 605.0, 210.0, 18.0], shoonya_10sLHSTP2C79O7, 5763166]
[paragraph, [85.0, 553.0, 214.0, 18.0], shoonya_8sDX8IXMXU4Z5X, 5763166]
[paragraph, [85.0, 571.0, 214.0, 18.0], shoonya_8sDX8IXMXU4Z5X, 5763166]
[paragraph, [85.0, 589.0, 214.0, 18.0], shoonya_8sDX8IXMXU4Z5X, 5763166]
[paragraph, [85.0, 607.0, 214.0, 18.0], shoonya_8sDX8IXMXU4Z5X, 5763166]
[paragraph, [85.0, 625.0, 214.0, 18.0], shoonya_8sDX8IXMXU4Z5X, 5763166]
[paragraph, [85.0, 643.0, 214.0, 18.0], shoonya_8sDX8IXMXU4Z5X, 5763166]
[paragraph, [329.0, 632.0, 220.0, 18.0], shoonya_13sK3JULX6WFGW, 5763166]
[paragraph, [329.0, 650.0, 220.0, 18.0], shoonya_13sK3JULX6WFGW, 5763166]
[paragraph, [329.0, 668.0, 220.0, 18.0], shoonya_13sK3JULX6WFGW, 5763166]
[paragraph, [329.0, 686.0, 220.0, 18.0], shoonya_13sK3JULX6WFGW, 5763166]
[paragraph, [329.0, 704.0, 220.0, 18.0], shoonya_13sK3JULX6WFGW, 5763166]
[paragraph, [329.0, 722.0, 220.0, 18.0], shoonya_13sK3JULX6WFGW, 5763166]
[paragraph, [86.0, 672.0, 216.0, 18.0], shoonya_9s6JK9QNDE0MPN, 5763166]
[paragraph, [86.0, 690.0, 216.0, 18.0], shoonya_9s6JK9QNDE0MPN, 5763166]
[paragraph, [86.0, 708.0, 216.0, 18.0], shoonya_9s6JK9QNDE0MPN, 5763166]
[paragraph, [87.0, 732.0, 205.0, 18.0], shoonya_4s241OAD0TESD2, 5763166]
[paragraph, [87.0, 750.0, 205.0, 18.0], shoonya_4s241OAD0TESD2, 5763166]
[paragraph, [331.0, 761.0, 165.0, 18.0], HDBbpPwTxh, 5763166]
[figure-caption, [911.0, 769.0, 77.0, 18.0], j7NpWQgTfr, 5763166]
[figure-caption, [911.0, 787.0, 77.0, 18.0], j7NpWQgTfr, 5763166]
[figure-caption, [649.0, 771.0, 126.0, 18.0], P3IdsxN-AF, 5763166]
[figure-caption, [809.0, 771.0, 52.0, 18.0], SmUlLEWIrS, 5763166]
