[1387, 987]
[paragraph, [86.0, 84.0, 794.0, 18.0], shoonya_0sHQUTMZ7TW3R1, 5652343]
[paragraph, [86.0, 102.0, 794.0, 18.0], shoonya_0sHQUTMZ7TW3R1, 5652343]
[paragraph, [86.0, 120.0, 794.0, 18.0], shoonya_0sHQUTMZ7TW3R1, 5652343]
[paragraph, [86.0, 138.0, 794.0, 18.0], shoonya_0sHQUTMZ7TW3R1, 5652343]
[paragraph, [86.0, 156.0, 794.0, 18.0], shoonya_0sHQUTMZ7TW3R1, 5652343]
[paragraph, [86.0, 174.0, 794.0, 18.0], shoonya_0sHQUTMZ7TW3R1, 5652343]
[paragraph, [86.0, 192.0, 794.0, 18.0], shoonya_0sHQUTMZ7TW3R1, 5652343]
[paragraph, [86.0, 210.0, 794.0, 18.0], shoonya_0sHQUTMZ7TW3R1, 5652343]
[paragraph, [86.0, 228.0, 794.0, 18.0], shoonya_0sHQUTMZ7TW3R1, 5652343]
[paragraph, [86.0, 246.0, 794.0, 18.0], shoonya_0sHQUTMZ7TW3R1, 5652343]
[paragraph, [86.0, 264.0, 794.0, 18.0], shoonya_0sHQUTMZ7TW3R1, 5652343]
[paragraph, [86.0, 282.0, 794.0, 18.0], shoonya_0sHQUTMZ7TW3R1, 5652343]
[paragraph, [86.0, 300.0, 794.0, 18.0], shoonya_0sHQUTMZ7TW3R1, 5652343]
[paragraph, [86.0, 318.0, 794.0, 18.0], shoonya_0sHQUTMZ7TW3R1, 5652343]
[paragraph, [86.0, 336.0, 794.0, 18.0], shoonya_0sHQUTMZ7TW3R1, 5652343]
[paragraph, [86.0, 354.0, 794.0, 18.0], shoonya_0sHQUTMZ7TW3R1, 5652343]
[paragraph, [86.0, 372.0, 794.0, 18.0], shoonya_0sHQUTMZ7TW3R1, 5652343]
[paragraph, [86.0, 390.0, 794.0, 18.0], shoonya_0sHQUTMZ7TW3R1, 5652343]
[paragraph, [86.0, 408.0, 794.0, 18.0], shoonya_0sHQUTMZ7TW3R1, 5652343]
[paragraph, [86.0, 426.0, 794.0, 18.0], shoonya_0sHQUTMZ7TW3R1, 5652343]
[paragraph, [86.0, 444.0, 794.0, 18.0], shoonya_0sHQUTMZ7TW3R1, 5652343]
[paragraph, [86.0, 462.0, 794.0, 18.0], shoonya_0sHQUTMZ7TW3R1, 5652343]
[paragraph, [86.0, 480.0, 794.0, 18.0], shoonya_0sHQUTMZ7TW3R1, 5652343]
[paragraph, [86.0, 498.0, 794.0, 18.0], shoonya_0sHQUTMZ7TW3R1, 5652343]
[paragraph, [86.0, 516.0, 794.0, 18.0], shoonya_0sHQUTMZ7TW3R1, 5652343]
[paragraph, [86.0, 534.0, 794.0, 18.0], shoonya_0sHQUTMZ7TW3R1, 5652343]
[paragraph, [78.0, 565.0, 784.0, 18.0], vYLNB748Qo, 5652343]
[paragraph, [78.0, 583.0, 784.0, 18.0], vYLNB748Qo, 5652343]
[paragraph, [78.0, 601.0, 784.0, 18.0], vYLNB748Qo, 5652343]
[paragraph, [78.0, 619.0, 784.0, 18.0], vYLNB748Qo, 5652343]
[paragraph, [78.0, 637.0, 784.0, 18.0], vYLNB748Qo, 5652343]
[paragraph, [78.0, 655.0, 784.0, 18.0], vYLNB748Qo, 5652343]
[paragraph, [78.0, 673.0, 784.0, 18.0], vYLNB748Qo, 5652343]
[paragraph, [78.0, 691.0, 784.0, 18.0], vYLNB748Qo, 5652343]
[paragraph, [78.0, 709.0, 784.0, 18.0], vYLNB748Qo, 5652343]
[paragraph, [78.0, 727.0, 784.0, 18.0], vYLNB748Qo, 5652343]
[paragraph, [83.0, 753.0, 762.0, 18.0], WmGqh1v3I-, 5652343]
[paragraph, [83.0, 771.0, 762.0, 18.0], WmGqh1v3I-, 5652343]
[paragraph, [83.0, 789.0, 762.0, 18.0], WmGqh1v3I-, 5652343]
[paragraph, [83.0, 807.0, 762.0, 18.0], WmGqh1v3I-, 5652343]
[paragraph, [83.0, 825.0, 762.0, 18.0], WmGqh1v3I-, 5652343]
[paragraph, [83.0, 843.0, 762.0, 18.0], WmGqh1v3I-, 5652343]
[paragraph, [92.0, 874.0, 599.0, 18.0], 40shoNe0MV, 5652343]
[paragraph, [92.0, 892.0, 599.0, 18.0], 40shoNe0MV, 5652343]
[paragraph, [90.0, 939.0, 699.0, 18.0], AqglmPRvUE, 5652343]
[paragraph, [90.0, 957.0, 699.0, 18.0], AqglmPRvUE, 5652343]
[paragraph, [90.0, 975.0, 699.0, 18.0], AqglmPRvUE, 5652343]
[paragraph, [92.0, 1009.0, 771.0, 18.0], jhK_ClhXzr, 5652343]
[paragraph, [92.0, 1027.0, 771.0, 18.0], jhK_ClhXzr, 5652343]
[paragraph, [92.0, 1045.0, 771.0, 18.0], jhK_ClhXzr, 5652343]
[paragraph, [92.0, 1063.0, 771.0, 18.0], jhK_ClhXzr, 5652343]
[paragraph, [92.0, 1081.0, 771.0, 18.0], jhK_ClhXzr, 5652343]
[paragraph, [92.0, 1099.0, 771.0, 18.0], jhK_ClhXzr, 5652343]
[paragraph, [92.0, 1117.0, 771.0, 18.0], jhK_ClhXzr, 5652343]
[paragraph, [92.0, 1135.0, 771.0, 18.0], jhK_ClhXzr, 5652343]
[paragraph, [92.0, 1153.0, 771.0, 18.0], jhK_ClhXzr, 5652343]
