[2400, 1600]
[website-link, [982.0, 111.0, 241.0, 18.0], AkD_fE3BF9, 5660149]
[website-link, [1242.0, 117.0, 173.0, 18.0], _2UBj8bF40, 5660149]
[folio, [816.0, 151.0, 567.0, 36.0], 9vQWIje_tw, 5660149]
[paragraph, [151.0, 245.0, 1288.0, 36.0], 6bP8KJ2tyB, 5660149]
[paragraph, [151.0, 281.0, 1288.0, 36.0], 6bP8KJ2tyB, 5660149]
[paragraph, [151.0, 317.0, 1288.0, 36.0], 6bP8KJ2tyB, 5660149]
[paragraph, [158.0, 393.0, 1294.0, 36.0], shoonya_3sO74EIQSWLD1K, 5660149]
[paragraph, [158.0, 429.0, 1294.0, 36.0], shoonya_3sO74EIQSWLD1K, 5660149]
[paragraph, [158.0, 465.0, 1294.0, 36.0], shoonya_3sO74EIQSWLD1K, 5660149]
[paragraph, [158.0, 501.0, 1294.0, 36.0], shoonya_3sO74EIQSWLD1K, 5660149]
[paragraph, [158.0, 537.0, 1294.0, 36.0], shoonya_3sO74EIQSWLD1K, 5660149]
[paragraph, [149.0, 611.0, 1296.0, 36.0], shoonya_0s1T2WLF25TTW1, 5660149]
[paragraph, [149.0, 647.0, 1296.0, 36.0], shoonya_0s1T2WLF25TTW1, 5660149]
[paragraph, [149.0, 683.0, 1296.0, 36.0], shoonya_0s1T2WLF25TTW1, 5660149]
[paragraph, [149.0, 719.0, 1296.0, 36.0], shoonya_0s1T2WLF25TTW1, 5660149]
[paragraph, [149.0, 755.0, 1296.0, 36.0], shoonya_0s1T2WLF25TTW1, 5660149]
[paragraph, [149.0, 791.0, 1296.0, 36.0], shoonya_0s1T2WLF25TTW1, 5660149]
[paragraph, [149.0, 827.0, 1296.0, 36.0], shoonya_0s1T2WLF25TTW1, 5660149]
[paragraph, [149.0, 863.0, 1296.0, 36.0], shoonya_0s1T2WLF25TTW1, 5660149]
[paragraph, [149.0, 899.0, 1296.0, 36.0], shoonya_0s1T2WLF25TTW1, 5660149]
[paragraph, [149.0, 935.0, 1296.0, 36.0], shoonya_0s1T2WLF25TTW1, 5660149]
[paragraph, [149.0, 971.0, 1296.0, 36.0], shoonya_0s1T2WLF25TTW1, 5660149]
[paragraph, [149.0, 1007.0, 1296.0, 36.0], shoonya_0s1T2WLF25TTW1, 5660149]
[paragraph, [149.0, 1043.0, 1296.0, 36.0], shoonya_0s1T2WLF25TTW1, 5660149]
[paragraph, [149.0, 1079.0, 1296.0, 36.0], shoonya_0s1T2WLF25TTW1, 5660149]
[paragraph, [151.0, 1156.0, 1287.0, 36.0], shoonya_2sR9PXWXLL9QZF, 5660149]
[paragraph, [151.0, 1192.0, 1287.0, 36.0], shoonya_2sR9PXWXLL9QZF, 5660149]
[paragraph, [151.0, 1228.0, 1287.0, 36.0], shoonya_2sR9PXWXLL9QZF, 5660149]
[paragraph, [151.0, 1264.0, 1287.0, 36.0], shoonya_2sR9PXWXLL9QZF, 5660149]
[paragraph, [151.0, 1300.0, 1287.0, 36.0], shoonya_2sR9PXWXLL9QZF, 5660149]
[paragraph, [151.0, 1336.0, 1287.0, 36.0], shoonya_2sR9PXWXLL9QZF, 5660149]
[paragraph, [151.0, 1372.0, 1287.0, 36.0], shoonya_2sR9PXWXLL9QZF, 5660149]
[paragraph, [151.0, 1408.0, 1287.0, 36.0], shoonya_2sR9PXWXLL9QZF, 5660149]
[paragraph, [151.0, 1444.0, 1287.0, 36.0], shoonya_2sR9PXWXLL9QZF, 5660149]
[paragraph, [151.0, 1480.0, 1287.0, 36.0], shoonya_2sR9PXWXLL9QZF, 5660149]
[paragraph, [151.0, 1516.0, 1287.0, 36.0], shoonya_2sR9PXWXLL9QZF, 5660149]
[paragraph, [151.0, 1552.0, 1287.0, 36.0], shoonya_2sR9PXWXLL9QZF, 5660149]
[paragraph, [151.0, 1588.0, 1287.0, 36.0], shoonya_2sR9PXWXLL9QZF, 5660149]
[paragraph, [151.0, 1624.0, 1287.0, 36.0], shoonya_2sR9PXWXLL9QZF, 5660149]
[paragraph, [151.0, 1660.0, 1287.0, 36.0], shoonya_2sR9PXWXLL9QZF, 5660149]
[paragraph, [147.0, 1705.0, 1292.0, 36.0], shoonya_1sDCS3W8H4K9VN, 5660149]
[paragraph, [147.0, 1741.0, 1292.0, 36.0], shoonya_1sDCS3W8H4K9VN, 5660149]
[paragraph, [147.0, 1777.0, 1292.0, 36.0], shoonya_1sDCS3W8H4K9VN, 5660149]
[paragraph, [147.0, 1813.0, 1292.0, 36.0], shoonya_1sDCS3W8H4K9VN, 5660149]
[paragraph, [147.0, 1849.0, 1292.0, 36.0], shoonya_1sDCS3W8H4K9VN, 5660149]
[paragraph, [147.0, 1885.0, 1292.0, 36.0], shoonya_1sDCS3W8H4K9VN, 5660149]
[paragraph, [147.0, 1921.0, 1292.0, 36.0], shoonya_1sDCS3W8H4K9VN, 5660149]
[paragraph, [147.0, 1957.0, 1292.0, 36.0], shoonya_1sDCS3W8H4K9VN, 5660149]
[paragraph, [147.0, 1993.0, 1292.0, 36.0], shoonya_1sDCS3W8H4K9VN, 5660149]
[paragraph, [147.0, 2029.0, 1292.0, 36.0], shoonya_1sDCS3W8H4K9VN, 5660149]
[paragraph, [147.0, 2065.0, 1292.0, 36.0], shoonya_1sDCS3W8H4K9VN, 5660149]
[paragraph, [147.0, 2101.0, 1292.0, 36.0], shoonya_1sDCS3W8H4K9VN, 5660149]
[paragraph, [147.0, 2137.0, 1292.0, 36.0], shoonya_1sDCS3W8H4K9VN, 5660149]
[paragraph, [147.0, 2173.0, 1292.0, 36.0], shoonya_1sDCS3W8H4K9VN, 5660149]
[paragraph, [147.0, 2209.0, 1292.0, 36.0], shoonya_1sDCS3W8H4K9VN, 5660149]
[footnote, [284.0, 2290.0, 1028.0, 36.0], golClcqSZw, 5660149]
[footnote, [284.0, 2326.0, 1028.0, 36.0], golClcqSZw, 5660149]
