[1725, 1313]
[paragraph, [726.0, 139.0, 464.0, 36.0], shoonya_5sWLW93TPE94C5, 5771378]
[paragraph, [726.0, 175.0, 464.0, 36.0], shoonya_5sWLW93TPE94C5, 5771378]
[paragraph, [726.0, 211.0, 464.0, 36.0], shoonya_5sWLW93TPE94C5, 5771378]
[paragraph, [726.0, 247.0, 464.0, 36.0], shoonya_5sWLW93TPE94C5, 5771378]
[paragraph, [726.0, 283.0, 464.0, 36.0], shoonya_5sWLW93TPE94C5, 5771378]
[paragraph, [726.0, 319.0, 464.0, 36.0], shoonya_5sWLW93TPE94C5, 5771378]
[paragraph, [726.0, 355.0, 464.0, 36.0], shoonya_5sWLW93TPE94C5, 5771378]
[paragraph, [658.0, 393.0, 529.0, 36.0], shoonya_3sMBLJQO5OPWUG, 5771378]
[paragraph, [658.0, 429.0, 529.0, 36.0], shoonya_3sMBLJQO5OPWUG, 5771378]
[paragraph, [658.0, 465.0, 529.0, 36.0], shoonya_3sMBLJQO5OPWUG, 5771378]
[paragraph, [658.0, 501.0, 529.0, 36.0], shoonya_3sMBLJQO5OPWUG, 5771378]
[paragraph, [658.0, 537.0, 529.0, 36.0], shoonya_3sMBLJQO5OPWUG, 5771378]
[paragraph, [658.0, 573.0, 529.0, 36.0], shoonya_3sMBLJQO5OPWUG, 5771378]
[paragraph, [658.0, 609.0, 529.0, 36.0], shoonya_3sMBLJQO5OPWUG, 5771378]
[paragraph, [658.0, 645.0, 529.0, 36.0], shoonya_3sMBLJQO5OPWUG, 5771378]
[paragraph, [658.0, 681.0, 529.0, 36.0], shoonya_3sMBLJQO5OPWUG, 5771378]
[paragraph, [658.0, 717.0, 529.0, 36.0], shoonya_3sMBLJQO5OPWUG, 5771378]
[section-title, [115.0, 399.0, 559.0, 49.5], shoonya_8sZV717X6XTWLX, 5771378]
[section-title, [115.0, 448.5, 559.0, 49.5], shoonya_8sZV717X6XTWLX, 5771378]
[section-title, [115.0, 498.0, 559.0, 49.5], shoonya_8sZV717X6XTWLX, 5771378]
[section-title, [115.0, 547.5, 559.0, 49.5], shoonya_8sZV717X6XTWLX, 5771378]
[section-title, [115.0, 597.0, 559.0, 49.5], shoonya_8sZV717X6XTWLX, 5771378]
[paragraph, [116.0, 720.0, 535.0, 36.0], shoonya_4sU7MZGJT0DQKA, 5771378]
[paragraph, [116.0, 756.0, 535.0, 36.0], shoonya_4sU7MZGJT0DQKA, 5771378]
[paragraph, [116.0, 792.0, 535.0, 36.0], shoonya_4sU7MZGJT0DQKA, 5771378]
[paragraph, [116.0, 828.0, 535.0, 36.0], shoonya_4sU7MZGJT0DQKA, 5771378]
[paragraph, [116.0, 864.0, 535.0, 36.0], shoonya_4sU7MZGJT0DQKA, 5771378]
[paragraph, [116.0, 900.0, 535.0, 36.0], shoonya_4sU7MZGJT0DQKA, 5771378]
[paragraph, [116.0, 936.0, 535.0, 36.0], shoonya_4sU7MZGJT0DQKA, 5771378]
[paragraph, [659.0, 785.0, 532.0, 36.0], shoonya_6sCT2H1J40IJH7, 5771378]
[paragraph, [659.0, 821.0, 532.0, 36.0], shoonya_6sCT2H1J40IJH7, 5771378]
[paragraph, [659.0, 857.0, 532.0, 36.0], shoonya_6sCT2H1J40IJH7, 5771378]
[paragraph, [659.0, 893.0, 532.0, 36.0], shoonya_6sCT2H1J40IJH7, 5771378]
[paragraph, [659.0, 929.0, 532.0, 36.0], shoonya_6sCT2H1J40IJH7, 5771378]
[paragraph, [659.0, 965.0, 532.0, 36.0], shoonya_6sCT2H1J40IJH7, 5771378]
[paragraph, [659.0, 1001.0, 532.0, 36.0], shoonya_6sCT2H1J40IJH7, 5771378]
[paragraph, [659.0, 1037.0, 532.0, 36.0], shoonya_6sCT2H1J40IJH7, 5771378]
[paragraph, [659.0, 1073.0, 532.0, 36.0], shoonya_6sCT2H1J40IJH7, 5771378]
[paragraph, [115.0, 993.0, 535.0, 36.0], shoonya_2sOXCQYZ2DSSLM, 5771378]
[paragraph, [115.0, 1029.0, 535.0, 36.0], shoonya_2sOXCQYZ2DSSLM, 5771378]
[paragraph, [115.0, 1065.0, 535.0, 36.0], shoonya_2sOXCQYZ2DSSLM, 5771378]
[paragraph, [115.0, 1101.0, 535.0, 36.0], shoonya_2sOXCQYZ2DSSLM, 5771378]
[paragraph, [115.0, 1137.0, 535.0, 36.0], shoonya_2sOXCQYZ2DSSLM, 5771378]
[paragraph, [115.0, 1173.0, 535.0, 36.0], shoonya_2sOXCQYZ2DSSLM, 5771378]
[paragraph, [115.0, 1209.0, 535.0, 36.0], shoonya_2sOXCQYZ2DSSLM, 5771378]
[paragraph, [658.0, 1148.0, 533.0, 36.0], shoonya_12s5S4E5XH4D74, 5771378]
[paragraph, [658.0, 1184.0, 533.0, 36.0], shoonya_12s5S4E5XH4D74, 5771378]
[paragraph, [658.0, 1220.0, 533.0, 36.0], shoonya_12s5S4E5XH4D74, 5771378]
[paragraph, [658.0, 1256.0, 533.0, 36.0], shoonya_12s5S4E5XH4D74, 5771378]
[paragraph, [658.0, 1292.0, 533.0, 36.0], shoonya_12s5S4E5XH4D74, 5771378]
[paragraph, [111.0, 1273.0, 537.0, 36.0], shoonya_0sN2TV9UK0RXEY, 5771378]
[paragraph, [111.0, 1309.0, 537.0, 36.0], shoonya_0sN2TV9UK0RXEY, 5771378]
[paragraph, [111.0, 1345.0, 537.0, 36.0], shoonya_0sN2TV9UK0RXEY, 5771378]
[paragraph, [111.0, 1381.0, 537.0, 36.0], shoonya_0sN2TV9UK0RXEY, 5771378]
[paragraph, [111.0, 1417.0, 537.0, 36.0], shoonya_0sN2TV9UK0RXEY, 5771378]
[paragraph, [111.0, 1453.0, 537.0, 36.0], shoonya_0sN2TV9UK0RXEY, 5771378]
[paragraph, [111.0, 1489.0, 537.0, 36.0], shoonya_0sN2TV9UK0RXEY, 5771378]
[paragraph, [111.0, 1525.0, 537.0, 36.0], shoonya_0sN2TV9UK0RXEY, 5771378]
[paragraph, [659.0, 1340.0, 531.0, 36.0], shoonya_11s17NWSIHS0HD, 5771378]
[paragraph, [659.0, 1376.0, 531.0, 36.0], shoonya_11s17NWSIHS0HD, 5771378]
[paragraph, [659.0, 1412.0, 531.0, 36.0], shoonya_11s17NWSIHS0HD, 5771378]
[footnote, [64.0, 1663.0, 330.0, 36.0], ZWt5eypBu1, 5771378]
