[2000, 1414]
[contact-info, [125.0, 151.0, 170.0, 36.0], CFIIAChudV, 6514285]
[headline, [784.0, 563.0, 509.0, 67.5], lti48EvOGf, 6514285]
[headline, [784.0, 630.5, 509.0, 67.5], lti48EvOGf, 6514285]
[headline, [784.0, 698.0, 509.0, 67.5], lti48EvOGf, 6514285]
[sub-headline, [771.0, 797.0, 345.0, 55.5], 7IEaYZIznJ, 6514285]
[paragraph, [125.0, 1132.0, 1011.0, 36.0], Nik-MWUS4e, 6514285]
[paragraph, [125.0, 1168.0, 1011.0, 36.0], Nik-MWUS4e, 6514285]
[paragraph, [125.0, 1204.0, 1011.0, 36.0], Nik-MWUS4e, 6514285]
[paragraph, [125.0, 1240.0, 1011.0, 36.0], Nik-MWUS4e, 6514285]
[paragraph, [100.0, 1368.0, 1043.0, 36.0], 9oxwGRH2n8, 6514285]
[paragraph, [100.0, 1404.0, 1043.0, 36.0], 9oxwGRH2n8, 6514285]
[paragraph, [100.0, 1440.0, 1043.0, 36.0], 9oxwGRH2n8, 6514285]
[paragraph, [100.0, 1476.0, 1043.0, 36.0], 9oxwGRH2n8, 6514285]
[paragraph, [100.0, 1512.0, 1043.0, 36.0], 9oxwGRH2n8, 6514285]
[contact-info, [739.0, 1787.0, 419.0, 36.0], o2X_i4Hgs8, 6514285]
[contact-info, [739.0, 1823.0, 419.0, 36.0], o2X_i4Hgs8, 6514285]
[website-link, [217.0, 1803.0, 449.0, 18.0], Q1T7u5eU1W, 6514285]
[website-link, [217.0, 1821.0, 449.0, 18.0], Q1T7u5eU1W, 6514285]
[website-link, [217.0, 1839.0, 449.0, 18.0], Q1T7u5eU1W, 6514285]
