[1684, 1191]
[folio, [382.0, 80.0, 436.0, 36.0], shoonya_0sYDBSZ3BU5URR, 6464110]
[folio, [382.0, 116.0, 436.0, 36.0], shoonya_0sYDBSZ3BU5URR, 6464110]
[paragraph, [84.0, 174.0, 1025.0, 36.0], czVyt6wNTx, 6464110]
[paragraph, [84.0, 210.0, 1025.0, 36.0], czVyt6wNTx, 6464110]
[paragraph, [84.0, 246.0, 1025.0, 36.0], czVyt6wNTx, 6464110]
[paragraph, [84.0, 282.0, 1025.0, 36.0], czVyt6wNTx, 6464110]
[paragraph, [84.0, 318.0, 1025.0, 36.0], czVyt6wNTx, 6464110]
[paragraph, [84.0, 354.0, 1025.0, 36.0], czVyt6wNTx, 6464110]
[paragraph, [84.0, 390.0, 1025.0, 36.0], czVyt6wNTx, 6464110]
[section-title, [369.0, 453.0, 445.0, 49.5], hTxnKATIaT, 6464110]
[paragraph, [87.0, 520.0, 1028.0, 36.0], MPfKVVFjBU, 6464110]
[paragraph, [87.0, 556.0, 1028.0, 36.0], MPfKVVFjBU, 6464110]
[paragraph, [87.0, 592.0, 1028.0, 36.0], MPfKVVFjBU, 6464110]
[paragraph, [87.0, 628.0, 1028.0, 36.0], MPfKVVFjBU, 6464110]
[paragraph, [87.0, 664.0, 1028.0, 36.0], MPfKVVFjBU, 6464110]
[paragraph, [87.0, 700.0, 1028.0, 36.0], MPfKVVFjBU, 6464110]
[paragraph, [84.0, 748.0, 1028.0, 36.0], txvv2Yz5wv, 6464110]
[paragraph, [84.0, 784.0, 1028.0, 36.0], txvv2Yz5wv, 6464110]
[paragraph, [84.0, 820.0, 1028.0, 36.0], txvv2Yz5wv, 6464110]
[paragraph, [84.0, 856.0, 1028.0, 36.0], txvv2Yz5wv, 6464110]
[paragraph, [84.0, 892.0, 1028.0, 36.0], txvv2Yz5wv, 6464110]
[paragraph, [84.0, 928.0, 1028.0, 36.0], txvv2Yz5wv, 6464110]
[paragraph, [84.0, 964.0, 1028.0, 36.0], txvv2Yz5wv, 6464110]
[paragraph, [84.0, 1000.0, 1028.0, 36.0], txvv2Yz5wv, 6464110]
[paragraph, [84.0, 1036.0, 1028.0, 36.0], txvv2Yz5wv, 6464110]
[paragraph, [84.0, 1072.0, 1028.0, 36.0], txvv2Yz5wv, 6464110]
[paragraph, [84.0, 1108.0, 1028.0, 36.0], txvv2Yz5wv, 6464110]
[paragraph, [89.0, 1154.0, 1032.0, 36.0], MkB7WTz2Am, 6464110]
[paragraph, [89.0, 1190.0, 1032.0, 36.0], MkB7WTz2Am, 6464110]
[paragraph, [89.0, 1226.0, 1032.0, 36.0], MkB7WTz2Am, 6464110]
[paragraph, [89.0, 1262.0, 1032.0, 36.0], MkB7WTz2Am, 6464110]
[paragraph, [89.0, 1298.0, 1032.0, 36.0], MkB7WTz2Am, 6464110]
[paragraph, [89.0, 1334.0, 1032.0, 36.0], MkB7WTz2Am, 6464110]
[paragraph, [89.0, 1370.0, 1032.0, 36.0], MkB7WTz2Am, 6464110]
[paragraph, [89.0, 1406.0, 1032.0, 36.0], MkB7WTz2Am, 6464110]
[paragraph, [89.0, 1442.0, 1032.0, 36.0], MkB7WTz2Am, 6464110]
