[1050, 693]
[paragraph, [83.0, 459.0, 525.0, 18.0], shoonya_1s8CVIOUE2BTES, 5702623]
[paragraph, [83.0, 477.0, 525.0, 18.0], shoonya_1s8CVIOUE2BTES, 5702623]
[paragraph, [83.0, 495.0, 525.0, 18.0], shoonya_1s8CVIOUE2BTES, 5702623]
[paragraph, [83.0, 513.0, 525.0, 18.0], shoonya_1s8CVIOUE2BTES, 5702623]
[paragraph, [83.0, 531.0, 525.0, 18.0], shoonya_1s8CVIOUE2BTES, 5702623]
[paragraph, [83.0, 549.0, 525.0, 18.0], shoonya_1s8CVIOUE2BTES, 5702623]
[paragraph, [81.0, 580.0, 526.0, 18.0], shoonya_0s36AA0QVS1MF1, 5702623]
[paragraph, [81.0, 598.0, 526.0, 18.0], shoonya_0s36AA0QVS1MF1, 5702623]
[paragraph, [81.0, 616.0, 526.0, 18.0], shoonya_0s36AA0QVS1MF1, 5702623]
[paragraph, [81.0, 634.0, 526.0, 18.0], shoonya_0s36AA0QVS1MF1, 5702623]
[paragraph, [81.0, 652.0, 526.0, 18.0], shoonya_0s36AA0QVS1MF1, 5702623]
[paragraph, [81.0, 670.0, 526.0, 18.0], shoonya_0s36AA0QVS1MF1, 5702623]
[paragraph, [81.0, 688.0, 526.0, 18.0], shoonya_0s36AA0QVS1MF1, 5702623]
[paragraph, [81.0, 706.0, 526.0, 18.0], shoonya_0s36AA0QVS1MF1, 5702623]
[paragraph, [81.0, 724.0, 526.0, 18.0], shoonya_0s36AA0QVS1MF1, 5702623]
[paragraph, [81.0, 742.0, 526.0, 18.0], shoonya_0s36AA0QVS1MF1, 5702623]
[paragraph, [81.0, 760.0, 526.0, 18.0], shoonya_0s36AA0QVS1MF1, 5702623]
[paragraph, [81.0, 778.0, 526.0, 18.0], shoonya_0s36AA0QVS1MF1, 5702623]
[paragraph, [81.0, 796.0, 526.0, 18.0], shoonya_0s36AA0QVS1MF1, 5702623]
[paragraph, [71.0, 843.0, 543.0, 18.0], eV1QyAlAoW, 5702623]
[paragraph, [71.0, 861.0, 543.0, 18.0], eV1QyAlAoW, 5702623]
[paragraph, [71.0, 879.0, 543.0, 18.0], eV1QyAlAoW, 5702623]
[paragraph, [71.0, 897.0, 543.0, 18.0], eV1QyAlAoW, 5702623]
[paragraph, [71.0, 915.0, 543.0, 18.0], eV1QyAlAoW, 5702623]
[paragraph, [71.0, 933.0, 543.0, 18.0], eV1QyAlAoW, 5702623]
[paragraph, [71.0, 951.0, 543.0, 18.0], eV1QyAlAoW, 5702623]
