[2250, 1750]
[paragraph, [157.0, 85.0, 709.0, 36.0], shoonya_0s2HXPWNULXID8, 5752153]
[paragraph, [157.0, 121.0, 709.0, 36.0], shoonya_0s2HXPWNULXID8, 5752153]
[paragraph, [157.0, 157.0, 709.0, 36.0], shoonya_0s2HXPWNULXID8, 5752153]
[paragraph, [157.0, 193.0, 709.0, 36.0], shoonya_0s2HXPWNULXID8, 5752153]
[paragraph, [949.0, 89.0, 708.0, 36.0], VlbS0wiBco, 5752153]
[paragraph, [949.0, 125.0, 708.0, 36.0], VlbS0wiBco, 5752153]
[paragraph, [940.0, 179.0, 719.0, 36.0], RUufUEcSz2, 5752153]
[paragraph, [940.0, 215.0, 719.0, 36.0], RUufUEcSz2, 5752153]
[paragraph, [156.0, 267.0, 709.0, 36.0], shoonya_14sF6CDBR1J7LY, 5752153]
[paragraph, [156.0, 303.0, 709.0, 36.0], shoonya_14sF6CDBR1J7LY, 5752153]
[paragraph, [156.0, 339.0, 709.0, 36.0], shoonya_14sF6CDBR1J7LY, 5752153]
[paragraph, [156.0, 375.0, 709.0, 36.0], shoonya_14sF6CDBR1J7LY, 5752153]
[paragraph, [156.0, 411.0, 709.0, 36.0], shoonya_14sF6CDBR1J7LY, 5752153]
[paragraph, [156.0, 447.0, 709.0, 36.0], shoonya_14sF6CDBR1J7LY, 5752153]
[paragraph, [942.0, 308.0, 540.0, 36.0], L7driCRtzx, 5752153]
[paragraph, [940.0, 384.0, 645.0, 36.0], UtOTzIqe3S, 5752153]
[paragraph, [947.0, 467.0, 710.0, 36.0], YfWHUMZ1H8, 5752153]
[paragraph, [947.0, 503.0, 710.0, 36.0], YfWHUMZ1H8, 5752153]
[paragraph, [947.0, 539.0, 710.0, 36.0], YfWHUMZ1H8, 5752153]
[paragraph, [947.0, 575.0, 710.0, 36.0], YfWHUMZ1H8, 5752153]
[paragraph, [947.0, 611.0, 710.0, 36.0], YfWHUMZ1H8, 5752153]
[paragraph, [153.0, 534.0, 712.0, 36.0], shoonya_22sA9DJ013ODIS, 5752153]
[paragraph, [153.0, 570.0, 712.0, 36.0], shoonya_22sA9DJ013ODIS, 5752153]
[paragraph, [153.0, 606.0, 712.0, 36.0], shoonya_22sA9DJ013ODIS, 5752153]
[paragraph, [945.0, 686.0, 713.0, 36.0], uBXtPCjXO8, 5752153]
[paragraph, [945.0, 722.0, 713.0, 36.0], uBXtPCjXO8, 5752153]
[paragraph, [157.0, 694.0, 708.0, 36.0], shoonya_23sGN52FSHEI82, 5752153]
[paragraph, [157.0, 730.0, 708.0, 36.0], shoonya_23sGN52FSHEI82, 5752153]
[paragraph, [157.0, 766.0, 708.0, 36.0], shoonya_23sGN52FSHEI82, 5752153]
[paragraph, [157.0, 802.0, 708.0, 36.0], shoonya_23sGN52FSHEI82, 5752153]
[paragraph, [940.0, 813.0, 721.0, 36.0], 71-bYsdIxH, 5752153]
[paragraph, [940.0, 849.0, 721.0, 36.0], 71-bYsdIxH, 5752153]
[paragraph, [940.0, 885.0, 721.0, 36.0], 71-bYsdIxH, 5752153]
[paragraph, [940.0, 921.0, 721.0, 36.0], 71-bYsdIxH, 5752153]
[paragraph, [157.0, 874.0, 710.0, 36.0], 9GL2asJuOS, 5752153]
[paragraph, [155.0, 962.0, 713.0, 36.0], 7Gl2A8QGKk, 5752153]
[paragraph, [155.0, 998.0, 713.0, 36.0], 7Gl2A8QGKk, 5752153]
[paragraph, [155.0, 1034.0, 713.0, 36.0], 7Gl2A8QGKk, 5752153]
[paragraph, [155.0, 1070.0, 713.0, 36.0], 7Gl2A8QGKk, 5752153]
[paragraph, [942.0, 983.0, 721.0, 36.0], kVFdarrxln, 5752153]
[paragraph, [942.0, 1019.0, 721.0, 36.0], kVFdarrxln, 5752153]
[paragraph, [942.0, 1055.0, 721.0, 36.0], kVFdarrxln, 5752153]
[paragraph, [942.0, 1112.0, 728.0, 36.0], FsAtktOoVD, 5752153]
[paragraph, [942.0, 1148.0, 728.0, 36.0], FsAtktOoVD, 5752153]
[paragraph, [942.0, 1184.0, 728.0, 36.0], FsAtktOoVD, 5752153]
[paragraph, [942.0, 1220.0, 728.0, 36.0], FsAtktOoVD, 5752153]
[paragraph, [942.0, 1256.0, 728.0, 36.0], FsAtktOoVD, 5752153]
[paragraph, [942.0, 1292.0, 728.0, 36.0], FsAtktOoVD, 5752153]
[paragraph, [942.0, 1328.0, 728.0, 36.0], FsAtktOoVD, 5752153]
[paragraph, [942.0, 1364.0, 728.0, 36.0], FsAtktOoVD, 5752153]
[paragraph, [942.0, 1400.0, 728.0, 36.0], FsAtktOoVD, 5752153]
[paragraph, [942.0, 1436.0, 728.0, 36.0], FsAtktOoVD, 5752153]
[paragraph, [153.0, 1134.0, 717.0, 36.0], OSIBoDMlkD, 5752153]
[paragraph, [153.0, 1170.0, 717.0, 36.0], OSIBoDMlkD, 5752153]
[paragraph, [153.0, 1206.0, 717.0, 36.0], OSIBoDMlkD, 5752153]
[paragraph, [150.0, 1263.0, 717.0, 36.0], eqYd74dj3H, 5752153]
[paragraph, [150.0, 1299.0, 717.0, 36.0], eqYd74dj3H, 5752153]
[paragraph, [150.0, 1335.0, 717.0, 36.0], eqYd74dj3H, 5752153]
[paragraph, [150.0, 1371.0, 717.0, 36.0], eqYd74dj3H, 5752153]
[paragraph, [150.0, 1407.0, 717.0, 36.0], eqYd74dj3H, 5752153]
[paragraph, [150.0, 1443.0, 717.0, 36.0], eqYd74dj3H, 5752153]
[paragraph, [945.0, 1506.0, 726.0, 36.0], iNSvNA3sZY, 5752153]
[paragraph, [945.0, 1542.0, 726.0, 36.0], iNSvNA3sZY, 5752153]
[paragraph, [945.0, 1578.0, 726.0, 36.0], iNSvNA3sZY, 5752153]
[paragraph, [148.0, 1526.0, 264.0, 36.0], gqZQONCOqU, 5752153]
[paragraph, [153.0, 1604.0, 710.0, 36.0], 6QA5xKB2GH, 5752153]
[paragraph, [153.0, 1640.0, 710.0, 36.0], 6QA5xKB2GH, 5752153]
[paragraph, [153.0, 1676.0, 710.0, 36.0], 6QA5xKB2GH, 5752153]
[paragraph, [153.0, 1712.0, 710.0, 36.0], 6QA5xKB2GH, 5752153]
[paragraph, [153.0, 1748.0, 710.0, 36.0], 6QA5xKB2GH, 5752153]
[paragraph, [153.0, 1784.0, 710.0, 36.0], 6QA5xKB2GH, 5752153]
[paragraph, [945.0, 1642.0, 485.0, 36.0], spO07HpfTl, 5752153]
[paragraph, [949.0, 1718.0, 715.0, 36.0], H_i3i5-PiH, 5752153]
[paragraph, [949.0, 1754.0, 715.0, 36.0], H_i3i5-PiH, 5752153]
[paragraph, [945.0, 1847.0, 724.0, 36.0], Dh-5ns1LxZ, 5752153]
[paragraph, [945.0, 1883.0, 724.0, 36.0], Dh-5ns1LxZ, 5752153]
[paragraph, [945.0, 1919.0, 724.0, 36.0], Dh-5ns1LxZ, 5752153]
[paragraph, [945.0, 1955.0, 724.0, 36.0], Dh-5ns1LxZ, 5752153]
[paragraph, [945.0, 1991.0, 724.0, 36.0], Dh-5ns1LxZ, 5752153]
[paragraph, [153.0, 1862.0, 715.0, 36.0], DJO3rsOm5Y, 5752153]
[paragraph, [153.0, 1898.0, 715.0, 36.0], DJO3rsOm5Y, 5752153]
[paragraph, [153.0, 1934.0, 715.0, 36.0], DJO3rsOm5Y, 5752153]
[paragraph, [153.0, 1970.0, 715.0, 36.0], DJO3rsOm5Y, 5752153]
