[1755, 1240]
[paragraph, [210.0, 135.0, 903.0, 36.0], shoonya_2sU91ZDJWS0FU2, 5693608]
[paragraph, [210.0, 171.0, 903.0, 36.0], shoonya_2sU91ZDJWS0FU2, 5693608]
[paragraph, [210.0, 207.0, 903.0, 36.0], shoonya_2sU91ZDJWS0FU2, 5693608]
[paragraph, [210.0, 243.0, 903.0, 36.0], shoonya_2sU91ZDJWS0FU2, 5693608]
[paragraph, [204.0, 338.0, 910.0, 36.0], shoonya_0sKE2VJOBDRXLD, 5693608]
[paragraph, [204.0, 374.0, 910.0, 36.0], shoonya_0sKE2VJOBDRXLD, 5693608]
[paragraph, [204.0, 410.0, 910.0, 36.0], shoonya_0sKE2VJOBDRXLD, 5693608]
[paragraph, [204.0, 446.0, 910.0, 36.0], shoonya_0sKE2VJOBDRXLD, 5693608]
[paragraph, [204.0, 482.0, 910.0, 36.0], shoonya_0sKE2VJOBDRXLD, 5693608]
[paragraph, [204.0, 518.0, 910.0, 36.0], shoonya_0sKE2VJOBDRXLD, 5693608]
[paragraph, [204.0, 554.0, 910.0, 36.0], shoonya_0sKE2VJOBDRXLD, 5693608]
[paragraph, [204.0, 590.0, 910.0, 36.0], shoonya_0sKE2VJOBDRXLD, 5693608]
[paragraph, [204.0, 626.0, 910.0, 36.0], shoonya_0sKE2VJOBDRXLD, 5693608]
[paragraph, [204.0, 662.0, 910.0, 36.0], shoonya_0sKE2VJOBDRXLD, 5693608]
[paragraph, [204.0, 698.0, 910.0, 36.0], shoonya_0sKE2VJOBDRXLD, 5693608]
[paragraph, [204.0, 734.0, 910.0, 36.0], shoonya_0sKE2VJOBDRXLD, 5693608]
[paragraph, [204.0, 770.0, 910.0, 36.0], shoonya_0sKE2VJOBDRXLD, 5693608]
[paragraph, [204.0, 806.0, 910.0, 36.0], shoonya_0sKE2VJOBDRXLD, 5693608]
[paragraph, [204.0, 842.0, 910.0, 36.0], shoonya_0sKE2VJOBDRXLD, 5693608]
[paragraph, [204.0, 878.0, 910.0, 36.0], shoonya_0sKE2VJOBDRXLD, 5693608]
[paragraph, [204.0, 914.0, 910.0, 36.0], shoonya_0sKE2VJOBDRXLD, 5693608]
[paragraph, [204.0, 950.0, 910.0, 36.0], shoonya_0sKE2VJOBDRXLD, 5693608]
[paragraph, [204.0, 986.0, 910.0, 36.0], shoonya_0sKE2VJOBDRXLD, 5693608]
[paragraph, [214.0, 1046.0, 885.0, 36.0], shoonya_1sEWF0ZY1ZDEJS, 5693608]
[paragraph, [214.0, 1082.0, 885.0, 36.0], shoonya_1sEWF0ZY1ZDEJS, 5693608]
[paragraph, [214.0, 1118.0, 885.0, 36.0], shoonya_1sEWF0ZY1ZDEJS, 5693608]
[paragraph, [214.0, 1154.0, 885.0, 36.0], shoonya_1sEWF0ZY1ZDEJS, 5693608]
[paragraph, [214.0, 1190.0, 885.0, 36.0], shoonya_1sEWF0ZY1ZDEJS, 5693608]
[paragraph, [214.0, 1226.0, 885.0, 36.0], shoonya_1sEWF0ZY1ZDEJS, 5693608]
[paragraph, [214.0, 1262.0, 885.0, 36.0], shoonya_1sEWF0ZY1ZDEJS, 5693608]
[paragraph, [214.0, 1298.0, 885.0, 36.0], shoonya_1sEWF0ZY1ZDEJS, 5693608]
[paragraph, [214.0, 1334.0, 885.0, 36.0], shoonya_1sEWF0ZY1ZDEJS, 5693608]
[paragraph, [214.0, 1370.0, 885.0, 36.0], shoonya_1sEWF0ZY1ZDEJS, 5693608]
[paragraph, [214.0, 1406.0, 885.0, 36.0], shoonya_1sEWF0ZY1ZDEJS, 5693608]
[paragraph, [214.0, 1442.0, 885.0, 36.0], shoonya_1sEWF0ZY1ZDEJS, 5693608]
[paragraph, [214.0, 1478.0, 885.0, 36.0], shoonya_1sEWF0ZY1ZDEJS, 5693608]
[paragraph, [214.0, 1514.0, 885.0, 36.0], shoonya_1sEWF0ZY1ZDEJS, 5693608]
