[1008, 612]
[paragraph, [80.0, 25.0, 444.0, 18.0], shoonya_2sU4BE4ANCF8Y9, 5770841]
[paragraph, [80.0, 43.0, 444.0, 18.0], shoonya_2sU4BE4ANCF8Y9, 5770841]
[paragraph, [80.0, 61.0, 444.0, 18.0], shoonya_2sU4BE4ANCF8Y9, 5770841]
[paragraph, [80.0, 79.0, 444.0, 18.0], shoonya_2sU4BE4ANCF8Y9, 5770841]
[paragraph, [80.0, 97.0, 444.0, 18.0], shoonya_2sU4BE4ANCF8Y9, 5770841]
[paragraph, [80.0, 115.0, 444.0, 18.0], shoonya_2sU4BE4ANCF8Y9, 5770841]
[paragraph, [80.0, 133.0, 444.0, 18.0], shoonya_2sU4BE4ANCF8Y9, 5770841]
[paragraph, [80.0, 151.0, 444.0, 18.0], shoonya_2sU4BE4ANCF8Y9, 5770841]
[paragraph, [80.0, 169.0, 444.0, 18.0], shoonya_2sU4BE4ANCF8Y9, 5770841]
[paragraph, [80.0, 187.0, 444.0, 18.0], shoonya_2sU4BE4ANCF8Y9, 5770841]
[paragraph, [80.0, 205.0, 444.0, 18.0], shoonya_2sU4BE4ANCF8Y9, 5770841]
[paragraph, [80.0, 223.0, 444.0, 18.0], shoonya_2sU4BE4ANCF8Y9, 5770841]
[paragraph, [80.0, 241.0, 444.0, 18.0], shoonya_2sU4BE4ANCF8Y9, 5770841]
[paragraph, [80.0, 259.0, 444.0, 18.0], shoonya_2sU4BE4ANCF8Y9, 5770841]
[paragraph, [80.0, 277.0, 444.0, 18.0], shoonya_2sU4BE4ANCF8Y9, 5770841]
[paragraph, [80.0, 295.0, 444.0, 18.0], shoonya_2sU4BE4ANCF8Y9, 5770841]
[paragraph, [80.0, 313.0, 444.0, 18.0], shoonya_2sU4BE4ANCF8Y9, 5770841]
[paragraph, [80.0, 331.0, 444.0, 18.0], shoonya_2sU4BE4ANCF8Y9, 5770841]
[paragraph, [80.0, 349.0, 444.0, 18.0], shoonya_2sU4BE4ANCF8Y9, 5770841]
[paragraph, [80.0, 367.0, 444.0, 18.0], shoonya_2sU4BE4ANCF8Y9, 5770841]
[paragraph, [80.0, 385.0, 444.0, 18.0], shoonya_2sU4BE4ANCF8Y9, 5770841]
[paragraph, [80.0, 403.0, 444.0, 18.0], shoonya_2sU4BE4ANCF8Y9, 5770841]
[paragraph, [80.0, 421.0, 444.0, 18.0], shoonya_2sU4BE4ANCF8Y9, 5770841]
[paragraph, [79.0, 453.0, 448.0, 18.0], shoonya_0sN9DB9P2TUFVM, 5770841]
[paragraph, [79.0, 471.0, 448.0, 18.0], shoonya_0sN9DB9P2TUFVM, 5770841]
[paragraph, [79.0, 489.0, 448.0, 18.0], shoonya_0sN9DB9P2TUFVM, 5770841]
[paragraph, [79.0, 507.0, 448.0, 18.0], shoonya_0sN9DB9P2TUFVM, 5770841]
[paragraph, [79.0, 525.0, 448.0, 18.0], shoonya_0sN9DB9P2TUFVM, 5770841]
[paragraph, [79.0, 543.0, 448.0, 18.0], shoonya_0sN9DB9P2TUFVM, 5770841]
[paragraph, [79.0, 561.0, 448.0, 18.0], shoonya_0sN9DB9P2TUFVM, 5770841]
[paragraph, [79.0, 579.0, 448.0, 18.0], shoonya_0sN9DB9P2TUFVM, 5770841]
[paragraph, [79.0, 597.0, 448.0, 18.0], shoonya_0sN9DB9P2TUFVM, 5770841]
[paragraph, [79.0, 615.0, 448.0, 18.0], shoonya_0sN9DB9P2TUFVM, 5770841]
[paragraph, [79.0, 633.0, 448.0, 18.0], shoonya_0sN9DB9P2TUFVM, 5770841]
[paragraph, [79.0, 651.0, 448.0, 18.0], shoonya_0sN9DB9P2TUFVM, 5770841]
[paragraph, [79.0, 669.0, 448.0, 18.0], shoonya_0sN9DB9P2TUFVM, 5770841]
[paragraph, [79.0, 687.0, 448.0, 18.0], shoonya_0sN9DB9P2TUFVM, 5770841]
[paragraph, [79.0, 705.0, 448.0, 18.0], shoonya_0sN9DB9P2TUFVM, 5770841]
[paragraph, [79.0, 723.0, 448.0, 18.0], shoonya_0sN9DB9P2TUFVM, 5770841]
[paragraph, [79.0, 741.0, 448.0, 18.0], shoonya_0sN9DB9P2TUFVM, 5770841]
[paragraph, [79.0, 759.0, 448.0, 18.0], shoonya_0sN9DB9P2TUFVM, 5770841]
[paragraph, [79.0, 777.0, 448.0, 18.0], shoonya_0sN9DB9P2TUFVM, 5770841]
[paragraph, [79.0, 795.0, 448.0, 18.0], shoonya_0sN9DB9P2TUFVM, 5770841]
[paragraph, [79.0, 813.0, 448.0, 18.0], shoonya_0sN9DB9P2TUFVM, 5770841]
[paragraph, [79.0, 831.0, 448.0, 18.0], shoonya_0sN9DB9P2TUFVM, 5770841]
[paragraph, [79.0, 849.0, 448.0, 18.0], shoonya_0sN9DB9P2TUFVM, 5770841]
[paragraph, [79.0, 867.0, 448.0, 18.0], shoonya_0sN9DB9P2TUFVM, 5770841]
[paragraph, [79.0, 885.0, 448.0, 18.0], shoonya_0sN9DB9P2TUFVM, 5770841]
[paragraph, [79.0, 903.0, 448.0, 18.0], shoonya_0sN9DB9P2TUFVM, 5770841]
[paragraph, [79.0, 921.0, 448.0, 18.0], shoonya_0sN9DB9P2TUFVM, 5770841]
[paragraph, [77.0, 952.0, 452.0, 18.0], USsPQ8UGcQ, 5770841]
[paragraph, [77.0, 970.0, 452.0, 18.0], USsPQ8UGcQ, 5770841]
