[2084, 2084]
[section-title, [128.0, 131.0, 349.0, 52.5], Pu9ZP4FIhS, 5715305]
[section-title, [128.0, 183.5, 349.0, 52.5], Pu9ZP4FIhS, 5715305]
[headline, [487.0, 144.0, 1353.0, 67.5], shoonya_2sDNXSWQMW2KPV, 5715305]
[headline, [487.0, 211.5, 1353.0, 67.5], shoonya_2sDNXSWQMW2KPV, 5715305]
[headline, [487.0, 279.0, 1353.0, 67.5], shoonya_2sDNXSWQMW2KPV, 5715305]
[sidebar, [1348.0, 381.0, 617.0, 36.0], i2uE0Ktvqk, 5715305]
[sidebar, [1348.0, 417.0, 617.0, 36.0], i2uE0Ktvqk, 5715305]
[section-title, [81.0, 1282.0, 1151.0, 52.5], 76UAa_4eQA, 5715305]
[section-title, [81.0, 1334.5, 1151.0, 52.5], 76UAa_4eQA, 5715305]
[section-title, [81.0, 1387.0, 1151.0, 52.5], 76UAa_4eQA, 5715305]
[section-title, [81.0, 1439.5, 1151.0, 52.5], 76UAa_4eQA, 5715305]
[paragraph, [60.0, 1503.0, 1153.0, 36.0], boJIqBbAtp, 5715305]
[paragraph, [60.0, 1539.0, 1153.0, 36.0], boJIqBbAtp, 5715305]
[paragraph, [60.0, 1575.0, 1153.0, 36.0], boJIqBbAtp, 5715305]
[paragraph, [60.0, 1611.0, 1153.0, 36.0], boJIqBbAtp, 5715305]
[paragraph, [60.0, 1647.0, 1153.0, 36.0], boJIqBbAtp, 5715305]
[paragraph, [60.0, 1683.0, 1153.0, 36.0], boJIqBbAtp, 5715305]
[paragraph, [60.0, 1719.0, 1153.0, 36.0], boJIqBbAtp, 5715305]
[paragraph, [60.0, 1755.0, 1153.0, 36.0], boJIqBbAtp, 5715305]
[paragraph, [60.0, 1791.0, 1153.0, 36.0], boJIqBbAtp, 5715305]
[paragraph, [60.0, 1827.0, 1153.0, 36.0], boJIqBbAtp, 5715305]
[paragraph, [60.0, 1863.0, 1153.0, 36.0], boJIqBbAtp, 5715305]
[paragraph, [60.0, 1899.0, 1153.0, 36.0], boJIqBbAtp, 5715305]
[paragraph, [60.0, 1935.0, 1153.0, 36.0], boJIqBbAtp, 5715305]
[paragraph, [60.0, 1971.0, 1153.0, 36.0], boJIqBbAtp, 5715305]
