[792, 576]
[folio, [45.0, 12.0, 79.0, 18.0], sh6_WkAWMA, 5712776]
[headline, [36.0, 62.0, 507.0, 25.5], Ybk3Uqeta2, 5712776]
[paragraph, [37.0, 94.0, 245.0, 18.0], 9n3ODG55x7, 5712776]
[paragraph, [37.0, 112.0, 245.0, 18.0], 9n3ODG55x7, 5712776]
[paragraph, [37.0, 130.0, 245.0, 18.0], 9n3ODG55x7, 5712776]
[paragraph, [37.0, 148.0, 245.0, 18.0], 9n3ODG55x7, 5712776]
[paragraph, [37.0, 166.0, 245.0, 18.0], 9n3ODG55x7, 5712776]
[paragraph, [37.0, 184.0, 245.0, 18.0], 9n3ODG55x7, 5712776]
[paragraph, [38.0, 204.0, 240.0, 18.0], uW2xXHLYxD, 5712776]
[paragraph, [38.0, 222.0, 240.0, 18.0], uW2xXHLYxD, 5712776]
[paragraph, [38.0, 240.0, 240.0, 18.0], uW2xXHLYxD, 5712776]
[paragraph, [38.0, 258.0, 240.0, 18.0], uW2xXHLYxD, 5712776]
[paragraph, [283.0, 244.0, 258.0, 18.0], e7RL3K6YoH, 5712776]
[paragraph, [283.0, 262.0, 258.0, 18.0], e7RL3K6YoH, 5712776]
[paragraph, [283.0, 280.0, 258.0, 18.0], e7RL3K6YoH, 5712776]
[paragraph, [283.0, 298.0, 258.0, 18.0], e7RL3K6YoH, 5712776]
[paragraph, [283.0, 316.0, 258.0, 18.0], e7RL3K6YoH, 5712776]
[paragraph, [283.0, 334.0, 258.0, 18.0], e7RL3K6YoH, 5712776]
[paragraph, [35.0, 277.0, 247.0, 18.0], shoonya_8sCAKIW58PY7TK, 5712776]
[paragraph, [35.0, 295.0, 247.0, 18.0], shoonya_8sCAKIW58PY7TK, 5712776]
[paragraph, [35.0, 313.0, 247.0, 18.0], shoonya_8sCAKIW58PY7TK, 5712776]
[paragraph, [35.0, 331.0, 247.0, 18.0], shoonya_8sCAKIW58PY7TK, 5712776]
[section-title, [344.0, 366.0, 169.0, 30.0], shoonya_4sGKBMA32W5MYW, 5712776]
[section-title, [344.0, 396.0, 169.0, 30.0], shoonya_4sGKBMA32W5MYW, 5712776]
[paragraph, [30.0, 404.0, 164.0, 18.0], shoonya_10sOUJVWED89RP, 5712776]
[paragraph, [30.0, 422.0, 164.0, 18.0], shoonya_10sOUJVWED89RP, 5712776]
[paragraph, [30.0, 440.0, 164.0, 18.0], shoonya_10sOUJVWED89RP, 5712776]
[paragraph, [30.0, 458.0, 164.0, 18.0], shoonya_10sOUJVWED89RP, 5712776]
[paragraph, [30.0, 476.0, 164.0, 18.0], shoonya_10sOUJVWED89RP, 5712776]
[paragraph, [30.0, 494.0, 164.0, 18.0], shoonya_10sOUJVWED89RP, 5712776]
[paragraph, [30.0, 512.0, 164.0, 18.0], shoonya_10sOUJVWED89RP, 5712776]
[paragraph, [30.0, 530.0, 164.0, 18.0], shoonya_10sOUJVWED89RP, 5712776]
[paragraph, [347.0, 438.0, 177.0, 18.0], shoonya_3s2B69EG28X9CY, 5712776]
[paragraph, [347.0, 456.0, 177.0, 18.0], shoonya_3s2B69EG28X9CY, 5712776]
[paragraph, [347.0, 474.0, 177.0, 18.0], shoonya_3s2B69EG28X9CY, 5712776]
[paragraph, [347.0, 492.0, 177.0, 18.0], shoonya_3s2B69EG28X9CY, 5712776]
[paragraph, [347.0, 510.0, 177.0, 18.0], shoonya_3s2B69EG28X9CY, 5712776]
[paragraph, [347.0, 528.0, 177.0, 18.0], shoonya_3s2B69EG28X9CY, 5712776]
[paragraph, [347.0, 546.0, 177.0, 18.0], shoonya_3s2B69EG28X9CY, 5712776]
[paragraph, [347.0, 564.0, 177.0, 18.0], shoonya_3s2B69EG28X9CY, 5712776]
[paragraph, [347.0, 582.0, 177.0, 18.0], shoonya_3s2B69EG28X9CY, 5712776]
[paragraph, [347.0, 600.0, 177.0, 18.0], shoonya_3s2B69EG28X9CY, 5712776]
[paragraph, [347.0, 618.0, 177.0, 18.0], shoonya_3s2B69EG28X9CY, 5712776]
[paragraph, [347.0, 636.0, 177.0, 18.0], shoonya_3s2B69EG28X9CY, 5712776]
[paragraph, [347.0, 654.0, 177.0, 18.0], shoonya_3s2B69EG28X9CY, 5712776]
[paragraph, [347.0, 672.0, 177.0, 18.0], shoonya_3s2B69EG28X9CY, 5712776]
[paragraph, [347.0, 690.0, 177.0, 18.0], shoonya_3s2B69EG28X9CY, 5712776]
[paragraph, [347.0, 708.0, 177.0, 18.0], shoonya_3s2B69EG28X9CY, 5712776]
[paragraph, [29.0, 552.0, 292.0, 18.0], shoonya_5sOED1OKHLIUCX, 5712776]
[paragraph, [31.0, 587.0, 287.0, 18.0], shoonya_9sVSFUCX6FVPFX, 5712776]
[paragraph, [31.0, 605.0, 287.0, 18.0], shoonya_9sVSFUCX6FVPFX, 5712776]
[paragraph, [31.0, 623.0, 287.0, 18.0], shoonya_9sVSFUCX6FVPFX, 5712776]
[paragraph, [31.0, 641.0, 287.0, 18.0], shoonya_9sVSFUCX6FVPFX, 5712776]
[paragraph, [31.0, 659.0, 287.0, 18.0], shoonya_9sVSFUCX6FVPFX, 5712776]
[paragraph, [31.0, 677.0, 287.0, 18.0], shoonya_9sVSFUCX6FVPFX, 5712776]
[paragraph, [31.0, 695.0, 287.0, 18.0], shoonya_9sVSFUCX6FVPFX, 5712776]
[paragraph, [31.0, 713.0, 287.0, 18.0], shoonya_9sVSFUCX6FVPFX, 5712776]
