[1868, 1213]
[section-title, [180.0, 138.0, 380.0, 49.5], shoonya_1sOQ450EF341WG, 5691636]
[author, [772.0, 151.0, 247.0, 36.0], shoonya_2sNMKUX0EWBLQJ, 5691636]
[author, [772.0, 187.0, 247.0, 36.0], shoonya_2sNMKUX0EWBLQJ, 5691636]
[paragraph, [175.0, 263.0, 871.0, 36.0], shoonya_5sFIGYY2EQ7JTB, 5691636]
[paragraph, [175.0, 299.0, 871.0, 36.0], shoonya_5sFIGYY2EQ7JTB, 5691636]
[paragraph, [175.0, 335.0, 871.0, 36.0], shoonya_5sFIGYY2EQ7JTB, 5691636]
[paragraph, [175.0, 371.0, 871.0, 36.0], shoonya_5sFIGYY2EQ7JTB, 5691636]
[paragraph, [175.0, 407.0, 871.0, 36.0], shoonya_5sFIGYY2EQ7JTB, 5691636]
[paragraph, [175.0, 443.0, 871.0, 36.0], shoonya_5sFIGYY2EQ7JTB, 5691636]
[paragraph, [175.0, 479.0, 871.0, 36.0], shoonya_5sFIGYY2EQ7JTB, 5691636]
[paragraph, [181.0, 582.0, 877.0, 36.0], shoonya_4sX93P5L4ULPWT, 5691636]
[paragraph, [181.0, 618.0, 877.0, 36.0], shoonya_4sX93P5L4ULPWT, 5691636]
[paragraph, [181.0, 654.0, 877.0, 36.0], shoonya_4sX93P5L4ULPWT, 5691636]
[paragraph, [181.0, 690.0, 877.0, 36.0], shoonya_4sX93P5L4ULPWT, 5691636]
[paragraph, [181.0, 726.0, 877.0, 36.0], shoonya_4sX93P5L4ULPWT, 5691636]
[paragraph, [181.0, 762.0, 877.0, 36.0], shoonya_4sX93P5L4ULPWT, 5691636]
[paragraph, [181.0, 798.0, 877.0, 36.0], shoonya_4sX93P5L4ULPWT, 5691636]
[paragraph, [175.0, 905.0, 909.0, 36.0], shoonya_3s0RDDG7YQI0V8, 5691636]
[paragraph, [175.0, 941.0, 909.0, 36.0], shoonya_3s0RDDG7YQI0V8, 5691636]
[paragraph, [175.0, 977.0, 909.0, 36.0], shoonya_3s0RDDG7YQI0V8, 5691636]
[paragraph, [175.0, 1013.0, 909.0, 36.0], shoonya_3s0RDDG7YQI0V8, 5691636]
[paragraph, [175.0, 1049.0, 909.0, 36.0], shoonya_3s0RDDG7YQI0V8, 5691636]
[paragraph, [175.0, 1085.0, 909.0, 36.0], shoonya_3s0RDDG7YQI0V8, 5691636]
[paragraph, [175.0, 1121.0, 909.0, 36.0], shoonya_3s0RDDG7YQI0V8, 5691636]
[paragraph, [175.0, 1157.0, 909.0, 36.0], shoonya_3s0RDDG7YQI0V8, 5691636]
[paragraph, [178.0, 1246.0, 859.0, 36.0], 1S_MLwjGxa, 5691636]
[paragraph, [178.0, 1282.0, 859.0, 36.0], 1S_MLwjGxa, 5691636]
[paragraph, [178.0, 1318.0, 859.0, 36.0], 1S_MLwjGxa, 5691636]
[paragraph, [178.0, 1354.0, 859.0, 36.0], 1S_MLwjGxa, 5691636]
[paragraph, [178.0, 1390.0, 859.0, 36.0], 1S_MLwjGxa, 5691636]
[paragraph, [178.0, 1426.0, 859.0, 36.0], 1S_MLwjGxa, 5691636]
[paragraph, [178.0, 1462.0, 859.0, 36.0], 1S_MLwjGxa, 5691636]
[folio, [142.0, 1627.0, 247.0, 36.0], bf38yiFKYw, 5691636]
