[1230, 741]
[section-title, [122.0, 208.0, 233.0, 30.0], shoonya_2sIX1SOWJ59SE8, 5701802]
[paragraph, [118.0, 273.0, 428.0, 18.0], aW0BonlteG, 5701802]
[paragraph, [118.0, 291.0, 428.0, 18.0], aW0BonlteG, 5701802]
[paragraph, [118.0, 309.0, 428.0, 18.0], aW0BonlteG, 5701802]
[paragraph, [120.0, 372.0, 308.0, 18.0], uj5fXeZ0qG, 5701802]
[paragraph, [120.0, 390.0, 308.0, 18.0], uj5fXeZ0qG, 5701802]
[paragraph, [120.0, 408.0, 308.0, 18.0], uj5fXeZ0qG, 5701802]
[paragraph, [120.0, 426.0, 308.0, 18.0], uj5fXeZ0qG, 5701802]
[paragraph, [120.0, 444.0, 308.0, 18.0], uj5fXeZ0qG, 5701802]
[paragraph, [120.0, 462.0, 308.0, 18.0], uj5fXeZ0qG, 5701802]
[paragraph, [120.0, 480.0, 308.0, 18.0], uj5fXeZ0qG, 5701802]
[paragraph, [120.0, 498.0, 308.0, 18.0], uj5fXeZ0qG, 5701802]
[paragraph, [120.0, 516.0, 308.0, 18.0], uj5fXeZ0qG, 5701802]
[paragraph, [120.0, 534.0, 308.0, 18.0], uj5fXeZ0qG, 5701802]
[paragraph, [117.0, 590.0, 577.0, 18.0], oAmXbGV4w6, 5701802]
[paragraph, [117.0, 608.0, 577.0, 18.0], oAmXbGV4w6, 5701802]
[paragraph, [117.0, 626.0, 577.0, 18.0], oAmXbGV4w6, 5701802]
[paragraph, [117.0, 644.0, 577.0, 18.0], oAmXbGV4w6, 5701802]
[paragraph, [117.0, 662.0, 577.0, 18.0], oAmXbGV4w6, 5701802]
[paragraph, [117.0, 680.0, 577.0, 18.0], oAmXbGV4w6, 5701802]
[paragraph, [117.0, 698.0, 577.0, 18.0], oAmXbGV4w6, 5701802]
[paragraph, [114.0, 745.0, 319.0, 18.0], 322vxzGbMN, 5701802]
[paragraph, [114.0, 763.0, 319.0, 18.0], 322vxzGbMN, 5701802]
[paragraph, [114.0, 781.0, 319.0, 18.0], 322vxzGbMN, 5701802]
[paragraph, [114.0, 799.0, 319.0, 18.0], 322vxzGbMN, 5701802]
[paragraph, [114.0, 817.0, 319.0, 18.0], 322vxzGbMN, 5701802]
[paragraph, [114.0, 835.0, 319.0, 18.0], 322vxzGbMN, 5701802]
[paragraph, [114.0, 853.0, 319.0, 18.0], 322vxzGbMN, 5701802]
[paragraph, [114.0, 871.0, 319.0, 18.0], 322vxzGbMN, 5701802]
[paragraph, [114.0, 889.0, 319.0, 18.0], 322vxzGbMN, 5701802]
[paragraph, [114.0, 907.0, 319.0, 18.0], 322vxzGbMN, 5701802]
[paragraph, [114.0, 925.0, 319.0, 18.0], 322vxzGbMN, 5701802]
[paragraph, [114.0, 943.0, 319.0, 18.0], 322vxzGbMN, 5701802]
[paragraph, [114.0, 1000.0, 363.0, 18.0], shoonya_1sZPWGA5OQOD0R, 5701802]
[paragraph, [114.0, 1018.0, 363.0, 18.0], shoonya_1sZPWGA5OQOD0R, 5701802]
[paragraph, [114.0, 1036.0, 363.0, 18.0], shoonya_1sZPWGA5OQOD0R, 5701802]
