[1625, 1211]
[section-title, [204.0, 87.0, 476.0, 49.5], G4cQ1blOKk, 5742719]
[paragraph, [804.0, 87.0, 332.0, 36.0], shoonya_7s73R42U9GEHQW, 5742719]
[paragraph, [804.0, 123.0, 332.0, 36.0], shoonya_7s73R42U9GEHQW, 5742719]
[paragraph, [442.0, 165.0, 346.0, 36.0], vJDN1cAR5P, 5742719]
[paragraph, [442.0, 201.0, 346.0, 36.0], vJDN1cAR5P, 5742719]
[paragraph, [442.0, 237.0, 346.0, 36.0], vJDN1cAR5P, 5742719]
[paragraph, [442.0, 273.0, 346.0, 36.0], vJDN1cAR5P, 5742719]
[paragraph, [442.0, 309.0, 346.0, 36.0], vJDN1cAR5P, 5742719]
[paragraph, [442.0, 345.0, 346.0, 36.0], vJDN1cAR5P, 5742719]
[paragraph, [442.0, 381.0, 346.0, 36.0], vJDN1cAR5P, 5742719]
[paragraph, [442.0, 417.0, 346.0, 36.0], vJDN1cAR5P, 5742719]
[paragraph, [84.0, 166.0, 339.0, 36.0], 6WKAVlJOKo, 5742719]
[paragraph, [84.0, 202.0, 339.0, 36.0], 6WKAVlJOKo, 5742719]
[paragraph, [84.0, 238.0, 339.0, 36.0], 6WKAVlJOKo, 5742719]
[paragraph, [84.0, 274.0, 339.0, 36.0], 6WKAVlJOKo, 5742719]
[paragraph, [84.0, 310.0, 339.0, 36.0], 6WKAVlJOKo, 5742719]
[paragraph, [84.0, 346.0, 339.0, 36.0], 6WKAVlJOKo, 5742719]
[paragraph, [84.0, 382.0, 339.0, 36.0], 6WKAVlJOKo, 5742719]
[paragraph, [84.0, 418.0, 339.0, 36.0], 6WKAVlJOKo, 5742719]
[paragraph, [84.0, 454.0, 339.0, 36.0], 6WKAVlJOKo, 5742719]
[paragraph, [84.0, 490.0, 339.0, 36.0], 6WKAVlJOKo, 5742719]
[paragraph, [805.0, 225.0, 330.0, 36.0], shoonya_0sWVT5SCWCR4AU, 5742719]
[paragraph, [805.0, 261.0, 330.0, 36.0], shoonya_0sWVT5SCWCR4AU, 5742719]
[paragraph, [805.0, 297.0, 330.0, 36.0], shoonya_0sWVT5SCWCR4AU, 5742719]
[paragraph, [805.0, 333.0, 330.0, 36.0], shoonya_0sWVT5SCWCR4AU, 5742719]
[paragraph, [805.0, 369.0, 330.0, 36.0], shoonya_0sWVT5SCWCR4AU, 5742719]
[paragraph, [805.0, 405.0, 330.0, 36.0], shoonya_0sWVT5SCWCR4AU, 5742719]
[paragraph, [805.0, 441.0, 330.0, 36.0], shoonya_0sWVT5SCWCR4AU, 5742719]
[paragraph, [805.0, 477.0, 330.0, 36.0], shoonya_0sWVT5SCWCR4AU, 5742719]
[paragraph, [805.0, 513.0, 330.0, 36.0], shoonya_0sWVT5SCWCR4AU, 5742719]
[paragraph, [805.0, 549.0, 330.0, 36.0], shoonya_0sWVT5SCWCR4AU, 5742719]
