[842, 596]
[section-title, [127.0, 50.0, 417.0, 30.0], JGCJbsBx_y, 5706767]
[options, [83.0, 120.0, 397.0, 18.0], shoonya_3s4IWQP2GUCED1, 5706767]
[options, [80.0, 155.0, 440.0, 18.0], lor9dPC6zi, 5706767]
[options, [78.0, 196.0, 411.0, 18.0], Cq-sBr2ZCF, 5706767]
[options, [80.0, 232.0, 416.0, 18.0], X43kt1Iccm, 5706767]
[options, [82.0, 269.0, 400.0, 18.0], GN4lUA24O0, 5706767]
[options, [85.0, 309.0, 417.0, 18.0], UcHRSRsZE0, 5706767]
[options, [79.0, 348.0, 435.0, 18.0], 6XP-58_1dz, 5706767]
[options, [85.0, 421.0, 383.0, 18.0], KxzBh1i50x, 5706767]
[second-level-question, [50.0, 527.0, 280.0, 18.0], wsD08oQlbH, 5706767]
[second-level-question, [56.0, 551.0, 142.0, 18.0], 3Ue3Ucq9QH, 5706767]
[second-level-question, [57.0, 569.0, 163.0, 18.0], prCXARR1ql, 5706767]
[second-level-question, [50.0, 594.0, 257.0, 18.0], FV1_1Rmcdc, 5706767]
[second-level-question, [50.0, 617.0, 252.0, 18.0], _kqOhrtgj4, 5706767]
[second-level-question, [50.0, 658.0, 193.0, 18.0], thZXiSqqQ5, 5706767]
[second-level-question, [51.0, 687.0, 180.0, 18.0], RI1C9O62il, 5706767]
[second-level-question, [55.0, 700.0, 245.0, 18.0], jK7pireQ33, 5706767]
