[1754, 1241]
[chapter-title, [409.0, 428.0, 463.0, 58.5], NBSMdhuNIO, 5714963]
[section-title, [224.0, 559.0, 867.0, 49.5], w_AH9wYXlf, 5714963]
[section-title, [224.0, 608.5, 867.0, 49.5], w_AH9wYXlf, 5714963]
[section-title, [224.0, 658.0, 867.0, 49.5], w_AH9wYXlf, 5714963]
[section-title, [224.0, 707.5, 867.0, 49.5], w_AH9wYXlf, 5714963]
[section-title, [224.0, 757.0, 867.0, 49.5], w_AH9wYXlf, 5714963]
[section-title, [224.0, 806.5, 867.0, 49.5], w_AH9wYXlf, 5714963]
[section-title, [224.0, 856.0, 867.0, 49.5], w_AH9wYXlf, 5714963]
[sub-section-title, [237.0, 984.0, 829.0, 36.0], 8AMqlaw8hk, 5714963]
[sub-section-title, [237.0, 1020.0, 829.0, 36.0], 8AMqlaw8hk, 5714963]
[sub-section-title, [237.0, 1056.0, 829.0, 36.0], 8AMqlaw8hk, 5714963]
[sub-section-title, [237.0, 1092.0, 829.0, 36.0], 8AMqlaw8hk, 5714963]
[sub-section-title, [237.0, 1128.0, 829.0, 36.0], 8AMqlaw8hk, 5714963]
[sub-section-title, [237.0, 1164.0, 829.0, 36.0], 8AMqlaw8hk, 5714963]
[sub-section-title, [237.0, 1200.0, 829.0, 36.0], 8AMqlaw8hk, 5714963]
