[720, 504]
[folio, [35.0, 88.0, 242.0, 18.0], o25IaWheZh, 5651553]
[paragraph, [38.0, 110.0, 198.0, 18.0], shoonya_3sZVEQB6EEBTO3, 5651553]
[paragraph, [38.0, 128.0, 198.0, 18.0], shoonya_3sZVEQB6EEBTO3, 5651553]
[paragraph, [249.0, 110.0, 197.0, 18.0], shoonya_4sH8EEDK9GGAQF, 5651553]
[paragraph, [249.0, 128.0, 197.0, 18.0], shoonya_4sH8EEDK9GGAQF, 5651553]
[paragraph, [249.0, 146.0, 197.0, 18.0], shoonya_4sH8EEDK9GGAQF, 5651553]
[paragraph, [249.0, 164.0, 197.0, 18.0], shoonya_4sH8EEDK9GGAQF, 5651553]
[paragraph, [39.0, 164.0, 198.0, 18.0], shoonya_1s5W4KCQRXPTW4, 5651553]
[paragraph, [39.0, 182.0, 198.0, 18.0], shoonya_1s5W4KCQRXPTW4, 5651553]
[paragraph, [39.0, 200.0, 198.0, 18.0], shoonya_1s5W4KCQRXPTW4, 5651553]
[paragraph, [39.0, 218.0, 198.0, 18.0], shoonya_1s5W4KCQRXPTW4, 5651553]
[paragraph, [39.0, 236.0, 198.0, 18.0], shoonya_1s5W4KCQRXPTW4, 5651553]
[paragraph, [39.0, 254.0, 198.0, 18.0], shoonya_1s5W4KCQRXPTW4, 5651553]
[paragraph, [39.0, 272.0, 198.0, 18.0], shoonya_1s5W4KCQRXPTW4, 5651553]
[paragraph, [39.0, 290.0, 198.0, 18.0], shoonya_1s5W4KCQRXPTW4, 5651553]
[paragraph, [39.0, 308.0, 198.0, 18.0], shoonya_1s5W4KCQRXPTW4, 5651553]
[paragraph, [39.0, 326.0, 198.0, 18.0], shoonya_1s5W4KCQRXPTW4, 5651553]
[paragraph, [39.0, 344.0, 198.0, 18.0], shoonya_1s5W4KCQRXPTW4, 5651553]
[paragraph, [39.0, 362.0, 198.0, 18.0], shoonya_1s5W4KCQRXPTW4, 5651553]
[unordered-list, [247.0, 193.0, 185.0, 18.0], shoonya_6sHICVHR3YOE82, 5651553]
[unordered-list, [247.0, 211.0, 185.0, 18.0], shoonya_6sHICVHR3YOE82, 5651553]
[unordered-list, [247.0, 229.0, 185.0, 18.0], shoonya_6sHICVHR3YOE82, 5651553]
[paragraph, [249.0, 244.0, 198.0, 18.0], shoonya_2s3K7KBGI9LHZQ, 5651553]
[paragraph, [249.0, 262.0, 198.0, 18.0], shoonya_2s3K7KBGI9LHZQ, 5651553]
[paragraph, [249.0, 280.0, 198.0, 18.0], shoonya_2s3K7KBGI9LHZQ, 5651553]
[paragraph, [249.0, 298.0, 198.0, 18.0], shoonya_2s3K7KBGI9LHZQ, 5651553]
[paragraph, [249.0, 316.0, 198.0, 18.0], shoonya_2s3K7KBGI9LHZQ, 5651553]
[paragraph, [249.0, 334.0, 198.0, 18.0], shoonya_2s3K7KBGI9LHZQ, 5651553]
[paragraph, [249.0, 352.0, 198.0, 18.0], shoonya_2s3K7KBGI9LHZQ, 5651553]
[paragraph, [249.0, 370.0, 198.0, 18.0], shoonya_2s3K7KBGI9LHZQ, 5651553]
[paragraph, [249.0, 388.0, 198.0, 18.0], shoonya_2s3K7KBGI9LHZQ, 5651553]
[paragraph, [39.0, 396.0, 196.0, 18.0], shoonya_7sCKILJOER7DKI, 5651553]
[paragraph, [39.0, 414.0, 196.0, 18.0], shoonya_7sCKILJOER7DKI, 5651553]
[paragraph, [39.0, 432.0, 196.0, 18.0], shoonya_7sCKILJOER7DKI, 5651553]
[paragraph, [249.0, 413.0, 196.0, 18.0], shoonya_8s8EEUHRRZCJXI, 5651553]
[footnote, [201.0, 681.0, 104.0, 18.0], shoonya_9s4199SYU5FERS, 5651553]
