[2200, 1700]
[paragraph, [372.0, 115.0, 1131.0, 36.0], shoonya_5s2HKG17VH69M2, 5733988]
[paragraph, [372.0, 151.0, 1131.0, 36.0], shoonya_5s2HKG17VH69M2, 5733988]
[paragraph, [373.0, 249.0, 1130.0, 36.0], shoonya_2sVDZLLEXBCQPL, 5733988]
[paragraph, [373.0, 285.0, 1130.0, 36.0], shoonya_2sVDZLLEXBCQPL, 5733988]
[paragraph, [373.0, 321.0, 1130.0, 36.0], shoonya_2sVDZLLEXBCQPL, 5733988]
[paragraph, [373.0, 357.0, 1130.0, 36.0], shoonya_2sVDZLLEXBCQPL, 5733988]
[paragraph, [373.0, 393.0, 1130.0, 36.0], shoonya_2sVDZLLEXBCQPL, 5733988]
[paragraph, [373.0, 429.0, 1130.0, 36.0], shoonya_2sVDZLLEXBCQPL, 5733988]
[paragraph, [373.0, 465.0, 1130.0, 36.0], shoonya_2sVDZLLEXBCQPL, 5733988]
[paragraph, [373.0, 501.0, 1130.0, 36.0], shoonya_2sVDZLLEXBCQPL, 5733988]
[paragraph, [373.0, 537.0, 1130.0, 36.0], shoonya_2sVDZLLEXBCQPL, 5733988]
[paragraph, [373.0, 573.0, 1130.0, 36.0], shoonya_2sVDZLLEXBCQPL, 5733988]
[paragraph, [373.0, 609.0, 1130.0, 36.0], shoonya_2sVDZLLEXBCQPL, 5733988]
[paragraph, [373.0, 645.0, 1130.0, 36.0], shoonya_2sVDZLLEXBCQPL, 5733988]
[paragraph, [373.0, 681.0, 1130.0, 36.0], shoonya_2sVDZLLEXBCQPL, 5733988]
[paragraph, [373.0, 717.0, 1130.0, 36.0], shoonya_2sVDZLLEXBCQPL, 5733988]
[paragraph, [373.0, 753.0, 1130.0, 36.0], shoonya_2sVDZLLEXBCQPL, 5733988]
[paragraph, [373.0, 789.0, 1130.0, 36.0], shoonya_2sVDZLLEXBCQPL, 5733988]
[paragraph, [373.0, 825.0, 1130.0, 36.0], shoonya_2sVDZLLEXBCQPL, 5733988]
[paragraph, [373.0, 861.0, 1130.0, 36.0], shoonya_2sVDZLLEXBCQPL, 5733988]
[paragraph, [373.0, 897.0, 1130.0, 36.0], shoonya_2sVDZLLEXBCQPL, 5733988]
[paragraph, [371.0, 989.0, 1135.0, 36.0], shoonya_0sFSW7BNYBX9PQ, 5733988]
[paragraph, [371.0, 1025.0, 1135.0, 36.0], shoonya_0sFSW7BNYBX9PQ, 5733988]
[paragraph, [371.0, 1061.0, 1135.0, 36.0], shoonya_0sFSW7BNYBX9PQ, 5733988]
[paragraph, [371.0, 1097.0, 1135.0, 36.0], shoonya_0sFSW7BNYBX9PQ, 5733988]
[paragraph, [371.0, 1133.0, 1135.0, 36.0], shoonya_0sFSW7BNYBX9PQ, 5733988]
[paragraph, [371.0, 1169.0, 1135.0, 36.0], shoonya_0sFSW7BNYBX9PQ, 5733988]
[paragraph, [371.0, 1205.0, 1135.0, 36.0], shoonya_0sFSW7BNYBX9PQ, 5733988]
[paragraph, [371.0, 1241.0, 1135.0, 36.0], shoonya_0sFSW7BNYBX9PQ, 5733988]
[paragraph, [371.0, 1277.0, 1135.0, 36.0], shoonya_0sFSW7BNYBX9PQ, 5733988]
[paragraph, [371.0, 1313.0, 1135.0, 36.0], shoonya_0sFSW7BNYBX9PQ, 5733988]
[paragraph, [371.0, 1349.0, 1135.0, 36.0], shoonya_0sFSW7BNYBX9PQ, 5733988]
[paragraph, [371.0, 1385.0, 1135.0, 36.0], shoonya_0sFSW7BNYBX9PQ, 5733988]
[paragraph, [371.0, 1421.0, 1135.0, 36.0], shoonya_0sFSW7BNYBX9PQ, 5733988]
[paragraph, [371.0, 1457.0, 1135.0, 36.0], shoonya_0sFSW7BNYBX9PQ, 5733988]
[paragraph, [371.0, 1493.0, 1135.0, 36.0], shoonya_0sFSW7BNYBX9PQ, 5733988]
[paragraph, [374.0, 1627.0, 1136.0, 36.0], shoonya_1s8X33K77H4KTL, 5733988]
[paragraph, [374.0, 1663.0, 1136.0, 36.0], shoonya_1s8X33K77H4KTL, 5733988]
[paragraph, [374.0, 1699.0, 1136.0, 36.0], shoonya_1s8X33K77H4KTL, 5733988]
[paragraph, [374.0, 1735.0, 1136.0, 36.0], shoonya_1s8X33K77H4KTL, 5733988]
[paragraph, [374.0, 1771.0, 1136.0, 36.0], shoonya_1s8X33K77H4KTL, 5733988]
[paragraph, [374.0, 1807.0, 1136.0, 36.0], shoonya_1s8X33K77H4KTL, 5733988]
[paragraph, [374.0, 1843.0, 1136.0, 36.0], shoonya_1s8X33K77H4KTL, 5733988]
[paragraph, [374.0, 1879.0, 1136.0, 36.0], shoonya_1s8X33K77H4KTL, 5733988]
[paragraph, [374.0, 1915.0, 1136.0, 36.0], shoonya_1s8X33K77H4KTL, 5733988]
[paragraph, [374.0, 1951.0, 1136.0, 36.0], shoonya_1s8X33K77H4KTL, 5733988]
[paragraph, [374.0, 1987.0, 1136.0, 36.0], shoonya_1s8X33K77H4KTL, 5733988]
[paragraph, [374.0, 2023.0, 1136.0, 36.0], shoonya_1s8X33K77H4KTL, 5733988]
