[2481, 1654]
[folio, [347.0, 105.0, 124.0, 36.0], pLEPPT4f-a, 5721838]
[paragraph, [220.0, 217.0, 1267.0, 36.0], shoonya_0sP5DP7CAQVZVS, 5721838]
[paragraph, [220.0, 253.0, 1267.0, 36.0], shoonya_0sP5DP7CAQVZVS, 5721838]
[paragraph, [220.0, 289.0, 1267.0, 36.0], shoonya_0sP5DP7CAQVZVS, 5721838]
[paragraph, [223.0, 326.0, 1265.0, 36.0], RL_2NJMd8I, 5721838]
[paragraph, [223.0, 362.0, 1265.0, 36.0], RL_2NJMd8I, 5721838]
[paragraph, [217.0, 417.0, 1273.0, 36.0], LrG_ozQ8ka, 5721838]
[paragraph, [217.0, 453.0, 1273.0, 36.0], LrG_ozQ8ka, 5721838]
[paragraph, [217.0, 489.0, 1273.0, 36.0], LrG_ozQ8ka, 5721838]
[paragraph, [217.0, 525.0, 1273.0, 36.0], LrG_ozQ8ka, 5721838]
[paragraph, [217.0, 561.0, 1273.0, 36.0], LrG_ozQ8ka, 5721838]
[paragraph, [217.0, 597.0, 1273.0, 36.0], LrG_ozQ8ka, 5721838]
[paragraph, [217.0, 633.0, 1273.0, 36.0], LrG_ozQ8ka, 5721838]
[paragraph, [227.0, 671.0, 1265.0, 36.0], LBz82sExw4, 5721838]
[paragraph, [227.0, 707.0, 1265.0, 36.0], LBz82sExw4, 5721838]
[paragraph, [227.0, 743.0, 1265.0, 36.0], LBz82sExw4, 5721838]
[paragraph, [227.0, 779.0, 1265.0, 36.0], LBz82sExw4, 5721838]
[paragraph, [223.0, 831.0, 1269.0, 36.0], blU6bDr7rh, 5721838]
[paragraph, [223.0, 867.0, 1269.0, 36.0], blU6bDr7rh, 5721838]
[paragraph, [223.0, 903.0, 1269.0, 36.0], blU6bDr7rh, 5721838]
[paragraph, [223.0, 939.0, 1269.0, 36.0], blU6bDr7rh, 5721838]
[paragraph, [223.0, 975.0, 1269.0, 36.0], blU6bDr7rh, 5721838]
[paragraph, [227.0, 1025.0, 1267.0, 36.0], UOzqmOL7bo, 5721838]
[paragraph, [227.0, 1061.0, 1267.0, 36.0], UOzqmOL7bo, 5721838]
[paragraph, [227.0, 1097.0, 1267.0, 36.0], UOzqmOL7bo, 5721838]
[paragraph, [227.0, 1133.0, 1267.0, 36.0], UOzqmOL7bo, 5721838]
[paragraph, [233.0, 1180.0, 1259.0, 36.0], 6_NKTHkWsQ, 5721838]
[paragraph, [233.0, 1216.0, 1259.0, 36.0], 6_NKTHkWsQ, 5721838]
[paragraph, [272.0, 1281.0, 1104.0, 36.0], iMHz5-VNB0, 5721838]
[paragraph, [229.0, 1331.0, 1263.0, 36.0], Bs2HyU9BFe, 5721838]
[paragraph, [229.0, 1367.0, 1263.0, 36.0], Bs2HyU9BFe, 5721838]
[paragraph, [283.0, 1432.0, 574.0, 36.0], SqcTmhmtM8, 5721838]
[paragraph, [281.0, 1476.0, 1039.0, 36.0], CkK3UaKjTv, 5721838]
[paragraph, [231.0, 1534.0, 1257.0, 36.0], U_hYjXpYew, 5721838]
[paragraph, [231.0, 1570.0, 1257.0, 36.0], U_hYjXpYew, 5721838]
[paragraph, [225.0, 1633.0, 1261.0, 36.0], uYzZvjUAg1, 5721838]
[paragraph, [225.0, 1669.0, 1261.0, 36.0], uYzZvjUAg1, 5721838]
[paragraph, [289.0, 1732.0, 798.0, 36.0], 89EDQTEbUg, 5721838]
[paragraph, [289.0, 1782.0, 1044.0, 36.0], w306IFb11K, 5721838]
[paragraph, [285.0, 1833.0, 1157.0, 36.0], GYh3MeGcx_, 5721838]
[paragraph, [229.0, 1881.0, 1257.0, 36.0], nmFkBkXO2K, 5721838]
[paragraph, [229.0, 1917.0, 1257.0, 36.0], nmFkBkXO2K, 5721838]
[paragraph, [287.0, 1986.0, 1079.0, 36.0], q4uUfzBfFv, 5721838]
[paragraph, [225.0, 2036.0, 1275.0, 36.0], LJjbeLHF8H, 5721838]
[paragraph, [225.0, 2072.0, 1275.0, 36.0], LJjbeLHF8H, 5721838]
[paragraph, [225.0, 2108.0, 1275.0, 36.0], LJjbeLHF8H, 5721838]
[paragraph, [225.0, 2144.0, 1275.0, 36.0], LJjbeLHF8H, 5721838]
