[755, 420]
[section-title, [89.0, 15.0, 244.0, 30.0], shoonya_9sI8VNV67T002R, 5744897]
[paragraph, [37.0, 153.0, 54.0, 18.0], shoonya_14sDRTHPQ8J32U, 5744897]
[figure-caption, [37.0, 153.0, 54.0, 18.0], shoonya_20sEBJ3MLRPMW4, 5744897]
[figure-caption, [132.0, 318.0, 67.0, 18.0], shoonya_18sWDJJCWYXH24, 5744897]
[figure-caption, [132.0, 319.0, 67.0, 18.0], shoonya_16s2TISOIL6E03, 5744897]
[ordered-list, [31.0, 382.0, 368.0, 18.0], shoonya_19s301IN6Q0P4P, 5744897]
[ordered-list, [31.0, 400.0, 368.0, 18.0], shoonya_19s301IN6Q0P4P, 5744897]
[ordered-list, [31.0, 418.0, 368.0, 18.0], shoonya_19s301IN6Q0P4P, 5744897]
[ordered-list, [31.0, 436.0, 368.0, 18.0], shoonya_19s301IN6Q0P4P, 5744897]
[ordered-list, [31.0, 454.0, 368.0, 18.0], shoonya_19s301IN6Q0P4P, 5744897]
[ordered-list, [31.0, 472.0, 368.0, 18.0], shoonya_19s301IN6Q0P4P, 5744897]
[ordered-list, [31.0, 490.0, 368.0, 18.0], shoonya_19s301IN6Q0P4P, 5744897]
[ordered-list, [31.0, 508.0, 368.0, 18.0], shoonya_19s301IN6Q0P4P, 5744897]
[ordered-list, [31.0, 526.0, 368.0, 18.0], shoonya_19s301IN6Q0P4P, 5744897]
[ordered-list, [31.0, 544.0, 368.0, 18.0], shoonya_19s301IN6Q0P4P, 5744897]
[ordered-list, [31.0, 562.0, 368.0, 18.0], shoonya_19s301IN6Q0P4P, 5744897]
[ordered-list, [31.0, 580.0, 368.0, 18.0], shoonya_19s301IN6Q0P4P, 5744897]
[ordered-list, [31.0, 598.0, 368.0, 18.0], shoonya_19s301IN6Q0P4P, 5744897]
[ordered-list, [31.0, 616.0, 368.0, 18.0], shoonya_19s301IN6Q0P4P, 5744897]
[sub-ordered-list, [34.0, 476.0, 352.0, 18.0], SD41_3Zru9, 5744897]
[sub-ordered-list, [34.0, 494.0, 352.0, 18.0], SD41_3Zru9, 5744897]
[sub-ordered-list, [34.0, 512.0, 352.0, 18.0], SD41_3Zru9, 5744897]
[sub-ordered-list, [34.0, 530.0, 352.0, 18.0], SD41_3Zru9, 5744897]
[sub-ordered-list, [34.0, 548.0, 352.0, 18.0], SD41_3Zru9, 5744897]
[sub-ordered-list, [34.0, 566.0, 352.0, 18.0], SD41_3Zru9, 5744897]
[sub-ordered-list, [34.0, 584.0, 352.0, 18.0], SD41_3Zru9, 5744897]
[sub-ordered-list, [34.0, 602.0, 352.0, 18.0], SD41_3Zru9, 5744897]
[sub-ordered-list, [34.0, 620.0, 352.0, 18.0], SD41_3Zru9, 5744897]
[footnote, [113.0, 678.0, 252.0, 18.0], mBI3inbe2X, 5744897]
[footnote, [113.0, 696.0, 252.0, 18.0], mBI3inbe2X, 5744897]
