[1763, 1275]
[section-title, [665.0, 32.0, 220.0, 49.5], Ipfy_J5SBw, 5712638]
[section-title, [204.0, 49.0, 334.0, 49.5], MWq35KT5Cc, 5712638]
[section-title, [204.0, 98.5, 334.0, 49.5], MWq35KT5Cc, 5712638]
[paragraph, [680.0, 125.0, 384.0, 36.0], ViiR_puyDS, 5712638]
[paragraph, [680.0, 161.0, 384.0, 36.0], ViiR_puyDS, 5712638]
[paragraph, [680.0, 197.0, 384.0, 36.0], ViiR_puyDS, 5712638]
[paragraph, [680.0, 233.0, 384.0, 36.0], ViiR_puyDS, 5712638]
[paragraph, [680.0, 269.0, 384.0, 36.0], ViiR_puyDS, 5712638]
[paragraph, [680.0, 305.0, 384.0, 36.0], ViiR_puyDS, 5712638]
[contact-info, [213.0, 180.0, 316.0, 36.0], D45W-CMkHX, 5712638]
[contact-info, [213.0, 216.0, 316.0, 36.0], D45W-CMkHX, 5712638]
[ordered-list, [34.0, 291.0, 596.0, 36.0], shoonya_4sK5YQPJQTMMPL, 5712638]
[ordered-list, [34.0, 327.0, 596.0, 36.0], shoonya_4sK5YQPJQTMMPL, 5712638]
[ordered-list, [34.0, 363.0, 596.0, 36.0], shoonya_4sK5YQPJQTMMPL, 5712638]
[ordered-list, [34.0, 399.0, 596.0, 36.0], shoonya_4sK5YQPJQTMMPL, 5712638]
[ordered-list, [34.0, 435.0, 596.0, 36.0], shoonya_4sK5YQPJQTMMPL, 5712638]
[ordered-list, [34.0, 471.0, 596.0, 36.0], shoonya_4sK5YQPJQTMMPL, 5712638]
[ordered-list, [34.0, 507.0, 596.0, 36.0], shoonya_4sK5YQPJQTMMPL, 5712638]
[ordered-list, [34.0, 543.0, 596.0, 36.0], shoonya_4sK5YQPJQTMMPL, 5712638]
[ordered-list, [34.0, 579.0, 596.0, 36.0], shoonya_4sK5YQPJQTMMPL, 5712638]
[ordered-list, [34.0, 615.0, 596.0, 36.0], shoonya_4sK5YQPJQTMMPL, 5712638]
[ordered-list, [34.0, 651.0, 596.0, 36.0], shoonya_4sK5YQPJQTMMPL, 5712638]
[ordered-list, [34.0, 687.0, 596.0, 36.0], shoonya_4sK5YQPJQTMMPL, 5712638]
[ordered-list, [34.0, 723.0, 596.0, 36.0], shoonya_4sK5YQPJQTMMPL, 5712638]
[ordered-list, [34.0, 759.0, 596.0, 36.0], shoonya_4sK5YQPJQTMMPL, 5712638]
[ordered-list, [34.0, 795.0, 596.0, 36.0], shoonya_4sK5YQPJQTMMPL, 5712638]
