[595, 454]
[paragraph, [241.0, 44.0, 47.0, 18.0], SZQNG1erMa, 6459347]
[paragraph, [32.0, 45.0, 205.0, 18.0], shoonya_5sWMB4SDNJ3QLG, 6459347]
[paragraph, [32.0, 63.0, 205.0, 18.0], shoonya_5sWMB4SDNJ3QLG, 6459347]
[paragraph, [32.0, 81.0, 205.0, 18.0], shoonya_5sWMB4SDNJ3QLG, 6459347]
[paragraph, [244.0, 63.0, 193.0, 18.0], VGkQE3NY6g, 6459347]
[paragraph, [244.0, 81.0, 193.0, 18.0], VGkQE3NY6g, 6459347]
[paragraph, [244.0, 99.0, 193.0, 18.0], VGkQE3NY6g, 6459347]
[paragraph, [55.0, 105.0, 184.0, 18.0], b0BzvyC8wz, 6459347]
[paragraph, [55.0, 123.0, 184.0, 18.0], b0BzvyC8wz, 6459347]
[paragraph, [240.0, 124.0, 199.0, 18.0], shoonya_2s8NHA80WY4N18, 6459347]
[paragraph, [240.0, 142.0, 199.0, 18.0], shoonya_2s8NHA80WY4N18, 6459347]
[paragraph, [240.0, 160.0, 199.0, 18.0], shoonya_2s8NHA80WY4N18, 6459347]
[paragraph, [240.0, 178.0, 199.0, 18.0], shoonya_2s8NHA80WY4N18, 6459347]
[paragraph, [240.0, 196.0, 199.0, 18.0], shoonya_2s8NHA80WY4N18, 6459347]
[paragraph, [240.0, 214.0, 199.0, 18.0], shoonya_2s8NHA80WY4N18, 6459347]
[paragraph, [240.0, 232.0, 199.0, 18.0], shoonya_2s8NHA80WY4N18, 6459347]
[paragraph, [240.0, 250.0, 199.0, 18.0], shoonya_2s8NHA80WY4N18, 6459347]
[paragraph, [240.0, 268.0, 199.0, 18.0], shoonya_2s8NHA80WY4N18, 6459347]
[paragraph, [240.0, 286.0, 199.0, 18.0], shoonya_2s8NHA80WY4N18, 6459347]
[paragraph, [240.0, 304.0, 199.0, 18.0], shoonya_2s8NHA80WY4N18, 6459347]
[paragraph, [38.0, 143.0, 202.0, 18.0], shoonya_0sM1L0ZF42CENE, 6459347]
[paragraph, [38.0, 161.0, 202.0, 18.0], shoonya_0sM1L0ZF42CENE, 6459347]
[paragraph, [38.0, 179.0, 202.0, 18.0], shoonya_0sM1L0ZF42CENE, 6459347]
[paragraph, [38.0, 197.0, 202.0, 18.0], shoonya_0sM1L0ZF42CENE, 6459347]
[paragraph, [38.0, 215.0, 202.0, 18.0], shoonya_0sM1L0ZF42CENE, 6459347]
[paragraph, [37.0, 241.0, 203.0, 18.0], shoonya_4sQYVWEEUDQ7Q0, 6459347]
[paragraph, [37.0, 259.0, 203.0, 18.0], shoonya_4sQYVWEEUDQ7Q0, 6459347]
[paragraph, [37.0, 277.0, 203.0, 18.0], shoonya_4sQYVWEEUDQ7Q0, 6459347]
[paragraph, [37.0, 295.0, 203.0, 18.0], shoonya_4sQYVWEEUDQ7Q0, 6459347]
[paragraph, [37.0, 317.0, 199.0, 18.0], shoonya_6sQC3TILOAD4TG, 6459347]
[paragraph, [37.0, 335.0, 199.0, 18.0], shoonya_6sQC3TILOAD4TG, 6459347]
[paragraph, [37.0, 353.0, 199.0, 18.0], shoonya_6sQC3TILOAD4TG, 6459347]
[paragraph, [240.0, 334.0, 198.0, 18.0], shoonya_3s66JAO2SCXSRY, 6459347]
[paragraph, [240.0, 352.0, 198.0, 18.0], shoonya_3s66JAO2SCXSRY, 6459347]
[paragraph, [240.0, 370.0, 198.0, 18.0], shoonya_3s66JAO2SCXSRY, 6459347]
[paragraph, [240.0, 388.0, 198.0, 18.0], shoonya_3s66JAO2SCXSRY, 6459347]
[paragraph, [39.0, 374.0, 196.0, 18.0], iAgPwUbFVU, 6459347]
[paragraph, [39.0, 392.0, 196.0, 18.0], iAgPwUbFVU, 6459347]
