[2339, 1656]
[paragraph, [187.0, 191.0, 1278.0, 36.0], shoonya_0sT9UYUWG4VZTF, 5730899]
[paragraph, [187.0, 227.0, 1278.0, 36.0], shoonya_0sT9UYUWG4VZTF, 5730899]
[paragraph, [187.0, 263.0, 1278.0, 36.0], shoonya_0sT9UYUWG4VZTF, 5730899]
[paragraph, [187.0, 299.0, 1278.0, 36.0], shoonya_0sT9UYUWG4VZTF, 5730899]
[paragraph, [187.0, 335.0, 1278.0, 36.0], shoonya_0sT9UYUWG4VZTF, 5730899]
[paragraph, [187.0, 371.0, 1278.0, 36.0], shoonya_0sT9UYUWG4VZTF, 5730899]
[paragraph, [187.0, 407.0, 1278.0, 36.0], shoonya_0sT9UYUWG4VZTF, 5730899]
[paragraph, [184.0, 461.0, 1281.0, 36.0], shoonya_1sZE86PA7GG914, 5730899]
[paragraph, [184.0, 497.0, 1281.0, 36.0], shoonya_1sZE86PA7GG914, 5730899]
[paragraph, [184.0, 533.0, 1281.0, 36.0], shoonya_1sZE86PA7GG914, 5730899]
[paragraph, [184.0, 569.0, 1281.0, 36.0], shoonya_1sZE86PA7GG914, 5730899]
[paragraph, [184.0, 605.0, 1281.0, 36.0], shoonya_1sZE86PA7GG914, 5730899]
[paragraph, [184.0, 641.0, 1281.0, 36.0], shoonya_1sZE86PA7GG914, 5730899]
[paragraph, [184.0, 677.0, 1281.0, 36.0], shoonya_1sZE86PA7GG914, 5730899]
[paragraph, [184.0, 713.0, 1281.0, 36.0], shoonya_1sZE86PA7GG914, 5730899]
[paragraph, [184.0, 749.0, 1281.0, 36.0], shoonya_1sZE86PA7GG914, 5730899]
[paragraph, [184.0, 785.0, 1281.0, 36.0], shoonya_1sZE86PA7GG914, 5730899]
[paragraph, [184.0, 821.0, 1281.0, 36.0], shoonya_1sZE86PA7GG914, 5730899]
[paragraph, [184.0, 857.0, 1281.0, 36.0], shoonya_1sZE86PA7GG914, 5730899]
[paragraph, [184.0, 893.0, 1281.0, 36.0], shoonya_1sZE86PA7GG914, 5730899]
[paragraph, [184.0, 929.0, 1281.0, 36.0], shoonya_1sZE86PA7GG914, 5730899]
[paragraph, [184.0, 965.0, 1281.0, 36.0], shoonya_1sZE86PA7GG914, 5730899]
[paragraph, [184.0, 1001.0, 1281.0, 36.0], shoonya_1sZE86PA7GG914, 5730899]
[paragraph, [184.0, 1037.0, 1281.0, 36.0], shoonya_1sZE86PA7GG914, 5730899]
[paragraph, [184.0, 1073.0, 1281.0, 36.0], shoonya_1sZE86PA7GG914, 5730899]
[paragraph, [184.0, 1109.0, 1281.0, 36.0], shoonya_1sZE86PA7GG914, 5730899]
[paragraph, [184.0, 1145.0, 1281.0, 36.0], shoonya_1sZE86PA7GG914, 5730899]
[paragraph, [184.0, 1181.0, 1281.0, 36.0], shoonya_1sZE86PA7GG914, 5730899]
[paragraph, [184.0, 1217.0, 1281.0, 36.0], shoonya_1sZE86PA7GG914, 5730899]
[paragraph, [184.0, 1253.0, 1281.0, 36.0], shoonya_1sZE86PA7GG914, 5730899]
[paragraph, [184.0, 1289.0, 1281.0, 36.0], shoonya_1sZE86PA7GG914, 5730899]
[paragraph, [184.0, 1325.0, 1281.0, 36.0], shoonya_1sZE86PA7GG914, 5730899]
[paragraph, [184.0, 1361.0, 1281.0, 36.0], shoonya_1sZE86PA7GG914, 5730899]
[paragraph, [184.0, 1397.0, 1281.0, 36.0], shoonya_1sZE86PA7GG914, 5730899]
[paragraph, [184.0, 1433.0, 1281.0, 36.0], shoonya_1sZE86PA7GG914, 5730899]
[paragraph, [184.0, 1469.0, 1281.0, 36.0], shoonya_1sZE86PA7GG914, 5730899]
[paragraph, [184.0, 1505.0, 1281.0, 36.0], shoonya_1sZE86PA7GG914, 5730899]
[paragraph, [184.0, 1541.0, 1281.0, 36.0], shoonya_1sZE86PA7GG914, 5730899]
[paragraph, [184.0, 1577.0, 1281.0, 36.0], shoonya_1sZE86PA7GG914, 5730899]
[paragraph, [184.0, 1613.0, 1281.0, 36.0], shoonya_1sZE86PA7GG914, 5730899]
[paragraph, [184.0, 1649.0, 1281.0, 36.0], shoonya_1sZE86PA7GG914, 5730899]
[paragraph, [184.0, 1685.0, 1281.0, 36.0], shoonya_1sZE86PA7GG914, 5730899]
[paragraph, [184.0, 1721.0, 1281.0, 36.0], shoonya_1sZE86PA7GG914, 5730899]
[paragraph, [184.0, 1800.0, 1286.0, 36.0], shoonya_2s4WSTJ2Z3I93D, 5730899]
[paragraph, [184.0, 1836.0, 1286.0, 36.0], shoonya_2s4WSTJ2Z3I93D, 5730899]
[paragraph, [184.0, 1872.0, 1286.0, 36.0], shoonya_2s4WSTJ2Z3I93D, 5730899]
[paragraph, [184.0, 1908.0, 1286.0, 36.0], shoonya_2s4WSTJ2Z3I93D, 5730899]
[paragraph, [184.0, 1944.0, 1286.0, 36.0], shoonya_2s4WSTJ2Z3I93D, 5730899]
[paragraph, [184.0, 1980.0, 1286.0, 36.0], shoonya_2s4WSTJ2Z3I93D, 5730899]
[paragraph, [184.0, 2016.0, 1286.0, 36.0], shoonya_2s4WSTJ2Z3I93D, 5730899]
[paragraph, [184.0, 2052.0, 1286.0, 36.0], shoonya_2s4WSTJ2Z3I93D, 5730899]
[paragraph, [184.0, 2088.0, 1286.0, 36.0], shoonya_2s4WSTJ2Z3I93D, 5730899]
