[1754, 1241]
[section-title, [329.0, 71.0, 510.0, 49.5], shoonya_2sRYNKRGAIZ42P, 5715980]
[section-title, [329.0, 120.5, 510.0, 49.5], shoonya_2sRYNKRGAIZ42P, 5715980]
[section-title, [329.0, 170.0, 510.0, 49.5], shoonya_2sRYNKRGAIZ42P, 5715980]
[sub-section-title, [147.0, 254.0, 943.0, 36.0], shoonya_1sCJQ55705I8ZQ, 5715980]
[sub-section-title, [147.0, 290.0, 943.0, 36.0], shoonya_1sCJQ55705I8ZQ, 5715980]
[sub-section-title, [147.0, 326.0, 943.0, 36.0], shoonya_1sCJQ55705I8ZQ, 5715980]
[answer, [697.0, 449.0, 541.0, 36.0], Wbi4KYn91s, 5715980]
[answer, [697.0, 485.0, 541.0, 36.0], Wbi4KYn91s, 5715980]
[answer, [697.0, 521.0, 541.0, 36.0], Wbi4KYn91s, 5715980]
[answer, [697.0, 557.0, 541.0, 36.0], Wbi4KYn91s, 5715980]
[answer, [697.0, 593.0, 541.0, 36.0], Wbi4KYn91s, 5715980]
[answer, [697.0, 629.0, 541.0, 36.0], Wbi4KYn91s, 5715980]
[answer, [697.0, 665.0, 541.0, 36.0], Wbi4KYn91s, 5715980]
[answer, [694.0, 750.0, 489.0, 36.0], PPgpFgYEsa, 5715980]
[answer, [694.0, 786.0, 489.0, 36.0], PPgpFgYEsa, 5715980]
[answer, [694.0, 822.0, 489.0, 36.0], PPgpFgYEsa, 5715980]
[answer, [697.0, 895.0, 496.0, 36.0], RyvLe_ct2F, 5715980]
[answer, [697.0, 931.0, 496.0, 36.0], RyvLe_ct2F, 5715980]
[answer, [697.0, 967.0, 496.0, 36.0], RyvLe_ct2F, 5715980]
[answer, [697.0, 1003.0, 496.0, 36.0], RyvLe_ct2F, 5715980]
[answer, [693.0, 1093.0, 522.0, 36.0], cGYWgaqmxl, 5715980]
[answer, [693.0, 1129.0, 522.0, 36.0], cGYWgaqmxl, 5715980]
[answer, [693.0, 1165.0, 522.0, 36.0], cGYWgaqmxl, 5715980]
[answer, [693.0, 1201.0, 522.0, 36.0], cGYWgaqmxl, 5715980]
[answer, [691.0, 1249.0, 514.0, 36.0], Cw1slrvWj6, 5715980]
[answer, [691.0, 1285.0, 514.0, 36.0], Cw1slrvWj6, 5715980]
[answer, [691.0, 1321.0, 514.0, 36.0], Cw1slrvWj6, 5715980]
[answer, [691.0, 1357.0, 514.0, 36.0], Cw1slrvWj6, 5715980]
[answer, [691.0, 1393.0, 514.0, 36.0], Cw1slrvWj6, 5715980]
[answer, [691.0, 1429.0, 514.0, 36.0], Cw1slrvWj6, 5715980]
[answer, [693.0, 1497.0, 485.0, 36.0], xgkd857l-8, 5715980]
[answer, [693.0, 1533.0, 485.0, 36.0], xgkd857l-8, 5715980]
[answer, [693.0, 1569.0, 485.0, 36.0], xgkd857l-8, 5715980]
[answer, [693.0, 1605.0, 485.0, 36.0], xgkd857l-8, 5715980]
[answer, [693.0, 1641.0, 485.0, 36.0], xgkd857l-8, 5715980]
