[2339, 1656]
[paragraph, [844.0, 72.0, 703.0, 36.0], shoonya_3sZCUHQG58CH0H, 5749954]
[paragraph, [844.0, 108.0, 703.0, 36.0], shoonya_3sZCUHQG58CH0H, 5749954]
[paragraph, [844.0, 144.0, 703.0, 36.0], shoonya_3sZCUHQG58CH0H, 5749954]
[paragraph, [844.0, 180.0, 703.0, 36.0], shoonya_3sZCUHQG58CH0H, 5749954]
[paragraph, [844.0, 216.0, 703.0, 36.0], shoonya_3sZCUHQG58CH0H, 5749954]
[paragraph, [844.0, 252.0, 703.0, 36.0], shoonya_3sZCUHQG58CH0H, 5749954]
[paragraph, [844.0, 288.0, 703.0, 36.0], shoonya_3sZCUHQG58CH0H, 5749954]
[paragraph, [111.0, 77.0, 713.0, 36.0], shoonya_2sQ53EV0Y718YA, 5749954]
[paragraph, [111.0, 113.0, 713.0, 36.0], shoonya_2sQ53EV0Y718YA, 5749954]
[paragraph, [111.0, 149.0, 713.0, 36.0], shoonya_2sQ53EV0Y718YA, 5749954]
[paragraph, [111.0, 185.0, 713.0, 36.0], shoonya_2sQ53EV0Y718YA, 5749954]
[paragraph, [111.0, 221.0, 713.0, 36.0], shoonya_2sQ53EV0Y718YA, 5749954]
[paragraph, [111.0, 257.0, 713.0, 36.0], shoonya_2sQ53EV0Y718YA, 5749954]
[paragraph, [111.0, 293.0, 713.0, 36.0], shoonya_2sQ53EV0Y718YA, 5749954]
[paragraph, [111.0, 329.0, 713.0, 36.0], shoonya_2sQ53EV0Y718YA, 5749954]
[paragraph, [111.0, 365.0, 713.0, 36.0], shoonya_2sQ53EV0Y718YA, 5749954]
[paragraph, [111.0, 401.0, 713.0, 36.0], shoonya_2sQ53EV0Y718YA, 5749954]
[paragraph, [111.0, 437.0, 713.0, 36.0], shoonya_2sQ53EV0Y718YA, 5749954]
[paragraph, [111.0, 473.0, 713.0, 36.0], shoonya_2sQ53EV0Y718YA, 5749954]
[paragraph, [111.0, 509.0, 713.0, 36.0], shoonya_2sQ53EV0Y718YA, 5749954]
[paragraph, [111.0, 545.0, 713.0, 36.0], shoonya_2sQ53EV0Y718YA, 5749954]
[paragraph, [111.0, 581.0, 713.0, 36.0], shoonya_2sQ53EV0Y718YA, 5749954]
[paragraph, [111.0, 617.0, 713.0, 36.0], shoonya_2sQ53EV0Y718YA, 5749954]
[paragraph, [111.0, 653.0, 713.0, 36.0], shoonya_2sQ53EV0Y718YA, 5749954]
[paragraph, [111.0, 689.0, 713.0, 36.0], shoonya_2sQ53EV0Y718YA, 5749954]
[paragraph, [111.0, 725.0, 713.0, 36.0], shoonya_2sQ53EV0Y718YA, 5749954]
[paragraph, [111.0, 761.0, 713.0, 36.0], shoonya_2sQ53EV0Y718YA, 5749954]
[paragraph, [111.0, 797.0, 713.0, 36.0], shoonya_2sQ53EV0Y718YA, 5749954]
[paragraph, [111.0, 833.0, 713.0, 36.0], shoonya_2sQ53EV0Y718YA, 5749954]
[paragraph, [111.0, 869.0, 713.0, 36.0], shoonya_2sQ53EV0Y718YA, 5749954]
[paragraph, [111.0, 905.0, 713.0, 36.0], shoonya_2sQ53EV0Y718YA, 5749954]
[paragraph, [111.0, 941.0, 713.0, 36.0], shoonya_2sQ53EV0Y718YA, 5749954]
[paragraph, [111.0, 977.0, 713.0, 36.0], shoonya_2sQ53EV0Y718YA, 5749954]
[paragraph, [111.0, 1013.0, 713.0, 36.0], shoonya_2sQ53EV0Y718YA, 5749954]
[paragraph, [111.0, 1049.0, 713.0, 36.0], shoonya_2sQ53EV0Y718YA, 5749954]
[paragraph, [854.0, 345.0, 701.0, 36.0], shoonya_0sZFS9OA8FD9C7, 5749954]
