[594, 841]
[paragraph, [500.0, 64.0, 292.0, 18.0], EaT1MTzux_, 6532621]
[paragraph, [500.0, 82.0, 292.0, 18.0], EaT1MTzux_, 6532621]
[paragraph, [500.0, 100.0, 292.0, 18.0], EaT1MTzux_, 6532621]
[paragraph, [500.0, 118.0, 292.0, 18.0], EaT1MTzux_, 6532621]
[paragraph, [500.0, 136.0, 292.0, 18.0], EaT1MTzux_, 6532621]
[paragraph, [500.0, 154.0, 292.0, 18.0], EaT1MTzux_, 6532621]
[paragraph, [500.0, 172.0, 292.0, 18.0], EaT1MTzux_, 6532621]
[paragraph, [500.0, 190.0, 292.0, 18.0], EaT1MTzux_, 6532621]
[paragraph, [500.0, 208.0, 292.0, 18.0], EaT1MTzux_, 6532621]
[paragraph, [500.0, 226.0, 292.0, 18.0], EaT1MTzux_, 6532621]
[paragraph, [500.0, 244.0, 292.0, 18.0], EaT1MTzux_, 6532621]
[paragraph, [500.0, 262.0, 292.0, 18.0], EaT1MTzux_, 6532621]
[paragraph, [500.0, 280.0, 292.0, 18.0], EaT1MTzux_, 6532621]
[paragraph, [125.0, 83.0, 294.0, 18.0], gN5OO_Ip5z, 6532621]
[paragraph, [125.0, 101.0, 294.0, 18.0], gN5OO_Ip5z, 6532621]
[paragraph, [125.0, 119.0, 294.0, 18.0], gN5OO_Ip5z, 6532621]
[paragraph, [125.0, 137.0, 294.0, 18.0], gN5OO_Ip5z, 6532621]
[paragraph, [125.0, 155.0, 294.0, 18.0], gN5OO_Ip5z, 6532621]
[paragraph, [125.0, 173.0, 294.0, 18.0], gN5OO_Ip5z, 6532621]
[paragraph, [122.0, 201.0, 292.0, 18.0], shoonya_0sI8ID645EITF6, 6532621]
[paragraph, [122.0, 219.0, 292.0, 18.0], shoonya_0sI8ID645EITF6, 6532621]
[paragraph, [122.0, 237.0, 292.0, 18.0], shoonya_0sI8ID645EITF6, 6532621]
[paragraph, [122.0, 255.0, 292.0, 18.0], shoonya_0sI8ID645EITF6, 6532621]
[paragraph, [122.0, 273.0, 292.0, 18.0], shoonya_0sI8ID645EITF6, 6532621]
[paragraph, [122.0, 291.0, 292.0, 18.0], shoonya_0sI8ID645EITF6, 6532621]
[paragraph, [122.0, 309.0, 292.0, 18.0], shoonya_0sI8ID645EITF6, 6532621]
[paragraph, [122.0, 327.0, 292.0, 18.0], shoonya_0sI8ID645EITF6, 6532621]
[paragraph, [122.0, 345.0, 292.0, 18.0], shoonya_0sI8ID645EITF6, 6532621]
[paragraph, [122.0, 363.0, 292.0, 18.0], shoonya_0sI8ID645EITF6, 6532621]
[paragraph, [122.0, 381.0, 292.0, 18.0], shoonya_0sI8ID645EITF6, 6532621]
[paragraph, [122.0, 399.0, 292.0, 18.0], shoonya_0sI8ID645EITF6, 6532621]
[paragraph, [122.0, 417.0, 292.0, 18.0], shoonya_0sI8ID645EITF6, 6532621]
[paragraph, [122.0, 435.0, 292.0, 18.0], shoonya_0sI8ID645EITF6, 6532621]
[paragraph, [120.0, 460.0, 295.0, 18.0], ui-CjE1g5R, 6532621]
[paragraph, [120.0, 478.0, 295.0, 18.0], ui-CjE1g5R, 6532621]
[paragraph, [120.0, 496.0, 295.0, 18.0], ui-CjE1g5R, 6532621]
[paragraph, [120.0, 514.0, 295.0, 18.0], ui-CjE1g5R, 6532621]
