[2046, 1467]
[paragraph, [275.0, 157.0, 1092.0, 36.0], shoonya_6sLD8MLYLONVMF, 5652605]
[paragraph, [275.0, 193.0, 1092.0, 36.0], shoonya_6sLD8MLYLONVMF, 5652605]
[paragraph, [275.0, 229.0, 1092.0, 36.0], shoonya_6sLD8MLYLONVMF, 5652605]
[paragraph, [275.0, 265.0, 1092.0, 36.0], shoonya_6sLD8MLYLONVMF, 5652605]
[paragraph, [275.0, 301.0, 1092.0, 36.0], shoonya_6sLD8MLYLONVMF, 5652605]
[paragraph, [274.0, 479.0, 1094.0, 36.0], shoonya_1sOU9XWRCTPUPL, 5652605]
[paragraph, [274.0, 515.0, 1094.0, 36.0], shoonya_1sOU9XWRCTPUPL, 5652605]
[paragraph, [274.0, 551.0, 1094.0, 36.0], shoonya_1sOU9XWRCTPUPL, 5652605]
[paragraph, [274.0, 587.0, 1094.0, 36.0], shoonya_1sOU9XWRCTPUPL, 5652605]
[paragraph, [274.0, 623.0, 1094.0, 36.0], shoonya_1sOU9XWRCTPUPL, 5652605]
[paragraph, [274.0, 659.0, 1094.0, 36.0], shoonya_1sOU9XWRCTPUPL, 5652605]
[paragraph, [274.0, 695.0, 1094.0, 36.0], shoonya_1sOU9XWRCTPUPL, 5652605]
[paragraph, [274.0, 731.0, 1094.0, 36.0], shoonya_1sOU9XWRCTPUPL, 5652605]
[paragraph, [274.0, 767.0, 1094.0, 36.0], shoonya_1sOU9XWRCTPUPL, 5652605]
[paragraph, [274.0, 803.0, 1094.0, 36.0], shoonya_1sOU9XWRCTPUPL, 5652605]
[paragraph, [274.0, 839.0, 1094.0, 36.0], shoonya_1sOU9XWRCTPUPL, 5652605]
[paragraph, [274.0, 875.0, 1094.0, 36.0], shoonya_1sOU9XWRCTPUPL, 5652605]
[paragraph, [276.0, 971.0, 1082.0, 36.0], shoonya_2sKCW17XZEMQIE, 5652605]
[paragraph, [276.0, 1007.0, 1082.0, 36.0], shoonya_2sKCW17XZEMQIE, 5652605]
[paragraph, [276.0, 1043.0, 1082.0, 36.0], shoonya_2sKCW17XZEMQIE, 5652605]
[paragraph, [276.0, 1079.0, 1082.0, 36.0], shoonya_2sKCW17XZEMQIE, 5652605]
[paragraph, [276.0, 1115.0, 1082.0, 36.0], shoonya_2sKCW17XZEMQIE, 5652605]
[paragraph, [273.0, 1201.0, 1093.0, 36.0], shoonya_0s0EQ417AQN0RJ, 5652605]
[paragraph, [273.0, 1237.0, 1093.0, 36.0], shoonya_0s0EQ417AQN0RJ, 5652605]
[paragraph, [273.0, 1273.0, 1093.0, 36.0], shoonya_0s0EQ417AQN0RJ, 5652605]
[paragraph, [273.0, 1309.0, 1093.0, 36.0], shoonya_0s0EQ417AQN0RJ, 5652605]
[paragraph, [273.0, 1345.0, 1093.0, 36.0], shoonya_0s0EQ417AQN0RJ, 5652605]
[paragraph, [273.0, 1381.0, 1093.0, 36.0], shoonya_0s0EQ417AQN0RJ, 5652605]
[paragraph, [273.0, 1417.0, 1093.0, 36.0], shoonya_0s0EQ417AQN0RJ, 5652605]
[paragraph, [273.0, 1453.0, 1093.0, 36.0], shoonya_0s0EQ417AQN0RJ, 5652605]
[paragraph, [273.0, 1489.0, 1093.0, 36.0], shoonya_0s0EQ417AQN0RJ, 5652605]
[paragraph, [273.0, 1525.0, 1093.0, 36.0], shoonya_0s0EQ417AQN0RJ, 5652605]
[paragraph, [273.0, 1561.0, 1093.0, 36.0], shoonya_0s0EQ417AQN0RJ, 5652605]
[paragraph, [273.0, 1597.0, 1093.0, 36.0], shoonya_0s0EQ417AQN0RJ, 5652605]
[paragraph, [273.0, 1633.0, 1093.0, 36.0], shoonya_0s0EQ417AQN0RJ, 5652605]
[paragraph, [273.0, 1669.0, 1093.0, 36.0], shoonya_0s0EQ417AQN0RJ, 5652605]
[footnote, [276.0, 1857.0, 616.0, 36.0], shoonya_3sZAK8QP12F57H, 5652605]
[footnote, [276.0, 1893.0, 616.0, 36.0], shoonya_3sZAK8QP12F57H, 5652605]
