[576, 360]
[folio, [155.0, 27.0, 144.0, 18.0], -uqQWIHYP9, 6515342]
[ordered-list, [25.0, 60.0, 305.0, 18.0], shoonya_1sQLBGJ08GBQO4, 6515342]
[ordered-list, [25.0, 78.0, 305.0, 18.0], shoonya_1sQLBGJ08GBQO4, 6515342]
[ordered-list, [25.0, 96.0, 305.0, 18.0], shoonya_1sQLBGJ08GBQO4, 6515342]
[ordered-list, [25.0, 114.0, 305.0, 18.0], shoonya_1sQLBGJ08GBQO4, 6515342]
[ordered-list, [25.0, 132.0, 305.0, 18.0], shoonya_1sQLBGJ08GBQO4, 6515342]
[ordered-list, [25.0, 198.0, 303.0, 18.0], 7bBuf6Bxtt, 6515342]
[ordered-list, [25.0, 216.0, 303.0, 18.0], 7bBuf6Bxtt, 6515342]
[ordered-list, [25.0, 234.0, 303.0, 18.0], 7bBuf6Bxtt, 6515342]
[ordered-list, [25.0, 252.0, 303.0, 18.0], 7bBuf6Bxtt, 6515342]
[ordered-list, [25.0, 270.0, 303.0, 18.0], 7bBuf6Bxtt, 6515342]
[ordered-list, [25.0, 288.0, 303.0, 18.0], 7bBuf6Bxtt, 6515342]
[ordered-list, [25.0, 306.0, 303.0, 18.0], 7bBuf6Bxtt, 6515342]
[ordered-list, [25.0, 324.0, 303.0, 18.0], 7bBuf6Bxtt, 6515342]
[ordered-list, [25.0, 342.0, 303.0, 18.0], 7bBuf6Bxtt, 6515342]
[ordered-list, [25.0, 360.0, 303.0, 18.0], 7bBuf6Bxtt, 6515342]
[ordered-list, [25.0, 378.0, 303.0, 18.0], 7bBuf6Bxtt, 6515342]
[ordered-list, [25.0, 396.0, 303.0, 18.0], 7bBuf6Bxtt, 6515342]
[ordered-list, [25.0, 414.0, 303.0, 18.0], 7bBuf6Bxtt, 6515342]
[ordered-list, [25.0, 432.0, 303.0, 18.0], 7bBuf6Bxtt, 6515342]
[ordered-list, [25.0, 450.0, 303.0, 18.0], 7bBuf6Bxtt, 6515342]
[ordered-list, [25.0, 468.0, 303.0, 18.0], 7bBuf6Bxtt, 6515342]
[ordered-list, [25.0, 486.0, 303.0, 18.0], 7bBuf6Bxtt, 6515342]
[ordered-list, [25.0, 504.0, 303.0, 18.0], 7bBuf6Bxtt, 6515342]
