[2339, 1656]
[paragraph, [125.0, 98.0, 707.0, 36.0], shoonya_1sBLIRDQUE2WY4, 5749271]
[paragraph, [125.0, 134.0, 707.0, 36.0], shoonya_1sBLIRDQUE2WY4, 5749271]
[paragraph, [125.0, 170.0, 707.0, 36.0], shoonya_1sBLIRDQUE2WY4, 5749271]
[paragraph, [125.0, 206.0, 707.0, 36.0], shoonya_1sBLIRDQUE2WY4, 5749271]
[paragraph, [125.0, 242.0, 707.0, 36.0], shoonya_1sBLIRDQUE2WY4, 5749271]
[paragraph, [125.0, 278.0, 707.0, 36.0], shoonya_1sBLIRDQUE2WY4, 5749271]
[paragraph, [125.0, 314.0, 707.0, 36.0], shoonya_1sBLIRDQUE2WY4, 5749271]
[paragraph, [125.0, 350.0, 707.0, 36.0], shoonya_1sBLIRDQUE2WY4, 5749271]
[paragraph, [125.0, 386.0, 707.0, 36.0], shoonya_1sBLIRDQUE2WY4, 5749271]
[paragraph, [125.0, 422.0, 707.0, 36.0], shoonya_1sBLIRDQUE2WY4, 5749271]
[paragraph, [125.0, 458.0, 707.0, 36.0], shoonya_1sBLIRDQUE2WY4, 5749271]
[paragraph, [125.0, 494.0, 707.0, 36.0], shoonya_1sBLIRDQUE2WY4, 5749271]
[paragraph, [125.0, 530.0, 707.0, 36.0], shoonya_1sBLIRDQUE2WY4, 5749271]
[paragraph, [125.0, 566.0, 707.0, 36.0], shoonya_1sBLIRDQUE2WY4, 5749271]
[paragraph, [125.0, 602.0, 707.0, 36.0], shoonya_1sBLIRDQUE2WY4, 5749271]
[paragraph, [125.0, 638.0, 707.0, 36.0], shoonya_1sBLIRDQUE2WY4, 5749271]
[paragraph, [125.0, 674.0, 707.0, 36.0], shoonya_1sBLIRDQUE2WY4, 5749271]
[paragraph, [125.0, 710.0, 707.0, 36.0], shoonya_1sBLIRDQUE2WY4, 5749271]
[paragraph, [125.0, 746.0, 707.0, 36.0], shoonya_1sBLIRDQUE2WY4, 5749271]
[paragraph, [125.0, 782.0, 707.0, 36.0], shoonya_1sBLIRDQUE2WY4, 5749271]
[paragraph, [125.0, 818.0, 707.0, 36.0], shoonya_1sBLIRDQUE2WY4, 5749271]
[paragraph, [125.0, 854.0, 707.0, 36.0], shoonya_1sBLIRDQUE2WY4, 5749271]
[paragraph, [125.0, 890.0, 707.0, 36.0], shoonya_1sBLIRDQUE2WY4, 5749271]
[paragraph, [125.0, 926.0, 707.0, 36.0], shoonya_1sBLIRDQUE2WY4, 5749271]
[paragraph, [125.0, 962.0, 707.0, 36.0], shoonya_1sBLIRDQUE2WY4, 5749271]
[paragraph, [125.0, 998.0, 707.0, 36.0], shoonya_1sBLIRDQUE2WY4, 5749271]
[paragraph, [125.0, 1034.0, 707.0, 36.0], shoonya_1sBLIRDQUE2WY4, 5749271]
[paragraph, [862.0, 108.0, 701.0, 36.0], shoonya_2sILJFL98LWGVJ, 5749271]
[paragraph, [862.0, 144.0, 701.0, 36.0], shoonya_2sILJFL98LWGVJ, 5749271]
[paragraph, [862.0, 180.0, 701.0, 36.0], shoonya_2sILJFL98LWGVJ, 5749271]
[paragraph, [862.0, 216.0, 701.0, 36.0], shoonya_2sILJFL98LWGVJ, 5749271]
[paragraph, [862.0, 252.0, 701.0, 36.0], shoonya_2sILJFL98LWGVJ, 5749271]
[paragraph, [862.0, 288.0, 701.0, 36.0], shoonya_2sILJFL98LWGVJ, 5749271]
[paragraph, [862.0, 324.0, 701.0, 36.0], shoonya_2sILJFL98LWGVJ, 5749271]
[paragraph, [862.0, 360.0, 701.0, 36.0], shoonya_2sILJFL98LWGVJ, 5749271]
[paragraph, [862.0, 396.0, 701.0, 36.0], shoonya_2sILJFL98LWGVJ, 5749271]
[paragraph, [862.0, 432.0, 701.0, 36.0], shoonya_2sILJFL98LWGVJ, 5749271]
[paragraph, [862.0, 468.0, 701.0, 36.0], shoonya_2sILJFL98LWGVJ, 5749271]
[paragraph, [862.0, 504.0, 701.0, 36.0], shoonya_2sILJFL98LWGVJ, 5749271]
[paragraph, [862.0, 540.0, 701.0, 36.0], shoonya_2sILJFL98LWGVJ, 5749271]
[paragraph, [862.0, 576.0, 701.0, 36.0], shoonya_2sILJFL98LWGVJ, 5749271]
[paragraph, [862.0, 612.0, 701.0, 36.0], shoonya_2sILJFL98LWGVJ, 5749271]
[paragraph, [862.0, 648.0, 701.0, 36.0], shoonya_2sILJFL98LWGVJ, 5749271]
[paragraph, [862.0, 684.0, 701.0, 36.0], shoonya_2sILJFL98LWGVJ, 5749271]
[paragraph, [862.0, 720.0, 701.0, 36.0], shoonya_2sILJFL98LWGVJ, 5749271]
[paragraph, [862.0, 756.0, 701.0, 36.0], shoonya_2sILJFL98LWGVJ, 5749271]
[paragraph, [862.0, 792.0, 701.0, 36.0], shoonya_2sILJFL98LWGVJ, 5749271]
[paragraph, [862.0, 828.0, 701.0, 36.0], shoonya_2sILJFL98LWGVJ, 5749271]
[paragraph, [862.0, 864.0, 701.0, 36.0], shoonya_2sILJFL98LWGVJ, 5749271]
[paragraph, [862.0, 900.0, 701.0, 36.0], shoonya_2sILJFL98LWGVJ, 5749271]
[paragraph, [862.0, 936.0, 701.0, 36.0], shoonya_2sILJFL98LWGVJ, 5749271]
[paragraph, [862.0, 972.0, 701.0, 36.0], shoonya_2sILJFL98LWGVJ, 5749271]
[paragraph, [862.0, 1008.0, 701.0, 36.0], shoonya_2sILJFL98LWGVJ, 5749271]
[paragraph, [862.0, 1044.0, 701.0, 36.0], shoonya_2sILJFL98LWGVJ, 5749271]
[paragraph, [862.0, 1080.0, 701.0, 36.0], shoonya_2sILJFL98LWGVJ, 5749271]
[paragraph, [862.0, 1116.0, 701.0, 36.0], shoonya_2sILJFL98LWGVJ, 5749271]
[paragraph, [862.0, 1152.0, 701.0, 36.0], shoonya_2sILJFL98LWGVJ, 5749271]
[paragraph, [862.0, 1188.0, 701.0, 36.0], shoonya_2sILJFL98LWGVJ, 5749271]
