[1372, 849]
[section-title, [296.0, 67.0, 250.0, 30.0], shoonya_2s6O530VAVNZ6S, 5710483]
[paragraph, [70.0, 131.0, 710.0, 18.0], shoonya_0sBR9UY3MOOAG4, 5710483]
[paragraph, [70.0, 149.0, 710.0, 18.0], shoonya_0sBR9UY3MOOAG4, 5710483]
[paragraph, [70.0, 167.0, 710.0, 18.0], shoonya_0sBR9UY3MOOAG4, 5710483]
[paragraph, [70.0, 185.0, 710.0, 18.0], shoonya_0sBR9UY3MOOAG4, 5710483]
[paragraph, [70.0, 203.0, 710.0, 18.0], shoonya_0sBR9UY3MOOAG4, 5710483]
[paragraph, [70.0, 221.0, 710.0, 18.0], shoonya_0sBR9UY3MOOAG4, 5710483]
[paragraph, [70.0, 239.0, 710.0, 18.0], shoonya_0sBR9UY3MOOAG4, 5710483]
[paragraph, [70.0, 257.0, 710.0, 18.0], shoonya_0sBR9UY3MOOAG4, 5710483]
[paragraph, [70.0, 275.0, 710.0, 18.0], shoonya_0sBR9UY3MOOAG4, 5710483]
[paragraph, [70.0, 293.0, 710.0, 18.0], shoonya_0sBR9UY3MOOAG4, 5710483]
[paragraph, [70.0, 311.0, 710.0, 18.0], shoonya_0sBR9UY3MOOAG4, 5710483]
[paragraph, [70.0, 329.0, 710.0, 18.0], shoonya_0sBR9UY3MOOAG4, 5710483]
[paragraph, [70.0, 347.0, 710.0, 18.0], shoonya_0sBR9UY3MOOAG4, 5710483]
[paragraph, [70.0, 365.0, 710.0, 18.0], shoonya_0sBR9UY3MOOAG4, 5710483]
[paragraph, [70.0, 383.0, 710.0, 18.0], shoonya_0sBR9UY3MOOAG4, 5710483]
[paragraph, [70.0, 401.0, 710.0, 18.0], shoonya_0sBR9UY3MOOAG4, 5710483]
[paragraph, [70.0, 419.0, 710.0, 18.0], shoonya_0sBR9UY3MOOAG4, 5710483]
[paragraph, [70.0, 437.0, 710.0, 18.0], shoonya_0sBR9UY3MOOAG4, 5710483]
[paragraph, [70.0, 455.0, 710.0, 18.0], shoonya_0sBR9UY3MOOAG4, 5710483]
[paragraph, [70.0, 473.0, 710.0, 18.0], shoonya_0sBR9UY3MOOAG4, 5710483]
[paragraph, [70.0, 491.0, 710.0, 18.0], shoonya_0sBR9UY3MOOAG4, 5710483]
[paragraph, [64.0, 507.0, 712.0, 18.0], shoonya_1s4W1ZVYRL9VBD, 5710483]
