[1365, 834]
[folio, [608.0, 57.0, 118.0, 18.0], shoonya_11s7C4R1RIN1RZ, 5782374]
[folio, [608.0, 75.0, 118.0, 18.0], shoonya_11s7C4R1RIN1RZ, 5782374]
[section-title, [314.0, 115.0, 189.0, 30.0], shoonya_4sSZMSQ8CMPX7J, 5782374]
[figure-caption, [297.0, 238.0, 140.0, 18.0], gYArJcRUz1, 5782374]
[figure-caption, [256.0, 335.0, 101.0, 18.0], 4B5AbnP2q0, 5782374]
[sidebar, [632.0, 663.0, 99.0, 18.0], oQVX4GkkRM, 5782374]
[figure-caption, [126.0, 683.0, 604.0, 18.0], shoonya_10s7GZJT3LO1D3, 5782374]
[paragraph, [86.0, 726.0, 646.0, 18.0], shoonya_5sZDJO5C1QH0H7, 5782374]
[paragraph, [86.0, 744.0, 646.0, 18.0], shoonya_5sZDJO5C1QH0H7, 5782374]
[paragraph, [86.0, 762.0, 646.0, 18.0], shoonya_5sZDJO5C1QH0H7, 5782374]
[paragraph, [86.0, 780.0, 646.0, 18.0], shoonya_5sZDJO5C1QH0H7, 5782374]
[ordered-list, [86.0, 810.0, 655.0, 18.0], shoonya_3sDLFFL21FD90Z, 5782374]
[ordered-list, [86.0, 828.0, 655.0, 18.0], shoonya_3sDLFFL21FD90Z, 5782374]
[ordered-list, [86.0, 846.0, 655.0, 18.0], shoonya_3sDLFFL21FD90Z, 5782374]
[ordered-list, [86.0, 864.0, 655.0, 18.0], shoonya_3sDLFFL21FD90Z, 5782374]
[ordered-list, [86.0, 882.0, 655.0, 18.0], shoonya_3sDLFFL21FD90Z, 5782374]
[ordered-list, [86.0, 900.0, 655.0, 18.0], shoonya_3sDLFFL21FD90Z, 5782374]
[ordered-list, [86.0, 918.0, 655.0, 18.0], shoonya_3sDLFFL21FD90Z, 5782374]
[ordered-list, [86.0, 936.0, 655.0, 18.0], shoonya_3sDLFFL21FD90Z, 5782374]
[ordered-list, [86.0, 954.0, 655.0, 18.0], shoonya_3sDLFFL21FD90Z, 5782374]
[ordered-list, [86.0, 972.0, 655.0, 18.0], shoonya_3sDLFFL21FD90Z, 5782374]
[ordered-list, [86.0, 990.0, 655.0, 18.0], shoonya_3sDLFFL21FD90Z, 5782374]
[ordered-list, [86.0, 1008.0, 655.0, 18.0], shoonya_3sDLFFL21FD90Z, 5782374]
[ordered-list, [86.0, 1026.0, 655.0, 18.0], shoonya_3sDLFFL21FD90Z, 5782374]
[ordered-list, [86.0, 1044.0, 655.0, 18.0], shoonya_3sDLFFL21FD90Z, 5782374]
[ordered-list, [86.0, 1062.0, 655.0, 18.0], shoonya_3sDLFFL21FD90Z, 5782374]
[ordered-list, [86.0, 1080.0, 655.0, 18.0], shoonya_3sDLFFL21FD90Z, 5782374]
[ordered-list, [86.0, 1098.0, 655.0, 18.0], shoonya_3sDLFFL21FD90Z, 5782374]
[ordered-list, [86.0, 1116.0, 655.0, 18.0], shoonya_3sDLFFL21FD90Z, 5782374]
[ordered-list, [86.0, 1134.0, 655.0, 18.0], shoonya_3sDLFFL21FD90Z, 5782374]
[ordered-list, [86.0, 1152.0, 655.0, 18.0], shoonya_3sDLFFL21FD90Z, 5782374]
[ordered-list, [86.0, 1170.0, 655.0, 18.0], shoonya_3sDLFFL21FD90Z, 5782374]
[ordered-list, [86.0, 1188.0, 655.0, 18.0], shoonya_3sDLFFL21FD90Z, 5782374]
[ordered-list, [86.0, 1206.0, 655.0, 18.0], shoonya_3sDLFFL21FD90Z, 5782374]
[ordered-list, [86.0, 1224.0, 655.0, 18.0], shoonya_3sDLFFL21FD90Z, 5782374]
[sub-ordered-list, [92.0, 842.0, 641.0, 18.0], shoonya_6sXDIGZF71JFI6, 5782374]
[sub-ordered-list, [92.0, 860.0, 641.0, 18.0], shoonya_6sXDIGZF71JFI6, 5782374]
[sub-ordered-list, [92.0, 878.0, 641.0, 18.0], shoonya_6sXDIGZF71JFI6, 5782374]
[sub-ordered-list, [92.0, 896.0, 641.0, 18.0], shoonya_6sXDIGZF71JFI6, 5782374]
[sub-ordered-list, [92.0, 914.0, 641.0, 18.0], shoonya_6sXDIGZF71JFI6, 5782374]
[sub-ordered-list, [92.0, 932.0, 641.0, 18.0], shoonya_6sXDIGZF71JFI6, 5782374]
[sub-ordered-list, [92.0, 950.0, 641.0, 18.0], shoonya_6sXDIGZF71JFI6, 5782374]
[sub-ordered-list, [92.0, 968.0, 641.0, 18.0], shoonya_6sXDIGZF71JFI6, 5782374]
[sub-ordered-list, [92.0, 986.0, 641.0, 18.0], shoonya_6sXDIGZF71JFI6, 5782374]
[sub-ordered-list, [92.0, 1004.0, 641.0, 18.0], shoonya_6sXDIGZF71JFI6, 5782374]
[sub-ordered-list, [92.0, 1022.0, 641.0, 18.0], shoonya_6sXDIGZF71JFI6, 5782374]
