[3835, 2318]
[paragraph, [83.0, 333.0, 2144.0, 52.5], shoonya_1s43KN0PNTZ14V, 5720883]
[paragraph, [83.0, 385.5, 2144.0, 52.5], shoonya_1s43KN0PNTZ14V, 5720883]
[paragraph, [83.0, 438.0, 2144.0, 52.5], shoonya_1s43KN0PNTZ14V, 5720883]
[paragraph, [83.0, 490.5, 2144.0, 52.5], shoonya_1s43KN0PNTZ14V, 5720883]
[paragraph, [57.0, 619.0, 2190.0, 52.5], shoonya_0sHSS9RPQONOUQ, 5720883]
[paragraph, [57.0, 671.5, 2190.0, 52.5], shoonya_0sHSS9RPQONOUQ, 5720883]
[paragraph, [57.0, 724.0, 2190.0, 52.5], shoonya_0sHSS9RPQONOUQ, 5720883]
[paragraph, [57.0, 776.5, 2190.0, 52.5], shoonya_0sHSS9RPQONOUQ, 5720883]
[paragraph, [57.0, 829.0, 2190.0, 52.5], shoonya_0sHSS9RPQONOUQ, 5720883]
[paragraph, [57.0, 881.5, 2190.0, 52.5], shoonya_0sHSS9RPQONOUQ, 5720883]
[paragraph, [57.0, 934.0, 2190.0, 52.5], shoonya_0sHSS9RPQONOUQ, 5720883]
[paragraph, [57.0, 986.5, 2190.0, 52.5], shoonya_0sHSS9RPQONOUQ, 5720883]
[paragraph, [57.0, 1039.0, 2190.0, 52.5], shoonya_0sHSS9RPQONOUQ, 5720883]
[paragraph, [57.0, 1091.5, 2190.0, 52.5], shoonya_0sHSS9RPQONOUQ, 5720883]
[paragraph, [57.0, 1144.0, 2190.0, 52.5], shoonya_0sHSS9RPQONOUQ, 5720883]
[paragraph, [57.0, 1196.5, 2190.0, 52.5], shoonya_0sHSS9RPQONOUQ, 5720883]
[paragraph, [84.0, 1326.0, 2144.0, 52.5], bmVjQKYWr6, 5720883]
[paragraph, [84.0, 1378.5, 2144.0, 52.5], bmVjQKYWr6, 5720883]
[paragraph, [84.0, 1431.0, 2144.0, 52.5], bmVjQKYWr6, 5720883]
[paragraph, [84.0, 1483.5, 2144.0, 52.5], bmVjQKYWr6, 5720883]
[paragraph, [84.0, 1536.0, 2144.0, 52.5], bmVjQKYWr6, 5720883]
[paragraph, [84.0, 1588.5, 2144.0, 52.5], bmVjQKYWr6, 5720883]
[paragraph, [84.0, 1641.0, 2144.0, 52.5], bmVjQKYWr6, 5720883]
[paragraph, [84.0, 1693.5, 2144.0, 52.5], bmVjQKYWr6, 5720883]
[paragraph, [84.0, 1746.0, 2144.0, 52.5], bmVjQKYWr6, 5720883]
[paragraph, [84.0, 1798.5, 2144.0, 52.5], bmVjQKYWr6, 5720883]
[paragraph, [84.0, 1851.0, 2144.0, 52.5], bmVjQKYWr6, 5720883]
[paragraph, [84.0, 1903.5, 2144.0, 52.5], bmVjQKYWr6, 5720883]
[paragraph, [84.0, 1956.0, 2144.0, 52.5], bmVjQKYWr6, 5720883]
[paragraph, [84.0, 2008.5, 2144.0, 52.5], bmVjQKYWr6, 5720883]
[paragraph, [84.0, 2061.0, 2144.0, 52.5], bmVjQKYWr6, 5720883]
[paragraph, [84.0, 2113.5, 2144.0, 52.5], bmVjQKYWr6, 5720883]
[paragraph, [86.0, 2270.0, 2155.0, 52.5], k8Fs-TbxCW, 5720883]
[paragraph, [86.0, 2322.5, 2155.0, 52.5], k8Fs-TbxCW, 5720883]
[paragraph, [86.0, 2375.0, 2155.0, 52.5], k8Fs-TbxCW, 5720883]
[paragraph, [86.0, 2427.5, 2155.0, 52.5], k8Fs-TbxCW, 5720883]
[paragraph, [84.0, 2543.0, 2149.0, 52.5], n-_OUnPrKF, 5720883]
[paragraph, [84.0, 2595.5, 2149.0, 52.5], n-_OUnPrKF, 5720883]
[paragraph, [84.0, 2648.0, 2149.0, 52.5], n-_OUnPrKF, 5720883]
[paragraph, [84.0, 2700.5, 2149.0, 52.5], n-_OUnPrKF, 5720883]
[paragraph, [84.0, 2753.0, 2149.0, 52.5], n-_OUnPrKF, 5720883]
[paragraph, [75.0, 2937.0, 2170.0, 52.5], 6upo7SSD2V, 5720883]
[paragraph, [75.0, 2989.5, 2170.0, 52.5], 6upo7SSD2V, 5720883]
[paragraph, [75.0, 3042.0, 2170.0, 52.5], 6upo7SSD2V, 5720883]
[paragraph, [75.0, 3094.5, 2170.0, 52.5], 6upo7SSD2V, 5720883]
[paragraph, [75.0, 3147.0, 2170.0, 52.5], 6upo7SSD2V, 5720883]
[paragraph, [75.0, 3199.5, 2170.0, 52.5], 6upo7SSD2V, 5720883]
[paragraph, [75.0, 3252.0, 2170.0, 52.5], 6upo7SSD2V, 5720883]
[paragraph, [75.0, 3304.5, 2170.0, 52.5], 6upo7SSD2V, 5720883]
[paragraph, [75.0, 3357.0, 2170.0, 52.5], 6upo7SSD2V, 5720883]
[paragraph, [75.0, 3409.5, 2170.0, 52.5], 6upo7SSD2V, 5720883]
[paragraph, [75.0, 3462.0, 2170.0, 52.5], 6upo7SSD2V, 5720883]
[paragraph, [75.0, 3514.5, 2170.0, 52.5], 6upo7SSD2V, 5720883]
