[3442, 2665]
[paragraph, [153.0, 139.0, 2348.0, 52.5], flABpjH8H1, 6473692]
[paragraph, [153.0, 191.5, 2348.0, 52.5], flABpjH8H1, 6473692]
[paragraph, [153.0, 244.0, 2348.0, 52.5], flABpjH8H1, 6473692]
[paragraph, [153.0, 296.5, 2348.0, 52.5], flABpjH8H1, 6473692]
[paragraph, [153.0, 349.0, 2348.0, 52.5], flABpjH8H1, 6473692]
[paragraph, [163.0, 591.0, 2341.0, 52.5], shoonya_1sL4TIDLE1H4A4, 6473692]
[paragraph, [163.0, 643.5, 2341.0, 52.5], shoonya_1sL4TIDLE1H4A4, 6473692]
[paragraph, [163.0, 696.0, 2341.0, 52.5], shoonya_1sL4TIDLE1H4A4, 6473692]
[paragraph, [163.0, 748.5, 2341.0, 52.5], shoonya_1sL4TIDLE1H4A4, 6473692]
[paragraph, [163.0, 801.0, 2341.0, 52.5], shoonya_1sL4TIDLE1H4A4, 6473692]
[paragraph, [163.0, 853.5, 2341.0, 52.5], shoonya_1sL4TIDLE1H4A4, 6473692]
[paragraph, [163.0, 906.0, 2341.0, 52.5], shoonya_1sL4TIDLE1H4A4, 6473692]
[paragraph, [163.0, 958.5, 2341.0, 52.5], shoonya_1sL4TIDLE1H4A4, 6473692]
[paragraph, [163.0, 1011.0, 2341.0, 52.5], shoonya_1sL4TIDLE1H4A4, 6473692]
[paragraph, [163.0, 1063.5, 2341.0, 52.5], shoonya_1sL4TIDLE1H4A4, 6473692]
[paragraph, [163.0, 1116.0, 2341.0, 52.5], shoonya_1sL4TIDLE1H4A4, 6473692]
[paragraph, [163.0, 1168.5, 2341.0, 52.5], shoonya_1sL4TIDLE1H4A4, 6473692]
[paragraph, [163.0, 1221.0, 2341.0, 52.5], shoonya_1sL4TIDLE1H4A4, 6473692]
[paragraph, [163.0, 1273.5, 2341.0, 52.5], shoonya_1sL4TIDLE1H4A4, 6473692]
[paragraph, [163.0, 1326.0, 2341.0, 52.5], shoonya_1sL4TIDLE1H4A4, 6473692]
[paragraph, [163.0, 1378.5, 2341.0, 52.5], shoonya_1sL4TIDLE1H4A4, 6473692]
[section-title, [166.0, 1483.0, 542.0, 93.0], shoonya_2s471ANG4XG6PD, 6473692]
[paragraph, [164.0, 1780.0, 2330.0, 52.5], shoonya_0s03YGHHEDUXW4, 6473692]
[paragraph, [164.0, 1832.5, 2330.0, 52.5], shoonya_0s03YGHHEDUXW4, 6473692]
[paragraph, [164.0, 1885.0, 2330.0, 52.5], shoonya_0s03YGHHEDUXW4, 6473692]
[paragraph, [164.0, 1937.5, 2330.0, 52.5], shoonya_0s03YGHHEDUXW4, 6473692]
[paragraph, [164.0, 1990.0, 2330.0, 52.5], shoonya_0s03YGHHEDUXW4, 6473692]
[paragraph, [164.0, 2042.5, 2330.0, 52.5], shoonya_0s03YGHHEDUXW4, 6473692]
[paragraph, [164.0, 2095.0, 2330.0, 52.5], shoonya_0s03YGHHEDUXW4, 6473692]
[paragraph, [164.0, 2147.5, 2330.0, 52.5], shoonya_0s03YGHHEDUXW4, 6473692]
[paragraph, [164.0, 2200.0, 2330.0, 52.5], shoonya_0s03YGHHEDUXW4, 6473692]
[paragraph, [164.0, 2252.5, 2330.0, 52.5], shoonya_0s03YGHHEDUXW4, 6473692]
[paragraph, [164.0, 2305.0, 2330.0, 52.5], shoonya_0s03YGHHEDUXW4, 6473692]
[paragraph, [164.0, 2357.5, 2330.0, 52.5], shoonya_0s03YGHHEDUXW4, 6473692]
[paragraph, [164.0, 2410.0, 2330.0, 52.5], shoonya_0s03YGHHEDUXW4, 6473692]
[paragraph, [164.0, 2462.5, 2330.0, 52.5], shoonya_0s03YGHHEDUXW4, 6473692]
[paragraph, [164.0, 2515.0, 2330.0, 52.5], shoonya_0s03YGHHEDUXW4, 6473692]
[paragraph, [164.0, 2567.5, 2330.0, 52.5], shoonya_0s03YGHHEDUXW4, 6473692]
[section-title, [169.0, 2648.0, 632.0, 93.0], 3ss431xi_z, 6473692]
[paragraph, [153.0, 2958.0, 2345.0, 52.5], JcJSuV2472, 6473692]
[paragraph, [153.0, 3010.5, 2345.0, 52.5], JcJSuV2472, 6473692]
[paragraph, [153.0, 3063.0, 2345.0, 52.5], JcJSuV2472, 6473692]
[paragraph, [153.0, 3115.5, 2345.0, 52.5], JcJSuV2472, 6473692]
[paragraph, [153.0, 3168.0, 2345.0, 52.5], JcJSuV2472, 6473692]
