[3060, 3960]
[headline, [0.0, 558.0, 1027.0, 52.5], shoonya_6sDEWRX82LWMM5, 5695573]
[headline, [0.0, 610.5, 1027.0, 52.5], shoonya_6sDEWRX82LWMM5, 5695573]
[headline, [0.0, 663.0, 1027.0, 52.5], shoonya_6sDEWRX82LWMM5, 5695573]
[headline, [0.0, 715.5, 1027.0, 52.5], shoonya_6sDEWRX82LWMM5, 5695573]
[unordered-list, [10.0, 1711.0, 1391.0, 52.5], shoonya_5sFMRNB40F7V4D, 5695573]
[unordered-list, [10.0, 1763.5, 1391.0, 52.5], shoonya_5sFMRNB40F7V4D, 5695573]
[unordered-list, [10.0, 1816.0, 1391.0, 52.5], shoonya_5sFMRNB40F7V4D, 5695573]
[unordered-list, [10.0, 1868.5, 1391.0, 52.5], shoonya_5sFMRNB40F7V4D, 5695573]
[unordered-list, [10.0, 1921.0, 1391.0, 52.5], shoonya_5sFMRNB40F7V4D, 5695573]
[unordered-list, [10.0, 1973.5, 1391.0, 52.5], shoonya_5sFMRNB40F7V4D, 5695573]
[unordered-list, [10.0, 2026.0, 1391.0, 52.5], shoonya_5sFMRNB40F7V4D, 5695573]
[unordered-list, [10.0, 2078.5, 1391.0, 52.5], shoonya_5sFMRNB40F7V4D, 5695573]
[unordered-list, [10.0, 2131.0, 1391.0, 52.5], shoonya_5sFMRNB40F7V4D, 5695573]
[unordered-list, [10.0, 2183.5, 1391.0, 52.5], shoonya_5sFMRNB40F7V4D, 5695573]
[unordered-list, [10.0, 2236.0, 1391.0, 52.5], shoonya_5sFMRNB40F7V4D, 5695573]
[unordered-list, [10.0, 2288.5, 1391.0, 52.5], shoonya_5sFMRNB40F7V4D, 5695573]
[paragraph, [1583.0, 1841.0, 908.0, 52.5], HkgbIhH8iQ, 5695573]
[paragraph, [1583.0, 1893.5, 908.0, 52.5], HkgbIhH8iQ, 5695573]
[paragraph, [1583.0, 1946.0, 908.0, 52.5], HkgbIhH8iQ, 5695573]
[paragraph, [1583.0, 1998.5, 908.0, 52.5], HkgbIhH8iQ, 5695573]
[paragraph, [1583.0, 2051.0, 908.0, 52.5], HkgbIhH8iQ, 5695573]
[paragraph, [2701.0, 1851.0, 1123.0, 52.5], FYhQmgr1yd, 5695573]
[paragraph, [2701.0, 1903.5, 1123.0, 52.5], FYhQmgr1yd, 5695573]
[paragraph, [2701.0, 1956.0, 1123.0, 52.5], FYhQmgr1yd, 5695573]
[paragraph, [2701.0, 2008.5, 1123.0, 52.5], FYhQmgr1yd, 5695573]
[paragraph, [2701.0, 2061.0, 1123.0, 52.5], FYhQmgr1yd, 5695573]
[paragraph, [2701.0, 2113.5, 1123.0, 52.5], FYhQmgr1yd, 5695573]
[paragraph, [2701.0, 2166.0, 1123.0, 52.5], FYhQmgr1yd, 5695573]
[paragraph, [2701.0, 2218.5, 1123.0, 52.5], FYhQmgr1yd, 5695573]
[folio, [939.0, 2400.0, 1824.0, 52.5], shoonya_3sRKJI65JM4R7X, 5695573]
[folio, [939.0, 2452.5, 1824.0, 52.5], shoonya_3sRKJI65JM4R7X, 5695573]
[folio, [939.0, 2505.0, 1824.0, 52.5], shoonya_3sRKJI65JM4R7X, 5695573]
