[1300, 900]
[folio, [320.0, 51.0, 282.0, 18.0], mrH8CMdBym, 5731579]
[paragraph, [179.0, 117.0, 558.0, 18.0], shoonya_2sKO4JA9B3OVM0, 5731579]
[paragraph, [179.0, 135.0, 558.0, 18.0], shoonya_2sKO4JA9B3OVM0, 5731579]
[paragraph, [179.0, 153.0, 558.0, 18.0], shoonya_2sKO4JA9B3OVM0, 5731579]
[paragraph, [179.0, 171.0, 558.0, 18.0], shoonya_2sKO4JA9B3OVM0, 5731579]
[paragraph, [179.0, 189.0, 558.0, 18.0], shoonya_2sKO4JA9B3OVM0, 5731579]
[paragraph, [483.0, 221.0, 361.0, 18.0], shoonya_1sMVQS7ZFRIOHL, 5731579]
[paragraph, [483.0, 239.0, 361.0, 18.0], shoonya_1sMVQS7ZFRIOHL, 5731579]
[paragraph, [66.0, 253.0, 784.0, 18.0], shoonya_0sBFCT7DZU5AC5, 5731579]
[paragraph, [66.0, 271.0, 784.0, 18.0], shoonya_0sBFCT7DZU5AC5, 5731579]
[paragraph, [66.0, 289.0, 784.0, 18.0], shoonya_0sBFCT7DZU5AC5, 5731579]
[paragraph, [66.0, 307.0, 784.0, 18.0], shoonya_0sBFCT7DZU5AC5, 5731579]
[paragraph, [66.0, 325.0, 784.0, 18.0], shoonya_0sBFCT7DZU5AC5, 5731579]
[paragraph, [66.0, 343.0, 784.0, 18.0], shoonya_0sBFCT7DZU5AC5, 5731579]
[paragraph, [66.0, 361.0, 784.0, 18.0], shoonya_0sBFCT7DZU5AC5, 5731579]
[paragraph, [66.0, 379.0, 784.0, 18.0], shoonya_0sBFCT7DZU5AC5, 5731579]
[paragraph, [66.0, 397.0, 784.0, 18.0], shoonya_0sBFCT7DZU5AC5, 5731579]
[paragraph, [66.0, 415.0, 784.0, 18.0], shoonya_0sBFCT7DZU5AC5, 5731579]
[paragraph, [66.0, 433.0, 784.0, 18.0], shoonya_0sBFCT7DZU5AC5, 5731579]
[paragraph, [66.0, 451.0, 784.0, 18.0], shoonya_0sBFCT7DZU5AC5, 5731579]
[paragraph, [66.0, 469.0, 784.0, 18.0], shoonya_0sBFCT7DZU5AC5, 5731579]
[paragraph, [66.0, 487.0, 784.0, 18.0], shoonya_0sBFCT7DZU5AC5, 5731579]
[paragraph, [66.0, 505.0, 784.0, 18.0], shoonya_0sBFCT7DZU5AC5, 5731579]
[paragraph, [66.0, 523.0, 784.0, 18.0], shoonya_0sBFCT7DZU5AC5, 5731579]
[paragraph, [66.0, 541.0, 784.0, 18.0], shoonya_0sBFCT7DZU5AC5, 5731579]
[paragraph, [66.0, 559.0, 784.0, 18.0], shoonya_0sBFCT7DZU5AC5, 5731579]
[paragraph, [66.0, 577.0, 784.0, 18.0], shoonya_0sBFCT7DZU5AC5, 5731579]
