[1250, 730]
[folio, [53.0, 106.0, 128.0, 18.0], i8yDBE3qrO, 6469723]
[paragraph, [49.0, 142.0, 634.0, 18.0], shoonya_3s1G9NF02CU5IY, 6469723]
[paragraph, [49.0, 160.0, 634.0, 18.0], shoonya_3s1G9NF02CU5IY, 6469723]
[paragraph, [49.0, 178.0, 634.0, 18.0], shoonya_3s1G9NF02CU5IY, 6469723]
[paragraph, [49.0, 196.0, 634.0, 18.0], shoonya_3s1G9NF02CU5IY, 6469723]
[paragraph, [49.0, 214.0, 634.0, 18.0], shoonya_3s1G9NF02CU5IY, 6469723]
[paragraph, [49.0, 232.0, 634.0, 18.0], shoonya_3s1G9NF02CU5IY, 6469723]
[paragraph, [49.0, 250.0, 634.0, 18.0], shoonya_3s1G9NF02CU5IY, 6469723]
[paragraph, [49.0, 268.0, 634.0, 18.0], shoonya_3s1G9NF02CU5IY, 6469723]
[paragraph, [49.0, 304.0, 634.0, 18.0], shoonya_1sLIQM4PAX6F10, 6469723]
[paragraph, [49.0, 322.0, 634.0, 18.0], shoonya_1sLIQM4PAX6F10, 6469723]
[paragraph, [49.0, 340.0, 634.0, 18.0], shoonya_1sLIQM4PAX6F10, 6469723]
[paragraph, [49.0, 358.0, 634.0, 18.0], shoonya_1sLIQM4PAX6F10, 6469723]
[paragraph, [49.0, 376.0, 634.0, 18.0], shoonya_1sLIQM4PAX6F10, 6469723]
[paragraph, [49.0, 394.0, 634.0, 18.0], shoonya_1sLIQM4PAX6F10, 6469723]
[paragraph, [49.0, 412.0, 634.0, 18.0], shoonya_1sLIQM4PAX6F10, 6469723]
[paragraph, [49.0, 430.0, 634.0, 18.0], shoonya_1sLIQM4PAX6F10, 6469723]
[paragraph, [49.0, 448.0, 634.0, 18.0], shoonya_1sLIQM4PAX6F10, 6469723]
[paragraph, [49.0, 466.0, 634.0, 18.0], shoonya_1sLIQM4PAX6F10, 6469723]
[paragraph, [49.0, 484.0, 634.0, 18.0], shoonya_1sLIQM4PAX6F10, 6469723]
[paragraph, [49.0, 502.0, 634.0, 18.0], shoonya_1sLIQM4PAX6F10, 6469723]
[paragraph, [49.0, 520.0, 634.0, 18.0], shoonya_1sLIQM4PAX6F10, 6469723]
[paragraph, [49.0, 538.0, 634.0, 18.0], shoonya_1sLIQM4PAX6F10, 6469723]
[paragraph, [48.0, 575.0, 641.0, 18.0], shoonya_0s1MPDYFKV8M2L, 6469723]
[paragraph, [48.0, 593.0, 641.0, 18.0], shoonya_0s1MPDYFKV8M2L, 6469723]
[paragraph, [48.0, 611.0, 641.0, 18.0], shoonya_0s1MPDYFKV8M2L, 6469723]
[paragraph, [48.0, 629.0, 641.0, 18.0], shoonya_0s1MPDYFKV8M2L, 6469723]
[paragraph, [48.0, 647.0, 641.0, 18.0], shoonya_0s1MPDYFKV8M2L, 6469723]
[paragraph, [48.0, 665.0, 641.0, 18.0], shoonya_0s1MPDYFKV8M2L, 6469723]
[paragraph, [48.0, 683.0, 641.0, 18.0], shoonya_0s1MPDYFKV8M2L, 6469723]
[paragraph, [48.0, 701.0, 641.0, 18.0], shoonya_0s1MPDYFKV8M2L, 6469723]
[paragraph, [48.0, 719.0, 641.0, 18.0], shoonya_0s1MPDYFKV8M2L, 6469723]
[paragraph, [48.0, 737.0, 641.0, 18.0], shoonya_0s1MPDYFKV8M2L, 6469723]
[paragraph, [48.0, 755.0, 641.0, 18.0], shoonya_0s1MPDYFKV8M2L, 6469723]
[paragraph, [48.0, 773.0, 641.0, 18.0], shoonya_0s1MPDYFKV8M2L, 6469723]
[paragraph, [48.0, 791.0, 641.0, 18.0], shoonya_0s1MPDYFKV8M2L, 6469723]
[paragraph, [48.0, 809.0, 641.0, 18.0], shoonya_0s1MPDYFKV8M2L, 6469723]
[paragraph, [48.0, 827.0, 641.0, 18.0], shoonya_0s1MPDYFKV8M2L, 6469723]
[paragraph, [48.0, 845.0, 641.0, 18.0], shoonya_0s1MPDYFKV8M2L, 6469723]
[paragraph, [49.0, 886.0, 634.0, 18.0], shoonya_2sWLIW46CZ5VGT, 6469723]
[paragraph, [49.0, 904.0, 634.0, 18.0], shoonya_2sWLIW46CZ5VGT, 6469723]
[paragraph, [49.0, 922.0, 634.0, 18.0], shoonya_2sWLIW46CZ5VGT, 6469723]
[paragraph, [49.0, 940.0, 634.0, 18.0], shoonya_2sWLIW46CZ5VGT, 6469723]
[paragraph, [49.0, 958.0, 634.0, 18.0], shoonya_2sWLIW46CZ5VGT, 6469723]
[paragraph, [49.0, 976.0, 634.0, 18.0], shoonya_2sWLIW46CZ5VGT, 6469723]
[paragraph, [49.0, 994.0, 634.0, 18.0], shoonya_2sWLIW46CZ5VGT, 6469723]
[paragraph, [49.0, 1012.0, 634.0, 18.0], shoonya_2sWLIW46CZ5VGT, 6469723]
[paragraph, [49.0, 1030.0, 634.0, 18.0], shoonya_2sWLIW46CZ5VGT, 6469723]
[paragraph, [49.0, 1048.0, 634.0, 18.0], shoonya_2sWLIW46CZ5VGT, 6469723]
[folio, [454.0, 1128.0, 186.0, 18.0], P6G57P2dKK, 6469723]
