[792, 612]
[paragraph, [322.0, 4.0, 105.0, 18.0], 6hA9Hy-3Fe, 6515008]
[paragraph, [322.0, 22.0, 105.0, 18.0], 6hA9Hy-3Fe, 6515008]
[paragraph, [322.0, 51.0, 128.0, 18.0], W-1K7U8sUo, 6515008]
[paragraph, [87.0, 59.0, 99.0, 18.0], V-LoSUQAvV, 6515008]
[paragraph, [87.0, 77.0, 99.0, 18.0], V-LoSUQAvV, 6515008]
[paragraph, [87.0, 95.0, 99.0, 18.0], V-LoSUQAvV, 6515008]
[contact-info, [436.0, 98.0, 99.0, 18.0], vJOT_7gcFy, 6515008]
[paragraph, [88.0, 122.0, 182.0, 18.0], MTAhibI0cN, 6515008]
[paragraph, [88.0, 140.0, 182.0, 18.0], MTAhibI0cN, 6515008]
[paragraph, [88.0, 169.0, 104.0, 18.0], GmMaZj-q0d, 6515008]
[paragraph, [88.0, 187.0, 104.0, 18.0], GmMaZj-q0d, 6515008]
[paragraph, [88.0, 205.0, 104.0, 18.0], GmMaZj-q0d, 6515008]
[paragraph, [395.0, 203.0, 103.0, 18.0], shoonya_1s42NJVD7QDK2L, 6515008]
[paragraph, [395.0, 221.0, 103.0, 18.0], shoonya_1s42NJVD7QDK2L, 6515008]
[paragraph, [395.0, 239.0, 103.0, 18.0], shoonya_1s42NJVD7QDK2L, 6515008]
[paragraph, [395.0, 257.0, 103.0, 18.0], shoonya_1s42NJVD7QDK2L, 6515008]
[paragraph, [88.0, 232.0, 92.0, 18.0], iw-fWvSnh2, 6515008]
[paragraph, [88.0, 263.0, 118.0, 18.0], 3NLHXiijyR, 6515008]
[paragraph, [88.0, 281.0, 118.0, 18.0], 3NLHXiijyR, 6515008]
[paragraph, [88.0, 299.0, 118.0, 18.0], 3NLHXiijyR, 6515008]
[paragraph, [88.0, 317.0, 118.0, 18.0], 3NLHXiijyR, 6515008]
[paragraph, [88.0, 335.0, 118.0, 18.0], 3NLHXiijyR, 6515008]
[paragraph, [396.0, 283.0, 104.0, 18.0], u0oCs9czQU, 6515008]
[paragraph, [396.0, 301.0, 104.0, 18.0], u0oCs9czQU, 6515008]
[paragraph, [396.0, 319.0, 104.0, 18.0], u0oCs9czQU, 6515008]
[paragraph, [396.0, 337.0, 104.0, 18.0], u0oCs9czQU, 6515008]
[paragraph, [396.0, 355.0, 104.0, 18.0], u0oCs9czQU, 6515008]
[paragraph, [87.0, 357.0, 169.0, 18.0], 0zGNM-0NV5, 6515008]
[paragraph, [87.0, 375.0, 169.0, 18.0], 0zGNM-0NV5, 6515008]
[paragraph, [87.0, 393.0, 169.0, 18.0], 0zGNM-0NV5, 6515008]
[paragraph, [87.0, 411.0, 169.0, 18.0], 0zGNM-0NV5, 6515008]
[paragraph, [87.0, 429.0, 169.0, 18.0], 0zGNM-0NV5, 6515008]
[paragraph, [87.0, 447.0, 169.0, 18.0], 0zGNM-0NV5, 6515008]
[paragraph, [87.0, 465.0, 169.0, 18.0], 0zGNM-0NV5, 6515008]
[paragraph, [87.0, 483.0, 169.0, 18.0], 0zGNM-0NV5, 6515008]
[paragraph, [394.0, 377.0, 120.0, 18.0], kwAsOyis2q, 6515008]
[paragraph, [394.0, 395.0, 120.0, 18.0], kwAsOyis2q, 6515008]
[paragraph, [394.0, 413.0, 120.0, 18.0], kwAsOyis2q, 6515008]
[paragraph, [394.0, 431.0, 120.0, 18.0], kwAsOyis2q, 6515008]
[paragraph, [394.0, 449.0, 120.0, 18.0], kwAsOyis2q, 6515008]
[paragraph, [395.0, 469.0, 140.0, 18.0], yUcatGCweS, 6515008]
[paragraph, [395.0, 487.0, 140.0, 18.0], yUcatGCweS, 6515008]
[paragraph, [395.0, 505.0, 140.0, 18.0], yUcatGCweS, 6515008]
[paragraph, [395.0, 523.0, 140.0, 18.0], yUcatGCweS, 6515008]
[paragraph, [395.0, 541.0, 140.0, 18.0], yUcatGCweS, 6515008]
[paragraph, [88.0, 555.0, 147.0, 18.0], 3vfuoLyRoC, 6515008]
[paragraph, [87.0, 585.0, 112.0, 18.0], XZzEg1IEmN, 6515008]
[paragraph, [87.0, 603.0, 112.0, 18.0], XZzEg1IEmN, 6515008]
[paragraph, [326.0, 603.0, 93.0, 18.0], 2HsqZLIBs5, 6515008]
