[1162, 749]
[folio, [325.0, 76.0, 88.0, 18.0], FPPjXUhLki, 5700167]
[paragraph, [78.0, 122.0, 590.0, 18.0], shoonya_2s94DFVR1IQI7H, 5700167]
[paragraph, [78.0, 140.0, 590.0, 18.0], shoonya_2s94DFVR1IQI7H, 5700167]
[paragraph, [78.0, 158.0, 590.0, 18.0], shoonya_2s94DFVR1IQI7H, 5700167]
[paragraph, [78.0, 176.0, 590.0, 18.0], shoonya_2s94DFVR1IQI7H, 5700167]
[paragraph, [78.0, 194.0, 590.0, 18.0], shoonya_2s94DFVR1IQI7H, 5700167]
[paragraph, [78.0, 212.0, 590.0, 18.0], shoonya_2s94DFVR1IQI7H, 5700167]
[paragraph, [78.0, 230.0, 590.0, 18.0], shoonya_2s94DFVR1IQI7H, 5700167]
[paragraph, [79.0, 264.0, 589.0, 18.0], shoonya_0s0SEVORNAW2PD, 5700167]
[paragraph, [79.0, 282.0, 589.0, 18.0], shoonya_0s0SEVORNAW2PD, 5700167]
[paragraph, [79.0, 300.0, 589.0, 18.0], shoonya_0s0SEVORNAW2PD, 5700167]
[paragraph, [79.0, 318.0, 589.0, 18.0], shoonya_0s0SEVORNAW2PD, 5700167]
[paragraph, [79.0, 336.0, 589.0, 18.0], shoonya_0s0SEVORNAW2PD, 5700167]
[paragraph, [79.0, 354.0, 589.0, 18.0], shoonya_0s0SEVORNAW2PD, 5700167]
[paragraph, [79.0, 372.0, 589.0, 18.0], shoonya_0s0SEVORNAW2PD, 5700167]
[paragraph, [79.0, 390.0, 589.0, 18.0], shoonya_0s0SEVORNAW2PD, 5700167]
[paragraph, [79.0, 408.0, 589.0, 18.0], shoonya_0s0SEVORNAW2PD, 5700167]
[paragraph, [79.0, 426.0, 589.0, 18.0], shoonya_0s0SEVORNAW2PD, 5700167]
[paragraph, [79.0, 444.0, 589.0, 18.0], shoonya_0s0SEVORNAW2PD, 5700167]
[paragraph, [79.0, 462.0, 589.0, 18.0], shoonya_0s0SEVORNAW2PD, 5700167]
[paragraph, [79.0, 480.0, 589.0, 18.0], shoonya_0s0SEVORNAW2PD, 5700167]
[paragraph, [79.0, 498.0, 589.0, 18.0], shoonya_0s0SEVORNAW2PD, 5700167]
[paragraph, [79.0, 516.0, 589.0, 18.0], shoonya_0s0SEVORNAW2PD, 5700167]
[paragraph, [79.0, 534.0, 589.0, 18.0], shoonya_0s0SEVORNAW2PD, 5700167]
[paragraph, [80.0, 571.0, 588.0, 18.0], shoonya_1sWX8NVGP3Y8RO, 5700167]
[paragraph, [80.0, 589.0, 588.0, 18.0], shoonya_1sWX8NVGP3Y8RO, 5700167]
[paragraph, [80.0, 607.0, 588.0, 18.0], shoonya_1sWX8NVGP3Y8RO, 5700167]
[paragraph, [80.0, 625.0, 588.0, 18.0], shoonya_1sWX8NVGP3Y8RO, 5700167]
[paragraph, [80.0, 643.0, 588.0, 18.0], shoonya_1sWX8NVGP3Y8RO, 5700167]
[paragraph, [80.0, 661.0, 588.0, 18.0], shoonya_1sWX8NVGP3Y8RO, 5700167]
[paragraph, [80.0, 679.0, 588.0, 18.0], shoonya_1sWX8NVGP3Y8RO, 5700167]
[paragraph, [80.0, 697.0, 588.0, 18.0], shoonya_1sWX8NVGP3Y8RO, 5700167]
[paragraph, [80.0, 715.0, 588.0, 18.0], shoonya_1sWX8NVGP3Y8RO, 5700167]
[paragraph, [80.0, 733.0, 588.0, 18.0], shoonya_1sWX8NVGP3Y8RO, 5700167]
[paragraph, [80.0, 751.0, 588.0, 18.0], shoonya_1sWX8NVGP3Y8RO, 5700167]
[paragraph, [80.0, 769.0, 588.0, 18.0], shoonya_1sWX8NVGP3Y8RO, 5700167]
[paragraph, [80.0, 787.0, 588.0, 18.0], shoonya_1sWX8NVGP3Y8RO, 5700167]
[paragraph, [80.0, 805.0, 588.0, 18.0], shoonya_1sWX8NVGP3Y8RO, 5700167]
[paragraph, [80.0, 823.0, 588.0, 18.0], shoonya_1sWX8NVGP3Y8RO, 5700167]
[paragraph, [80.0, 841.0, 588.0, 18.0], shoonya_1sWX8NVGP3Y8RO, 5700167]
[paragraph, [80.0, 859.0, 588.0, 18.0], shoonya_1sWX8NVGP3Y8RO, 5700167]
[paragraph, [80.0, 877.0, 588.0, 18.0], shoonya_1sWX8NVGP3Y8RO, 5700167]
[paragraph, [80.0, 895.0, 588.0, 18.0], shoonya_1sWX8NVGP3Y8RO, 5700167]
[paragraph, [80.0, 913.0, 588.0, 18.0], shoonya_1sWX8NVGP3Y8RO, 5700167]
[paragraph, [80.0, 931.0, 588.0, 18.0], shoonya_1sWX8NVGP3Y8RO, 5700167]
[paragraph, [80.0, 949.0, 588.0, 18.0], shoonya_1sWX8NVGP3Y8RO, 5700167]
[paragraph, [80.0, 967.0, 588.0, 18.0], shoonya_1sWX8NVGP3Y8RO, 5700167]
[paragraph, [80.0, 985.0, 588.0, 18.0], shoonya_1sWX8NVGP3Y8RO, 5700167]
[paragraph, [74.0, 1020.0, 597.0, 18.0], nGnfYaiwpt, 5700167]
[paragraph, [74.0, 1038.0, 597.0, 18.0], nGnfYaiwpt, 5700167]
[paragraph, [74.0, 1056.0, 597.0, 18.0], nGnfYaiwpt, 5700167]
[paragraph, [74.0, 1074.0, 597.0, 18.0], nGnfYaiwpt, 5700167]
