[1200, 825]
[paragraph, [137.0, 100.0, 549.0, 18.0], shoonya_1sMIVOKF2WPFVS, 5690885]
[paragraph, [137.0, 118.0, 549.0, 18.0], shoonya_1sMIVOKF2WPFVS, 5690885]
[paragraph, [137.0, 136.0, 549.0, 18.0], shoonya_1sMIVOKF2WPFVS, 5690885]
[paragraph, [137.0, 154.0, 549.0, 18.0], shoonya_1sMIVOKF2WPFVS, 5690885]
[paragraph, [137.0, 172.0, 549.0, 18.0], shoonya_1sMIVOKF2WPFVS, 5690885]
[paragraph, [137.0, 190.0, 549.0, 18.0], shoonya_1sMIVOKF2WPFVS, 5690885]
[paragraph, [137.0, 208.0, 549.0, 18.0], shoonya_1sMIVOKF2WPFVS, 5690885]
[paragraph, [137.0, 226.0, 549.0, 18.0], shoonya_1sMIVOKF2WPFVS, 5690885]
[paragraph, [137.0, 244.0, 549.0, 18.0], shoonya_1sMIVOKF2WPFVS, 5690885]
[paragraph, [137.0, 262.0, 549.0, 18.0], shoonya_1sMIVOKF2WPFVS, 5690885]
[paragraph, [137.0, 280.0, 549.0, 18.0], shoonya_1sMIVOKF2WPFVS, 5690885]
[paragraph, [137.0, 298.0, 549.0, 18.0], shoonya_1sMIVOKF2WPFVS, 5690885]
[paragraph, [137.0, 316.0, 549.0, 18.0], shoonya_1sMIVOKF2WPFVS, 5690885]
[paragraph, [137.0, 334.0, 549.0, 18.0], shoonya_1sMIVOKF2WPFVS, 5690885]
[paragraph, [137.0, 352.0, 549.0, 18.0], shoonya_1sMIVOKF2WPFVS, 5690885]
[paragraph, [137.0, 370.0, 549.0, 18.0], shoonya_1sMIVOKF2WPFVS, 5690885]
[paragraph, [137.0, 388.0, 549.0, 18.0], shoonya_1sMIVOKF2WPFVS, 5690885]
[paragraph, [137.0, 406.0, 549.0, 18.0], shoonya_1sMIVOKF2WPFVS, 5690885]
[paragraph, [137.0, 424.0, 549.0, 18.0], shoonya_1sMIVOKF2WPFVS, 5690885]
[paragraph, [137.0, 442.0, 549.0, 18.0], shoonya_1sMIVOKF2WPFVS, 5690885]
[paragraph, [137.0, 460.0, 549.0, 18.0], shoonya_1sMIVOKF2WPFVS, 5690885]
[paragraph, [137.0, 478.0, 549.0, 18.0], shoonya_1sMIVOKF2WPFVS, 5690885]
[paragraph, [137.0, 496.0, 549.0, 18.0], shoonya_1sMIVOKF2WPFVS, 5690885]
[paragraph, [137.0, 514.0, 549.0, 18.0], shoonya_1sMIVOKF2WPFVS, 5690885]
[paragraph, [137.0, 532.0, 549.0, 18.0], shoonya_1sMIVOKF2WPFVS, 5690885]
[paragraph, [137.0, 550.0, 549.0, 18.0], shoonya_1sMIVOKF2WPFVS, 5690885]
[paragraph, [137.0, 568.0, 549.0, 18.0], shoonya_1sMIVOKF2WPFVS, 5690885]
[paragraph, [137.0, 586.0, 549.0, 18.0], shoonya_1sMIVOKF2WPFVS, 5690885]
[paragraph, [137.0, 604.0, 549.0, 18.0], shoonya_1sMIVOKF2WPFVS, 5690885]
[paragraph, [137.0, 622.0, 549.0, 18.0], shoonya_1sMIVOKF2WPFVS, 5690885]
[paragraph, [137.0, 640.0, 549.0, 18.0], shoonya_1sMIVOKF2WPFVS, 5690885]
[paragraph, [137.0, 658.0, 549.0, 18.0], shoonya_1sMIVOKF2WPFVS, 5690885]
[paragraph, [137.0, 676.0, 549.0, 18.0], shoonya_1sMIVOKF2WPFVS, 5690885]
[paragraph, [137.0, 694.0, 549.0, 18.0], shoonya_1sMIVOKF2WPFVS, 5690885]
[paragraph, [138.0, 724.0, 551.0, 18.0], shoonya_0sZRJ9UGKHBDFZ, 5690885]
[paragraph, [138.0, 742.0, 551.0, 18.0], shoonya_0sZRJ9UGKHBDFZ, 5690885]
[paragraph, [138.0, 760.0, 551.0, 18.0], shoonya_0sZRJ9UGKHBDFZ, 5690885]
[paragraph, [138.0, 778.0, 551.0, 18.0], shoonya_0sZRJ9UGKHBDFZ, 5690885]
[paragraph, [138.0, 796.0, 551.0, 18.0], shoonya_0sZRJ9UGKHBDFZ, 5690885]
[paragraph, [138.0, 814.0, 551.0, 18.0], shoonya_0sZRJ9UGKHBDFZ, 5690885]
[paragraph, [138.0, 832.0, 551.0, 18.0], shoonya_0sZRJ9UGKHBDFZ, 5690885]
[paragraph, [138.0, 850.0, 551.0, 18.0], shoonya_0sZRJ9UGKHBDFZ, 5690885]
[paragraph, [138.0, 868.0, 551.0, 18.0], shoonya_0sZRJ9UGKHBDFZ, 5690885]
[paragraph, [138.0, 886.0, 551.0, 18.0], shoonya_0sZRJ9UGKHBDFZ, 5690885]
[paragraph, [138.0, 904.0, 551.0, 18.0], shoonya_0sZRJ9UGKHBDFZ, 5690885]
[paragraph, [138.0, 922.0, 551.0, 18.0], shoonya_0sZRJ9UGKHBDFZ, 5690885]
[paragraph, [138.0, 941.0, 548.0, 18.0], shoonya_2sUR9IG6NG8CI0, 5690885]
[paragraph, [138.0, 959.0, 548.0, 18.0], shoonya_2sUR9IG6NG8CI0, 5690885]
[paragraph, [138.0, 977.0, 548.0, 18.0], shoonya_2sUR9IG6NG8CI0, 5690885]
[paragraph, [138.0, 995.0, 548.0, 18.0], shoonya_2sUR9IG6NG8CI0, 5690885]
[paragraph, [138.0, 1013.0, 548.0, 18.0], shoonya_2sUR9IG6NG8CI0, 5690885]
[paragraph, [138.0, 1031.0, 548.0, 18.0], shoonya_2sUR9IG6NG8CI0, 5690885]
