[1000, 467]
[section-title, [121.0, 17.0, 212.0, 30.0], shoonya_1s85ZWS9NBV42V, 6473645]
[section-title, [121.0, 47.0, 212.0, 30.0], shoonya_1s85ZWS9NBV42V, 6473645]
[unordered-list, [26.0, 338.0, 379.0, 18.0], shoonya_0s9T2IQ4MIHU8O, 6473645]
[unordered-list, [26.0, 356.0, 379.0, 18.0], shoonya_0s9T2IQ4MIHU8O, 6473645]
[unordered-list, [26.0, 374.0, 379.0, 18.0], shoonya_0s9T2IQ4MIHU8O, 6473645]
[unordered-list, [26.0, 392.0, 379.0, 18.0], shoonya_0s9T2IQ4MIHU8O, 6473645]
[unordered-list, [26.0, 410.0, 379.0, 18.0], shoonya_0s9T2IQ4MIHU8O, 6473645]
[unordered-list, [26.0, 428.0, 379.0, 18.0], shoonya_0s9T2IQ4MIHU8O, 6473645]
[unordered-list, [26.0, 446.0, 379.0, 18.0], shoonya_0s9T2IQ4MIHU8O, 6473645]
[unordered-list, [26.0, 464.0, 379.0, 18.0], shoonya_0s9T2IQ4MIHU8O, 6473645]
[unordered-list, [26.0, 482.0, 379.0, 18.0], shoonya_0s9T2IQ4MIHU8O, 6473645]
[paragraph, [20.0, 576.0, 386.0, 18.0], ZkubB7bAED, 6473645]
[paragraph, [20.0, 594.0, 386.0, 18.0], ZkubB7bAED, 6473645]
[paragraph, [19.0, 655.0, 403.0, 18.0], qbZsnEoUHJ, 6473645]
[paragraph, [19.0, 673.0, 403.0, 18.0], qbZsnEoUHJ, 6473645]
[paragraph, [19.0, 732.0, 342.0, 18.0], gUDnKp4xo3, 6473645]
[paragraph, [19.0, 750.0, 342.0, 18.0], gUDnKp4xo3, 6473645]
[paragraph, [21.0, 810.0, 386.0, 18.0], 0DCVRF6UdO, 6473645]
[paragraph, [21.0, 828.0, 386.0, 18.0], 0DCVRF6UdO, 6473645]
[paragraph, [16.0, 900.0, 408.0, 18.0], 8-34_nKP34, 6473645]
[paragraph, [16.0, 918.0, 408.0, 18.0], 8-34_nKP34, 6473645]
