[644, 393]
[folio, [168.0, 31.0, 78.0, 18.0], B-X0Y3cu2H, 6458927]
[paragraph, [24.0, 57.0, 338.0, 18.0], uNjbxhieWR, 6458927]
[paragraph, [24.0, 75.0, 338.0, 18.0], uNjbxhieWR, 6458927]
[paragraph, [24.0, 93.0, 338.0, 18.0], uNjbxhieWR, 6458927]
[paragraph, [24.0, 111.0, 338.0, 18.0], uNjbxhieWR, 6458927]
[paragraph, [24.0, 129.0, 338.0, 18.0], uNjbxhieWR, 6458927]
[paragraph, [24.0, 147.0, 338.0, 18.0], uNjbxhieWR, 6458927]
[paragraph, [24.0, 165.0, 338.0, 18.0], uNjbxhieWR, 6458927]
[paragraph, [24.0, 183.0, 338.0, 18.0], uNjbxhieWR, 6458927]
[paragraph, [24.0, 201.0, 338.0, 18.0], uNjbxhieWR, 6458927]
[paragraph, [24.0, 219.0, 338.0, 18.0], uNjbxhieWR, 6458927]
[paragraph, [24.0, 237.0, 338.0, 18.0], uNjbxhieWR, 6458927]
[paragraph, [24.0, 255.0, 338.0, 18.0], uNjbxhieWR, 6458927]
[paragraph, [24.0, 273.0, 338.0, 18.0], uNjbxhieWR, 6458927]
[paragraph, [28.0, 312.0, 334.0, 18.0], Ga4Qm140TE, 6458927]
[paragraph, [28.0, 330.0, 334.0, 18.0], Ga4Qm140TE, 6458927]
[paragraph, [28.0, 348.0, 334.0, 18.0], Ga4Qm140TE, 6458927]
[paragraph, [28.0, 366.0, 334.0, 18.0], Ga4Qm140TE, 6458927]
[paragraph, [28.0, 384.0, 334.0, 18.0], Ga4Qm140TE, 6458927]
[paragraph, [28.0, 402.0, 334.0, 18.0], Ga4Qm140TE, 6458927]
[paragraph, [28.0, 420.0, 334.0, 18.0], Ga4Qm140TE, 6458927]
[paragraph, [28.0, 438.0, 334.0, 18.0], Ga4Qm140TE, 6458927]
[paragraph, [28.0, 456.0, 334.0, 18.0], Ga4Qm140TE, 6458927]
[paragraph, [26.0, 490.0, 337.0, 18.0], ejPaQXHYFg, 6458927]
[paragraph, [26.0, 508.0, 337.0, 18.0], ejPaQXHYFg, 6458927]
[paragraph, [26.0, 526.0, 337.0, 18.0], ejPaQXHYFg, 6458927]
[paragraph, [26.0, 544.0, 337.0, 18.0], ejPaQXHYFg, 6458927]
[paragraph, [26.0, 562.0, 337.0, 18.0], ejPaQXHYFg, 6458927]
[paragraph, [26.0, 580.0, 337.0, 18.0], ejPaQXHYFg, 6458927]
