[515, 727]
[paragraph, [136.0, 25.0, 265.0, 18.0], shoonya_0sVLT7UWPGXZ2T, 6532931]
[paragraph, [136.0, 43.0, 265.0, 18.0], shoonya_0sVLT7UWPGXZ2T, 6532931]
[paragraph, [136.0, 61.0, 265.0, 18.0], shoonya_0sVLT7UWPGXZ2T, 6532931]
[paragraph, [136.0, 79.0, 265.0, 18.0], shoonya_0sVLT7UWPGXZ2T, 6532931]
[paragraph, [136.0, 97.0, 265.0, 18.0], shoonya_0sVLT7UWPGXZ2T, 6532931]
[paragraph, [136.0, 115.0, 265.0, 18.0], shoonya_0sVLT7UWPGXZ2T, 6532931]
[paragraph, [136.0, 133.0, 265.0, 18.0], shoonya_0sVLT7UWPGXZ2T, 6532931]
[paragraph, [136.0, 151.0, 265.0, 18.0], shoonya_0sVLT7UWPGXZ2T, 6532931]
[paragraph, [136.0, 169.0, 265.0, 18.0], shoonya_0sVLT7UWPGXZ2T, 6532931]
[paragraph, [136.0, 187.0, 265.0, 18.0], shoonya_0sVLT7UWPGXZ2T, 6532931]
[paragraph, [136.0, 205.0, 265.0, 18.0], shoonya_0sVLT7UWPGXZ2T, 6532931]
[paragraph, [136.0, 223.0, 265.0, 18.0], shoonya_0sVLT7UWPGXZ2T, 6532931]
[paragraph, [136.0, 241.0, 265.0, 18.0], shoonya_0sVLT7UWPGXZ2T, 6532931]
[paragraph, [136.0, 259.0, 265.0, 18.0], shoonya_0sVLT7UWPGXZ2T, 6532931]
[paragraph, [136.0, 277.0, 265.0, 18.0], shoonya_0sVLT7UWPGXZ2T, 6532931]
[paragraph, [136.0, 295.0, 265.0, 18.0], shoonya_0sVLT7UWPGXZ2T, 6532931]
[paragraph, [136.0, 313.0, 265.0, 18.0], shoonya_0sVLT7UWPGXZ2T, 6532931]
[paragraph, [136.0, 331.0, 265.0, 18.0], shoonya_0sVLT7UWPGXZ2T, 6532931]
[paragraph, [136.0, 349.0, 265.0, 18.0], shoonya_0sVLT7UWPGXZ2T, 6532931]
[paragraph, [136.0, 367.0, 265.0, 18.0], shoonya_0sVLT7UWPGXZ2T, 6532931]
[paragraph, [422.0, 30.0, 263.0, 18.0], tJF8jdV393, 6532931]
[paragraph, [422.0, 48.0, 263.0, 18.0], tJF8jdV393, 6532931]
[paragraph, [422.0, 66.0, 263.0, 18.0], tJF8jdV393, 6532931]
[paragraph, [422.0, 84.0, 263.0, 18.0], tJF8jdV393, 6532931]
[paragraph, [422.0, 102.0, 263.0, 18.0], tJF8jdV393, 6532931]
[paragraph, [422.0, 120.0, 263.0, 18.0], tJF8jdV393, 6532931]
[paragraph, [422.0, 138.0, 263.0, 18.0], tJF8jdV393, 6532931]
[paragraph, [422.0, 156.0, 263.0, 18.0], tJF8jdV393, 6532931]
[paragraph, [421.0, 186.0, 258.0, 18.0], VsSYwGJNHo, 6532931]
[paragraph, [421.0, 204.0, 258.0, 18.0], VsSYwGJNHo, 6532931]
[paragraph, [421.0, 222.0, 258.0, 18.0], VsSYwGJNHo, 6532931]
[paragraph, [421.0, 240.0, 258.0, 18.0], VsSYwGJNHo, 6532931]
[paragraph, [421.0, 258.0, 258.0, 18.0], VsSYwGJNHo, 6532931]
[paragraph, [421.0, 276.0, 258.0, 18.0], VsSYwGJNHo, 6532931]
[paragraph, [421.0, 294.0, 258.0, 18.0], VsSYwGJNHo, 6532931]
[paragraph, [421.0, 312.0, 258.0, 18.0], VsSYwGJNHo, 6532931]
[paragraph, [421.0, 330.0, 258.0, 18.0], VsSYwGJNHo, 6532931]
[paragraph, [421.0, 348.0, 258.0, 18.0], VsSYwGJNHo, 6532931]
[paragraph, [421.0, 366.0, 258.0, 18.0], VsSYwGJNHo, 6532931]
[paragraph, [421.0, 384.0, 258.0, 18.0], VsSYwGJNHo, 6532931]
[paragraph, [162.0, 393.0, 238.0, 18.0], eijzseCZC7, 6532931]
[folio, [334.0, 419.0, 67.0, 18.0], EhP1JwHBVg, 6532931]
[folio, [642.0, 419.0, 33.0, 18.0], 9v1mF17NIg, 6532931]
