[5478, 3644]
[folio, [2294.0, 410.0, 820.0, 52.5], vy6mHbC1No, 5710494]
[folio, [2294.0, 462.5, 820.0, 52.5], vy6mHbC1No, 5710494]
[folio, [2294.0, 515.0, 820.0, 52.5], vy6mHbC1No, 5710494]
[paragraph, [547.0, 647.0, 1459.0, 52.5], x2whGJsBmW, 5710494]
[paragraph, [547.0, 699.5, 1459.0, 52.5], x2whGJsBmW, 5710494]
[quote, [729.0, 761.0, 1860.0, 52.5], _E_-ZmFoH7, 5710494]
[quote, [729.0, 813.5, 1860.0, 52.5], _E_-ZmFoH7, 5710494]
[quote, [729.0, 866.0, 1860.0, 52.5], _E_-ZmFoH7, 5710494]
[quote, [729.0, 918.5, 1860.0, 52.5], _E_-ZmFoH7, 5710494]
[quote, [729.0, 971.0, 1860.0, 52.5], _E_-ZmFoH7, 5710494]
[quote, [729.0, 1023.5, 1860.0, 52.5], _E_-ZmFoH7, 5710494]
[quote, [729.0, 1076.0, 1860.0, 52.5], _E_-ZmFoH7, 5710494]
[quote, [729.0, 1128.5, 1860.0, 52.5], _E_-ZmFoH7, 5710494]
[quote, [729.0, 1181.0, 1860.0, 52.5], _E_-ZmFoH7, 5710494]
[quote, [729.0, 1233.5, 1860.0, 52.5], _E_-ZmFoH7, 5710494]
[paragraph, [734.0, 1304.0, 1983.0, 52.5], IOumrGflii, 5710494]
[paragraph, [734.0, 1356.5, 1983.0, 52.5], IOumrGflii, 5710494]
[paragraph, [734.0, 1409.0, 1983.0, 52.5], IOumrGflii, 5710494]
[paragraph, [734.0, 1461.5, 1983.0, 52.5], IOumrGflii, 5710494]
[quote, [769.0, 1553.0, 1130.0, 52.5], shoonya_0sTZHRFCXS81UA, 5710494]
[quote, [769.0, 1605.5, 1130.0, 52.5], shoonya_0sTZHRFCXS81UA, 5710494]
[paragraph, [524.0, 1664.0, 2604.0, 52.5], jsBSCXpYEF, 5710494]
[paragraph, [524.0, 1716.5, 2604.0, 52.5], jsBSCXpYEF, 5710494]
[paragraph, [524.0, 1769.0, 2604.0, 52.5], jsBSCXpYEF, 5710494]
[paragraph, [524.0, 1821.5, 2604.0, 52.5], jsBSCXpYEF, 5710494]
[paragraph, [524.0, 1874.0, 2604.0, 52.5], jsBSCXpYEF, 5710494]
[quote, [529.0, 1943.0, 2595.0, 52.5], mXrR5ggM2n, 5710494]
[quote, [529.0, 1995.5, 2595.0, 52.5], mXrR5ggM2n, 5710494]
[quote, [529.0, 2048.0, 2595.0, 52.5], mXrR5ggM2n, 5710494]
[quote, [529.0, 2100.5, 2595.0, 52.5], mXrR5ggM2n, 5710494]
[quote, [529.0, 2153.0, 2595.0, 52.5], mXrR5ggM2n, 5710494]
[paragraph, [515.0, 2198.0, 2631.0, 52.5], kftEY2KFVZ, 5710494]
[paragraph, [515.0, 2250.5, 2631.0, 52.5], kftEY2KFVZ, 5710494]
[paragraph, [515.0, 2303.0, 2631.0, 52.5], kftEY2KFVZ, 5710494]
[paragraph, [515.0, 2355.5, 2631.0, 52.5], kftEY2KFVZ, 5710494]
[paragraph, [515.0, 2408.0, 2631.0, 52.5], kftEY2KFVZ, 5710494]
[quote, [743.0, 2444.0, 2166.0, 52.5], zQ2SQLw0vy, 5710494]
[quote, [743.0, 2496.5, 2166.0, 52.5], zQ2SQLw0vy, 5710494]
[paragraph, [752.0, 2586.0, 1587.0, 52.5], IA4Zh4yYXS, 5710494]
[paragraph, [752.0, 2638.5, 1587.0, 52.5], IA4Zh4yYXS, 5710494]
[quote, [743.0, 2732.0, 2348.0, 52.5], 9vvhdHYLUj, 5710494]
[quote, [743.0, 2784.5, 2348.0, 52.5], 9vvhdHYLUj, 5710494]
[paragraph, [533.0, 2868.0, 2549.0, 52.5], eYcXgGJZ1L, 5710494]
[paragraph, [533.0, 2920.5, 2549.0, 52.5], eYcXgGJZ1L, 5710494]
[paragraph, [533.0, 2973.0, 2549.0, 52.5], eYcXgGJZ1L, 5710494]
[paragraph, [533.0, 3025.5, 2549.0, 52.5], eYcXgGJZ1L, 5710494]
[paragraph, [533.0, 3078.0, 2549.0, 52.5], eYcXgGJZ1L, 5710494]
[paragraph, [533.0, 3130.5, 2549.0, 52.5], eYcXgGJZ1L, 5710494]
[paragraph, [533.0, 3183.0, 2549.0, 52.5], eYcXgGJZ1L, 5710494]
[paragraph, [528.0, 3367.0, 2593.0, 52.5], shoonya_1s6OQC0GA7OCUO, 5710494]
[paragraph, [528.0, 3419.5, 2593.0, 52.5], shoonya_1s6OQC0GA7OCUO, 5710494]
[paragraph, [528.0, 3472.0, 2593.0, 52.5], shoonya_1s6OQC0GA7OCUO, 5710494]
[paragraph, [528.0, 3524.5, 2593.0, 52.5], shoonya_1s6OQC0GA7OCUO, 5710494]
[paragraph, [528.0, 3577.0, 2593.0, 52.5], shoonya_1s6OQC0GA7OCUO, 5710494]
[paragraph, [528.0, 3629.5, 2593.0, 52.5], shoonya_1s6OQC0GA7OCUO, 5710494]
[paragraph, [528.0, 3682.0, 2593.0, 52.5], shoonya_1s6OQC0GA7OCUO, 5710494]
[paragraph, [528.0, 3734.5, 2593.0, 52.5], shoonya_1s6OQC0GA7OCUO, 5710494]
[paragraph, [528.0, 3787.0, 2593.0, 52.5], shoonya_1s6OQC0GA7OCUO, 5710494]
[paragraph, [528.0, 3839.5, 2593.0, 52.5], shoonya_1s6OQC0GA7OCUO, 5710494]
[paragraph, [528.0, 3892.0, 2593.0, 52.5], shoonya_1s6OQC0GA7OCUO, 5710494]
[paragraph, [528.0, 3944.5, 2593.0, 52.5], shoonya_1s6OQC0GA7OCUO, 5710494]
[paragraph, [528.0, 3997.0, 2593.0, 52.5], shoonya_1s6OQC0GA7OCUO, 5710494]
[paragraph, [528.0, 4049.5, 2593.0, 52.5], shoonya_1s6OQC0GA7OCUO, 5710494]
[paragraph, [528.0, 4102.0, 2593.0, 52.5], shoonya_1s6OQC0GA7OCUO, 5710494]
[paragraph, [528.0, 4154.5, 2593.0, 52.5], shoonya_1s6OQC0GA7OCUO, 5710494]
[paragraph, [528.0, 4207.0, 2593.0, 52.5], shoonya_1s6OQC0GA7OCUO, 5710494]
[paragraph, [528.0, 4259.5, 2593.0, 52.5], shoonya_1s6OQC0GA7OCUO, 5710494]
[paragraph, [528.0, 4312.0, 2593.0, 52.5], shoonya_1s6OQC0GA7OCUO, 5710494]
