[1275, 1650]
[folio, [224.0, 113.0, 554.0, 18.0], shoonya_3s2IYGSAJS8FAK, 5764404]
[folio, [224.0, 131.0, 554.0, 18.0], shoonya_3s2IYGSAJS8FAK, 5764404]
[folio, [224.0, 149.0, 554.0, 18.0], shoonya_3s2IYGSAJS8FAK, 5764404]
[folio, [224.0, 167.0, 554.0, 18.0], shoonya_3s2IYGSAJS8FAK, 5764404]
[folio, [224.0, 185.0, 554.0, 18.0], shoonya_3s2IYGSAJS8FAK, 5764404]
[folio, [224.0, 203.0, 554.0, 18.0], shoonya_3s2IYGSAJS8FAK, 5764404]
[folio, [224.0, 221.0, 554.0, 18.0], shoonya_3s2IYGSAJS8FAK, 5764404]
[folio, [224.0, 239.0, 554.0, 18.0], shoonya_3s2IYGSAJS8FAK, 5764404]
[folio, [224.0, 257.0, 554.0, 18.0], shoonya_3s2IYGSAJS8FAK, 5764404]
[folio, [224.0, 275.0, 554.0, 18.0], shoonya_3s2IYGSAJS8FAK, 5764404]
[folio, [224.0, 293.0, 554.0, 18.0], shoonya_3s2IYGSAJS8FAK, 5764404]
[second-level-question, [858.0, 191.0, 726.0, 18.0], 3zZRGc_I19, 5764404]
[second-level-question, [858.0, 209.0, 726.0, 18.0], 3zZRGc_I19, 5764404]
[second-level-question, [858.0, 227.0, 726.0, 18.0], 3zZRGc_I19, 5764404]
[second-level-question, [858.0, 245.0, 726.0, 18.0], 3zZRGc_I19, 5764404]
[second-level-question, [858.0, 263.0, 726.0, 18.0], 3zZRGc_I19, 5764404]
[second-level-question, [858.0, 281.0, 726.0, 18.0], 3zZRGc_I19, 5764404]
[sidebar, [88.0, 321.0, 117.0, 18.0], xP-qNojsd9, 5764404]
[sidebar, [563.0, 325.0, 222.0, 18.0], nA5S9qkPdt, 5764404]
[sidebar, [596.0, 389.0, 158.0, 18.0], pKl43q2wOU, 5764404]
[sidebar, [596.0, 407.0, 158.0, 18.0], pKl43q2wOU, 5764404]
[second-level-question, [82.0, 441.0, 732.0, 18.0], E5DZpJ7NAb, 5764404]
[second-level-question, [82.0, 459.0, 732.0, 18.0], E5DZpJ7NAb, 5764404]
[second-level-question, [82.0, 477.0, 732.0, 18.0], E5DZpJ7NAb, 5764404]
[second-level-question, [82.0, 495.0, 732.0, 18.0], E5DZpJ7NAb, 5764404]
[second-level-question, [82.0, 513.0, 732.0, 18.0], E5DZpJ7NAb, 5764404]
[second-level-question, [82.0, 531.0, 732.0, 18.0], E5DZpJ7NAb, 5764404]
[second-level-question, [82.0, 549.0, 732.0, 18.0], E5DZpJ7NAb, 5764404]
[second-level-question, [82.0, 567.0, 732.0, 18.0], E5DZpJ7NAb, 5764404]
[second-level-question, [82.0, 585.0, 732.0, 18.0], E5DZpJ7NAb, 5764404]
[second-level-question, [82.0, 603.0, 732.0, 18.0], E5DZpJ7NAb, 5764404]
[second-level-question, [82.0, 621.0, 732.0, 18.0], E5DZpJ7NAb, 5764404]
[second-level-question, [82.0, 639.0, 732.0, 18.0], E5DZpJ7NAb, 5764404]
[second-level-question, [82.0, 657.0, 732.0, 18.0], E5DZpJ7NAb, 5764404]
[second-level-question, [82.0, 675.0, 732.0, 18.0], E5DZpJ7NAb, 5764404]
[second-level-question, [82.0, 693.0, 732.0, 18.0], E5DZpJ7NAb, 5764404]
[second-level-question, [82.0, 711.0, 732.0, 18.0], E5DZpJ7NAb, 5764404]
[second-level-question, [82.0, 729.0, 732.0, 18.0], E5DZpJ7NAb, 5764404]
[second-level-question, [82.0, 747.0, 732.0, 18.0], E5DZpJ7NAb, 5764404]
[second-level-question, [82.0, 765.0, 732.0, 18.0], E5DZpJ7NAb, 5764404]
[second-level-question, [82.0, 783.0, 732.0, 18.0], E5DZpJ7NAb, 5764404]
[second-level-question, [82.0, 801.0, 732.0, 18.0], E5DZpJ7NAb, 5764404]
[second-level-question, [82.0, 819.0, 732.0, 18.0], E5DZpJ7NAb, 5764404]
[second-level-question, [82.0, 837.0, 732.0, 18.0], E5DZpJ7NAb, 5764404]
[second-level-question, [82.0, 855.0, 732.0, 18.0], E5DZpJ7NAb, 5764404]
[second-level-question, [82.0, 873.0, 732.0, 18.0], E5DZpJ7NAb, 5764404]
[second-level-question, [82.0, 891.0, 732.0, 18.0], E5DZpJ7NAb, 5764404]
[second-level-question, [82.0, 909.0, 732.0, 18.0], E5DZpJ7NAb, 5764404]
[second-level-question, [82.0, 927.0, 732.0, 18.0], E5DZpJ7NAb, 5764404]
[second-level-question, [82.0, 945.0, 732.0, 18.0], E5DZpJ7NAb, 5764404]
[second-level-question, [82.0, 963.0, 732.0, 18.0], E5DZpJ7NAb, 5764404]
[second-level-question, [82.0, 981.0, 732.0, 18.0], E5DZpJ7NAb, 5764404]
[second-level-question, [82.0, 999.0, 732.0, 18.0], E5DZpJ7NAb, 5764404]
[second-level-question, [82.0, 1017.0, 732.0, 18.0], E5DZpJ7NAb, 5764404]
[second-level-question, [82.0, 1035.0, 732.0, 18.0], E5DZpJ7NAb, 5764404]
[second-level-question, [82.0, 1053.0, 732.0, 18.0], E5DZpJ7NAb, 5764404]
[folio, [1233.0, 1103.0, 245.0, 18.0], qMPQzoP015, 5764404]
[folio, [1233.0, 1121.0, 245.0, 18.0], qMPQzoP015, 5764404]
