[2806, 1983]
[paragraph, [223.0, 235.0, 1538.0, 46.5], shoonya_0sCG4CE9RPUL3Z, 5682672]
[paragraph, [223.0, 281.5, 1538.0, 46.5], shoonya_0sCG4CE9RPUL3Z, 5682672]
[paragraph, [223.0, 328.0, 1538.0, 46.5], shoonya_0sCG4CE9RPUL3Z, 5682672]
[paragraph, [212.0, 537.0, 1560.0, 46.5], shoonya_1sGK1I8G0OEYLJ, 5682672]
[paragraph, [212.0, 583.5, 1560.0, 46.5], shoonya_1sGK1I8G0OEYLJ, 5682672]
[paragraph, [212.0, 630.0, 1560.0, 46.5], shoonya_1sGK1I8G0OEYLJ, 5682672]
[paragraph, [212.0, 676.5, 1560.0, 46.5], shoonya_1sGK1I8G0OEYLJ, 5682672]
[paragraph, [212.0, 723.0, 1560.0, 46.5], shoonya_1sGK1I8G0OEYLJ, 5682672]
[paragraph, [220.0, 912.0, 1323.0, 46.5], z_XofPUujL, 5682672]
[paragraph, [218.0, 1023.0, 1283.0, 46.5], skf6khZba-, 5682672]
[paragraph, [218.0, 1069.5, 1283.0, 46.5], skf6khZba-, 5682672]
[paragraph, [220.0, 1142.0, 909.0, 46.5], j7asYj8CE6, 5682672]
[paragraph, [218.0, 1244.0, 1549.0, 46.5], nGOvSOv9vO, 5682672]
[paragraph, [218.0, 1290.5, 1549.0, 46.5], nGOvSOv9vO, 5682672]
[paragraph, [218.0, 1337.0, 1549.0, 46.5], nGOvSOv9vO, 5682672]
[paragraph, [218.0, 1383.5, 1549.0, 46.5], nGOvSOv9vO, 5682672]
[paragraph, [218.0, 1430.0, 1549.0, 46.5], nGOvSOv9vO, 5682672]
[paragraph, [223.0, 1526.0, 1494.0, 46.5], QpV4gXKL0-, 5682672]
[paragraph, [218.0, 1633.0, 1546.0, 46.5], 64fD_RnLx6, 5682672]
[paragraph, [218.0, 1679.5, 1546.0, 46.5], 64fD_RnLx6, 5682672]
[paragraph, [218.0, 1726.0, 1546.0, 46.5], 64fD_RnLx6, 5682672]
[paragraph, [218.0, 1772.5, 1546.0, 46.5], 64fD_RnLx6, 5682672]
[paragraph, [218.0, 1844.0, 1085.0, 46.5], lyC1cCEu2O, 5682672]
[paragraph, [215.0, 1950.0, 803.0, 46.5], PbikRZEbAw, 5682672]
[paragraph, [218.0, 2062.0, 696.0, 46.5], vrbfikKCFs, 5682672]
[paragraph, [215.0, 2173.0, 897.0, 46.5], dHQaIyExNI, 5682672]
[paragraph, [215.0, 2219.5, 897.0, 46.5], dHQaIyExNI, 5682672]
[paragraph, [218.0, 2295.0, 612.0, 46.5], VC7CfCY1KD, 5682672]
[paragraph, [218.0, 2401.0, 803.0, 46.5], Dpo1jViVSs, 5682672]
[paragraph, [218.0, 2447.5, 803.0, 46.5], Dpo1jViVSs, 5682672]
