[1754, 1241]
[paragraph, [67.0, 135.0, 539.0, 36.0], shoonya_3s5JOKYIROFPPC, 6472411]
[paragraph, [67.0, 171.0, 539.0, 36.0], shoonya_3s5JOKYIROFPPC, 6472411]
[paragraph, [624.0, 137.0, 552.0, 36.0], shoonya_8sXZ6QSPZHFKDE, 6472411]
[paragraph, [624.0, 173.0, 552.0, 36.0], shoonya_8sXZ6QSPZHFKDE, 6472411]
[paragraph, [624.0, 209.0, 552.0, 36.0], shoonya_8sXZ6QSPZHFKDE, 6472411]
[paragraph, [63.0, 241.0, 549.0, 36.0], shoonya_1sOSR6QDW2ZRVE, 6472411]
[paragraph, [63.0, 277.0, 549.0, 36.0], shoonya_1sOSR6QDW2ZRVE, 6472411]
[paragraph, [63.0, 313.0, 549.0, 36.0], shoonya_1sOSR6QDW2ZRVE, 6472411]
[paragraph, [63.0, 349.0, 549.0, 36.0], shoonya_1sOSR6QDW2ZRVE, 6472411]
[paragraph, [622.0, 297.0, 556.0, 36.0], shoonya_0s7J4QT4XWYES1, 6472411]
[paragraph, [622.0, 333.0, 556.0, 36.0], shoonya_0s7J4QT4XWYES1, 6472411]
[paragraph, [622.0, 369.0, 556.0, 36.0], shoonya_0s7J4QT4XWYES1, 6472411]
[paragraph, [622.0, 405.0, 556.0, 36.0], shoonya_0s7J4QT4XWYES1, 6472411]
[paragraph, [622.0, 441.0, 556.0, 36.0], shoonya_0s7J4QT4XWYES1, 6472411]
[paragraph, [622.0, 477.0, 556.0, 36.0], shoonya_0s7J4QT4XWYES1, 6472411]
[paragraph, [622.0, 513.0, 556.0, 36.0], shoonya_0s7J4QT4XWYES1, 6472411]
[paragraph, [60.0, 430.0, 553.0, 36.0], shoonya_2sLR24HQZIK89H, 6472411]
[paragraph, [60.0, 466.0, 553.0, 36.0], shoonya_2sLR24HQZIK89H, 6472411]
[paragraph, [60.0, 502.0, 553.0, 36.0], shoonya_2sLR24HQZIK89H, 6472411]
[paragraph, [60.0, 538.0, 553.0, 36.0], shoonya_2sLR24HQZIK89H, 6472411]
[paragraph, [60.0, 574.0, 553.0, 36.0], shoonya_2sLR24HQZIK89H, 6472411]
[paragraph, [60.0, 610.0, 553.0, 36.0], shoonya_2sLR24HQZIK89H, 6472411]
[paragraph, [60.0, 646.0, 553.0, 36.0], shoonya_2sLR24HQZIK89H, 6472411]
[paragraph, [60.0, 682.0, 553.0, 36.0], shoonya_2sLR24HQZIK89H, 6472411]
[paragraph, [60.0, 718.0, 553.0, 36.0], shoonya_2sLR24HQZIK89H, 6472411]
[paragraph, [60.0, 754.0, 553.0, 36.0], shoonya_2sLR24HQZIK89H, 6472411]
[paragraph, [60.0, 790.0, 553.0, 36.0], shoonya_2sLR24HQZIK89H, 6472411]
[paragraph, [635.0, 624.0, 537.0, 36.0], _f9N1WizSS, 6472411]
[paragraph, [635.0, 660.0, 537.0, 36.0], _f9N1WizSS, 6472411]
[paragraph, [635.0, 696.0, 537.0, 36.0], _f9N1WizSS, 6472411]
[paragraph, [635.0, 732.0, 537.0, 36.0], _f9N1WizSS, 6472411]
[paragraph, [635.0, 768.0, 537.0, 36.0], _f9N1WizSS, 6472411]
[unordered-list, [637.0, 838.0, 535.0, 36.0], shoonya_5sPOXQQ4CJWHBG, 6472411]
[unordered-list, [637.0, 874.0, 535.0, 36.0], shoonya_5sPOXQQ4CJWHBG, 6472411]
[unordered-list, [637.0, 910.0, 535.0, 36.0], shoonya_5sPOXQQ4CJWHBG, 6472411]
[unordered-list, [637.0, 946.0, 535.0, 36.0], shoonya_5sPOXQQ4CJWHBG, 6472411]
[unordered-list, [637.0, 982.0, 535.0, 36.0], shoonya_5sPOXQQ4CJWHBG, 6472411]
[unordered-list, [637.0, 1018.0, 535.0, 36.0], shoonya_5sPOXQQ4CJWHBG, 6472411]
[unordered-list, [637.0, 1054.0, 535.0, 36.0], shoonya_5sPOXQQ4CJWHBG, 6472411]
[unordered-list, [637.0, 1090.0, 535.0, 36.0], shoonya_5sPOXQQ4CJWHBG, 6472411]
[unordered-list, [637.0, 1126.0, 535.0, 36.0], shoonya_5sPOXQQ4CJWHBG, 6472411]
[unordered-list, [637.0, 1162.0, 535.0, 36.0], shoonya_5sPOXQQ4CJWHBG, 6472411]
[unordered-list, [637.0, 1198.0, 535.0, 36.0], shoonya_5sPOXQQ4CJWHBG, 6472411]
[unordered-list, [637.0, 1234.0, 535.0, 36.0], shoonya_5sPOXQQ4CJWHBG, 6472411]
[unordered-list, [637.0, 1270.0, 535.0, 36.0], shoonya_5sPOXQQ4CJWHBG, 6472411]
[unordered-list, [637.0, 1306.0, 535.0, 36.0], shoonya_5sPOXQQ4CJWHBG, 6472411]
[unordered-list, [637.0, 1342.0, 535.0, 36.0], shoonya_5sPOXQQ4CJWHBG, 6472411]
[unordered-list, [637.0, 1378.0, 535.0, 36.0], shoonya_5sPOXQQ4CJWHBG, 6472411]
[unordered-list, [637.0, 1414.0, 535.0, 36.0], shoonya_5sPOXQQ4CJWHBG, 6472411]
[unordered-list, [637.0, 1450.0, 535.0, 36.0], shoonya_5sPOXQQ4CJWHBG, 6472411]
[paragraph, [62.0, 852.0, 547.0, 36.0], shoonya_9sA9QPRJ67SZEF, 6472411]
[paragraph, [62.0, 888.0, 547.0, 36.0], shoonya_9sA9QPRJ67SZEF, 6472411]
[paragraph, [62.0, 924.0, 547.0, 36.0], shoonya_9sA9QPRJ67SZEF, 6472411]
[paragraph, [62.0, 960.0, 547.0, 36.0], shoonya_9sA9QPRJ67SZEF, 6472411]
[paragraph, [62.0, 996.0, 547.0, 36.0], shoonya_9sA9QPRJ67SZEF, 6472411]
[paragraph, [62.0, 1032.0, 547.0, 36.0], shoonya_9sA9QPRJ67SZEF, 6472411]
[paragraph, [62.0, 1068.0, 547.0, 36.0], shoonya_9sA9QPRJ67SZEF, 6472411]
[paragraph, [65.0, 1159.0, 546.0, 36.0], shoonya_11s4Y2XMPLO5K4, 6472411]
[paragraph, [65.0, 1195.0, 546.0, 36.0], shoonya_11s4Y2XMPLO5K4, 6472411]
[paragraph, [65.0, 1231.0, 546.0, 36.0], shoonya_11s4Y2XMPLO5K4, 6472411]
[paragraph, [65.0, 1267.0, 546.0, 36.0], shoonya_11s4Y2XMPLO5K4, 6472411]
[paragraph, [65.0, 1303.0, 546.0, 36.0], shoonya_11s4Y2XMPLO5K4, 6472411]
[paragraph, [65.0, 1339.0, 546.0, 36.0], shoonya_11s4Y2XMPLO5K4, 6472411]
[paragraph, [65.0, 1375.0, 546.0, 36.0], shoonya_11s4Y2XMPLO5K4, 6472411]
[paragraph, [65.0, 1411.0, 546.0, 36.0], shoonya_11s4Y2XMPLO5K4, 6472411]
[paragraph, [65.0, 1512.0, 543.0, 36.0], shoonya_6sE66LV86BYLGL, 6472411]
[paragraph, [65.0, 1548.0, 543.0, 36.0], shoonya_6sE66LV86BYLGL, 6472411]
[folio, [677.0, 1516.0, 496.0, 36.0], shoonya_7s6QFISBE9HYSH, 6472411]
[folio, [677.0, 1552.0, 496.0, 36.0], shoonya_7s6QFISBE9HYSH, 6472411]
