[1447, 1063]
[folio, [427.0, 55.0, 207.0, 18.0], 3kFk6tgkGT, 5763210]
[paragraph, [531.0, 93.0, 439.0, 18.0], INXc3yNkG1, 5763210]
[paragraph, [531.0, 111.0, 439.0, 18.0], INXc3yNkG1, 5763210]
[paragraph, [531.0, 129.0, 439.0, 18.0], INXc3yNkG1, 5763210]
[paragraph, [531.0, 147.0, 439.0, 18.0], INXc3yNkG1, 5763210]
[paragraph, [531.0, 165.0, 439.0, 18.0], INXc3yNkG1, 5763210]
[paragraph, [531.0, 183.0, 439.0, 18.0], INXc3yNkG1, 5763210]
[paragraph, [531.0, 201.0, 439.0, 18.0], INXc3yNkG1, 5763210]
[paragraph, [531.0, 219.0, 439.0, 18.0], INXc3yNkG1, 5763210]
[paragraph, [531.0, 237.0, 439.0, 18.0], INXc3yNkG1, 5763210]
[paragraph, [531.0, 255.0, 439.0, 18.0], INXc3yNkG1, 5763210]
[paragraph, [531.0, 273.0, 439.0, 18.0], INXc3yNkG1, 5763210]
[paragraph, [531.0, 291.0, 439.0, 18.0], INXc3yNkG1, 5763210]
[paragraph, [531.0, 309.0, 439.0, 18.0], INXc3yNkG1, 5763210]
[paragraph, [531.0, 327.0, 439.0, 18.0], INXc3yNkG1, 5763210]
[paragraph, [531.0, 345.0, 439.0, 18.0], INXc3yNkG1, 5763210]
[paragraph, [531.0, 363.0, 439.0, 18.0], INXc3yNkG1, 5763210]
[paragraph, [531.0, 381.0, 439.0, 18.0], INXc3yNkG1, 5763210]
[paragraph, [531.0, 399.0, 439.0, 18.0], INXc3yNkG1, 5763210]
[paragraph, [96.0, 95.0, 426.0, 18.0], shoonya_1sIC3VVG7BEAWE, 5763210]
[paragraph, [96.0, 113.0, 426.0, 18.0], shoonya_1sIC3VVG7BEAWE, 5763210]
[paragraph, [96.0, 131.0, 426.0, 18.0], shoonya_1sIC3VVG7BEAWE, 5763210]
[website-link, [534.0, 98.0, 155.0, 18.0], xuqQQ5R0sx, 5763210]
[paragraph, [93.0, 173.0, 432.0, 18.0], shoonya_2sYKO0922G6AW0, 5763210]
[paragraph, [93.0, 191.0, 432.0, 18.0], shoonya_2sYKO0922G6AW0, 5763210]
[paragraph, [93.0, 209.0, 432.0, 18.0], shoonya_2sYKO0922G6AW0, 5763210]
[paragraph, [93.0, 227.0, 432.0, 18.0], shoonya_2sYKO0922G6AW0, 5763210]
[paragraph, [93.0, 245.0, 432.0, 18.0], shoonya_2sYKO0922G6AW0, 5763210]
[paragraph, [93.0, 263.0, 432.0, 18.0], shoonya_2sYKO0922G6AW0, 5763210]
[paragraph, [93.0, 281.0, 432.0, 18.0], shoonya_2sYKO0922G6AW0, 5763210]
[paragraph, [93.0, 299.0, 432.0, 18.0], shoonya_2sYKO0922G6AW0, 5763210]
[paragraph, [93.0, 317.0, 432.0, 18.0], shoonya_2sYKO0922G6AW0, 5763210]
[paragraph, [93.0, 335.0, 432.0, 18.0], shoonya_2sYKO0922G6AW0, 5763210]
[paragraph, [93.0, 353.0, 432.0, 18.0], shoonya_2sYKO0922G6AW0, 5763210]
[paragraph, [93.0, 371.0, 432.0, 18.0], shoonya_2sYKO0922G6AW0, 5763210]
[paragraph, [93.0, 389.0, 432.0, 18.0], shoonya_2sYKO0922G6AW0, 5763210]
[paragraph, [93.0, 407.0, 432.0, 18.0], shoonya_2sYKO0922G6AW0, 5763210]
[paragraph, [93.0, 425.0, 432.0, 18.0], shoonya_2sYKO0922G6AW0, 5763210]
[paragraph, [93.0, 443.0, 432.0, 18.0], shoonya_2sYKO0922G6AW0, 5763210]
[paragraph, [93.0, 461.0, 432.0, 18.0], shoonya_2sYKO0922G6AW0, 5763210]
[paragraph, [93.0, 479.0, 432.0, 18.0], shoonya_2sYKO0922G6AW0, 5763210]
[paragraph, [93.0, 497.0, 432.0, 18.0], shoonya_2sYKO0922G6AW0, 5763210]
[paragraph, [93.0, 515.0, 432.0, 18.0], shoonya_2sYKO0922G6AW0, 5763210]
[paragraph, [93.0, 533.0, 432.0, 18.0], shoonya_2sYKO0922G6AW0, 5763210]
[paragraph, [93.0, 551.0, 432.0, 18.0], shoonya_2sYKO0922G6AW0, 5763210]
[paragraph, [93.0, 569.0, 432.0, 18.0], shoonya_2sYKO0922G6AW0, 5763210]
[paragraph, [93.0, 587.0, 432.0, 18.0], shoonya_2sYKO0922G6AW0, 5763210]
[paragraph, [93.0, 605.0, 432.0, 18.0], shoonya_2sYKO0922G6AW0, 5763210]
[paragraph, [93.0, 623.0, 432.0, 18.0], shoonya_2sYKO0922G6AW0, 5763210]
[paragraph, [531.0, 421.0, 442.0, 18.0], 0vY-wqAdIU, 5763210]
[paragraph, [531.0, 439.0, 442.0, 18.0], 0vY-wqAdIU, 5763210]
[paragraph, [531.0, 457.0, 442.0, 18.0], 0vY-wqAdIU, 5763210]
[paragraph, [531.0, 475.0, 442.0, 18.0], 0vY-wqAdIU, 5763210]
[paragraph, [531.0, 493.0, 442.0, 18.0], 0vY-wqAdIU, 5763210]
[paragraph, [531.0, 511.0, 442.0, 18.0], 0vY-wqAdIU, 5763210]
[paragraph, [531.0, 529.0, 442.0, 18.0], 0vY-wqAdIU, 5763210]
[paragraph, [531.0, 547.0, 442.0, 18.0], 0vY-wqAdIU, 5763210]
[paragraph, [531.0, 565.0, 442.0, 18.0], 0vY-wqAdIU, 5763210]
[paragraph, [531.0, 583.0, 442.0, 18.0], 0vY-wqAdIU, 5763210]
[paragraph, [531.0, 601.0, 442.0, 18.0], 0vY-wqAdIU, 5763210]
[paragraph, [531.0, 619.0, 442.0, 18.0], 0vY-wqAdIU, 5763210]
[paragraph, [531.0, 637.0, 442.0, 18.0], 0vY-wqAdIU, 5763210]
[paragraph, [531.0, 655.0, 442.0, 18.0], 0vY-wqAdIU, 5763210]
[paragraph, [531.0, 673.0, 442.0, 18.0], 0vY-wqAdIU, 5763210]
[paragraph, [531.0, 691.0, 442.0, 18.0], 0vY-wqAdIU, 5763210]
[website-link, [813.0, 616.0, 162.0, 18.0], HeAN8HXLNl, 5763210]
[website-link, [535.0, 644.0, 115.0, 18.0], PXZezQUd7k, 5763210]
[paragraph, [92.0, 660.0, 433.0, 18.0], shoonya_5sDDJSJ4ZXXTTA, 5763210]
[paragraph, [92.0, 678.0, 433.0, 18.0], shoonya_5sDDJSJ4ZXXTTA, 5763210]
[paragraph, [92.0, 696.0, 433.0, 18.0], shoonya_5sDDJSJ4ZXXTTA, 5763210]
[paragraph, [92.0, 714.0, 433.0, 18.0], shoonya_5sDDJSJ4ZXXTTA, 5763210]
[paragraph, [92.0, 732.0, 433.0, 18.0], shoonya_5sDDJSJ4ZXXTTA, 5763210]
[paragraph, [92.0, 750.0, 433.0, 18.0], shoonya_5sDDJSJ4ZXXTTA, 5763210]
[paragraph, [92.0, 768.0, 433.0, 18.0], shoonya_5sDDJSJ4ZXXTTA, 5763210]
[paragraph, [92.0, 786.0, 433.0, 18.0], shoonya_5sDDJSJ4ZXXTTA, 5763210]
[paragraph, [92.0, 804.0, 433.0, 18.0], shoonya_5sDDJSJ4ZXXTTA, 5763210]
[paragraph, [92.0, 822.0, 433.0, 18.0], shoonya_5sDDJSJ4ZXXTTA, 5763210]
[paragraph, [92.0, 840.0, 433.0, 18.0], shoonya_5sDDJSJ4ZXXTTA, 5763210]
[paragraph, [92.0, 858.0, 433.0, 18.0], shoonya_5sDDJSJ4ZXXTTA, 5763210]
[paragraph, [92.0, 876.0, 433.0, 18.0], shoonya_5sDDJSJ4ZXXTTA, 5763210]
[paragraph, [92.0, 894.0, 433.0, 18.0], shoonya_5sDDJSJ4ZXXTTA, 5763210]
[paragraph, [92.0, 912.0, 433.0, 18.0], shoonya_5sDDJSJ4ZXXTTA, 5763210]
[paragraph, [92.0, 930.0, 433.0, 18.0], shoonya_5sDDJSJ4ZXXTTA, 5763210]
[paragraph, [92.0, 948.0, 433.0, 18.0], shoonya_5sDDJSJ4ZXXTTA, 5763210]
[section-title, [535.0, 725.0, 416.0, 30.0], shoonya_3sB1Z47RQPJ6WF, 5763210]
[section-title, [535.0, 755.0, 416.0, 30.0], shoonya_3sB1Z47RQPJ6WF, 5763210]
[paragraph, [534.0, 801.0, 439.0, 18.0], knAaBtu-YU, 5763210]
[paragraph, [534.0, 819.0, 439.0, 18.0], knAaBtu-YU, 5763210]
[paragraph, [534.0, 837.0, 439.0, 18.0], knAaBtu-YU, 5763210]
[paragraph, [534.0, 855.0, 439.0, 18.0], knAaBtu-YU, 5763210]
[paragraph, [534.0, 873.0, 439.0, 18.0], knAaBtu-YU, 5763210]
[paragraph, [534.0, 891.0, 439.0, 18.0], knAaBtu-YU, 5763210]
