[2339, 1655]
[reference, [158.0, 198.0, 1302.0, 36.0], shoonya_0sDY5GY5SYH1W4, 5737715]
[reference, [158.0, 234.0, 1302.0, 36.0], shoonya_0sDY5GY5SYH1W4, 5737715]
[reference, [158.0, 270.0, 1302.0, 36.0], shoonya_0sDY5GY5SYH1W4, 5737715]
[reference, [158.0, 306.0, 1302.0, 36.0], shoonya_0sDY5GY5SYH1W4, 5737715]
[reference, [158.0, 342.0, 1302.0, 36.0], shoonya_0sDY5GY5SYH1W4, 5737715]
[reference, [158.0, 378.0, 1302.0, 36.0], shoonya_0sDY5GY5SYH1W4, 5737715]
[reference, [158.0, 414.0, 1302.0, 36.0], shoonya_0sDY5GY5SYH1W4, 5737715]
[reference, [158.0, 450.0, 1302.0, 36.0], shoonya_0sDY5GY5SYH1W4, 5737715]
[reference, [158.0, 486.0, 1302.0, 36.0], shoonya_0sDY5GY5SYH1W4, 5737715]
[reference, [158.0, 522.0, 1302.0, 36.0], shoonya_0sDY5GY5SYH1W4, 5737715]
[reference, [158.0, 558.0, 1302.0, 36.0], shoonya_0sDY5GY5SYH1W4, 5737715]
[reference, [158.0, 594.0, 1302.0, 36.0], shoonya_0sDY5GY5SYH1W4, 5737715]
[reference, [158.0, 630.0, 1302.0, 36.0], shoonya_0sDY5GY5SYH1W4, 5737715]
[reference, [158.0, 666.0, 1302.0, 36.0], shoonya_0sDY5GY5SYH1W4, 5737715]
[reference, [158.0, 702.0, 1302.0, 36.0], shoonya_0sDY5GY5SYH1W4, 5737715]
[reference, [158.0, 738.0, 1302.0, 36.0], shoonya_0sDY5GY5SYH1W4, 5737715]
[reference, [158.0, 774.0, 1302.0, 36.0], shoonya_0sDY5GY5SYH1W4, 5737715]
[reference, [158.0, 810.0, 1302.0, 36.0], shoonya_0sDY5GY5SYH1W4, 5737715]
[reference, [158.0, 846.0, 1302.0, 36.0], shoonya_0sDY5GY5SYH1W4, 5737715]
[reference, [158.0, 882.0, 1302.0, 36.0], shoonya_0sDY5GY5SYH1W4, 5737715]
[reference, [158.0, 918.0, 1302.0, 36.0], shoonya_0sDY5GY5SYH1W4, 5737715]
[reference, [158.0, 954.0, 1302.0, 36.0], shoonya_0sDY5GY5SYH1W4, 5737715]
[reference, [158.0, 990.0, 1302.0, 36.0], shoonya_0sDY5GY5SYH1W4, 5737715]
[reference, [158.0, 1026.0, 1302.0, 36.0], shoonya_0sDY5GY5SYH1W4, 5737715]
[reference, [158.0, 1062.0, 1302.0, 36.0], shoonya_0sDY5GY5SYH1W4, 5737715]
[reference, [158.0, 1098.0, 1302.0, 36.0], shoonya_0sDY5GY5SYH1W4, 5737715]
[reference, [158.0, 1134.0, 1302.0, 36.0], shoonya_0sDY5GY5SYH1W4, 5737715]
[reference, [158.0, 1170.0, 1302.0, 36.0], shoonya_0sDY5GY5SYH1W4, 5737715]
[reference, [158.0, 1206.0, 1302.0, 36.0], shoonya_0sDY5GY5SYH1W4, 5737715]
[reference, [158.0, 1242.0, 1302.0, 36.0], shoonya_0sDY5GY5SYH1W4, 5737715]
[reference, [158.0, 1278.0, 1302.0, 36.0], shoonya_0sDY5GY5SYH1W4, 5737715]
[reference, [158.0, 1314.0, 1302.0, 36.0], shoonya_0sDY5GY5SYH1W4, 5737715]
[reference, [158.0, 1350.0, 1302.0, 36.0], shoonya_0sDY5GY5SYH1W4, 5737715]
[reference, [158.0, 1386.0, 1302.0, 36.0], shoonya_0sDY5GY5SYH1W4, 5737715]
[reference, [158.0, 1422.0, 1302.0, 36.0], shoonya_0sDY5GY5SYH1W4, 5737715]
[reference, [158.0, 1458.0, 1302.0, 36.0], shoonya_0sDY5GY5SYH1W4, 5737715]
[reference, [158.0, 1494.0, 1302.0, 36.0], shoonya_0sDY5GY5SYH1W4, 5737715]
[reference, [158.0, 1530.0, 1302.0, 36.0], shoonya_0sDY5GY5SYH1W4, 5737715]
[reference, [158.0, 1566.0, 1302.0, 36.0], shoonya_0sDY5GY5SYH1W4, 5737715]
[reference, [158.0, 1602.0, 1302.0, 36.0], shoonya_0sDY5GY5SYH1W4, 5737715]
[reference, [158.0, 1638.0, 1302.0, 36.0], shoonya_0sDY5GY5SYH1W4, 5737715]
[reference, [158.0, 1674.0, 1302.0, 36.0], shoonya_0sDY5GY5SYH1W4, 5737715]
[reference, [158.0, 1710.0, 1302.0, 36.0], shoonya_0sDY5GY5SYH1W4, 5737715]
[reference, [158.0, 1746.0, 1302.0, 36.0], shoonya_0sDY5GY5SYH1W4, 5737715]
[reference, [158.0, 1782.0, 1302.0, 36.0], shoonya_0sDY5GY5SYH1W4, 5737715]
[reference, [158.0, 1818.0, 1302.0, 36.0], shoonya_0sDY5GY5SYH1W4, 5737715]
[reference, [158.0, 1854.0, 1302.0, 36.0], shoonya_0sDY5GY5SYH1W4, 5737715]
[reference, [158.0, 1890.0, 1302.0, 36.0], shoonya_0sDY5GY5SYH1W4, 5737715]
[reference, [158.0, 1926.0, 1302.0, 36.0], shoonya_0sDY5GY5SYH1W4, 5737715]
[reference, [158.0, 1962.0, 1302.0, 36.0], shoonya_0sDY5GY5SYH1W4, 5737715]
[reference, [158.0, 1998.0, 1302.0, 36.0], shoonya_0sDY5GY5SYH1W4, 5737715]
[reference, [158.0, 2034.0, 1302.0, 36.0], shoonya_0sDY5GY5SYH1W4, 5737715]
[reference, [158.0, 2070.0, 1302.0, 36.0], shoonya_0sDY5GY5SYH1W4, 5737715]
