[1755, 1241]
[ordered-list, [217.0, 113.0, 883.0, 36.0], shoonya_3s4HZW7GZ51M0Z, 5708525]
[ordered-list, [217.0, 149.0, 883.0, 36.0], shoonya_3s4HZW7GZ51M0Z, 5708525]
[ordered-list, [217.0, 185.0, 883.0, 36.0], shoonya_3s4HZW7GZ51M0Z, 5708525]
[ordered-list, [140.0, 240.0, 964.0, 36.0], shoonya_2sMSON77530CKO, 5708525]
[ordered-list, [140.0, 276.0, 964.0, 36.0], shoonya_2sMSON77530CKO, 5708525]
[ordered-list, [140.0, 312.0, 964.0, 36.0], shoonya_2sMSON77530CKO, 5708525]
[ordered-list, [140.0, 348.0, 964.0, 36.0], shoonya_2sMSON77530CKO, 5708525]
[ordered-list, [140.0, 384.0, 964.0, 36.0], shoonya_2sMSON77530CKO, 5708525]
[ordered-list, [140.0, 420.0, 964.0, 36.0], shoonya_2sMSON77530CKO, 5708525]
[ordered-list, [140.0, 456.0, 964.0, 36.0], shoonya_2sMSON77530CKO, 5708525]
[ordered-list, [140.0, 492.0, 964.0, 36.0], shoonya_2sMSON77530CKO, 5708525]
[ordered-list, [140.0, 528.0, 964.0, 36.0], shoonya_2sMSON77530CKO, 5708525]
[ordered-list, [140.0, 564.0, 964.0, 36.0], shoonya_2sMSON77530CKO, 5708525]
[ordered-list, [140.0, 600.0, 964.0, 36.0], shoonya_2sMSON77530CKO, 5708525]
[ordered-list, [140.0, 636.0, 964.0, 36.0], shoonya_2sMSON77530CKO, 5708525]
[ordered-list, [140.0, 672.0, 964.0, 36.0], shoonya_2sMSON77530CKO, 5708525]
[ordered-list, [140.0, 708.0, 964.0, 36.0], shoonya_2sMSON77530CKO, 5708525]
[ordered-list, [140.0, 744.0, 964.0, 36.0], shoonya_2sMSON77530CKO, 5708525]
[ordered-list, [140.0, 780.0, 964.0, 36.0], shoonya_2sMSON77530CKO, 5708525]
[ordered-list, [140.0, 816.0, 964.0, 36.0], shoonya_2sMSON77530CKO, 5708525]
[ordered-list, [140.0, 852.0, 964.0, 36.0], shoonya_2sMSON77530CKO, 5708525]
