[2000, 1414]
[headline, [418.0, 70.0, 722.0, 67.5], ntbTpKOzMq, 6491005]
[headline, [418.0, 137.5, 722.0, 67.5], ntbTpKOzMq, 6491005]
[headline, [418.0, 205.0, 722.0, 67.5], ntbTpKOzMq, 6491005]
[author, [54.0, 318.0, 178.0, 36.0], M6FCPcw9GF, 6491005]
[author, [54.0, 354.0, 178.0, 36.0], M6FCPcw9GF, 6491005]
[paragraph, [493.0, 1102.0, 383.0, 36.0], M87IToVSiO, 6491005]
[paragraph, [493.0, 1138.0, 383.0, 36.0], M87IToVSiO, 6491005]
[paragraph, [493.0, 1174.0, 383.0, 36.0], M87IToVSiO, 6491005]
[paragraph, [493.0, 1210.0, 383.0, 36.0], M87IToVSiO, 6491005]
[paragraph, [493.0, 1246.0, 383.0, 36.0], M87IToVSiO, 6491005]
[paragraph, [493.0, 1282.0, 383.0, 36.0], M87IToVSiO, 6491005]
[paragraph, [493.0, 1318.0, 383.0, 36.0], M87IToVSiO, 6491005]
[paragraph, [493.0, 1354.0, 383.0, 36.0], M87IToVSiO, 6491005]
[paragraph, [892.0, 1104.0, 434.0, 36.0], pGTR7jozX2, 6491005]
[paragraph, [892.0, 1140.0, 434.0, 36.0], pGTR7jozX2, 6491005]
[paragraph, [892.0, 1176.0, 434.0, 36.0], pGTR7jozX2, 6491005]
[paragraph, [892.0, 1212.0, 434.0, 36.0], pGTR7jozX2, 6491005]
[paragraph, [892.0, 1248.0, 434.0, 36.0], pGTR7jozX2, 6491005]
[paragraph, [892.0, 1284.0, 434.0, 36.0], pGTR7jozX2, 6491005]
[paragraph, [892.0, 1320.0, 434.0, 36.0], pGTR7jozX2, 6491005]
[paragraph, [892.0, 1356.0, 434.0, 36.0], pGTR7jozX2, 6491005]
[sidebar, [38.0, 1107.0, 445.0, 36.0], kfEcg57EZa, 6491005]
[sidebar, [38.0, 1143.0, 445.0, 36.0], kfEcg57EZa, 6491005]
[sidebar, [38.0, 1179.0, 445.0, 36.0], kfEcg57EZa, 6491005]
[sidebar, [38.0, 1215.0, 445.0, 36.0], kfEcg57EZa, 6491005]
[sidebar, [38.0, 1251.0, 445.0, 36.0], kfEcg57EZa, 6491005]
[sidebar, [38.0, 1287.0, 445.0, 36.0], kfEcg57EZa, 6491005]
[sidebar, [38.0, 1323.0, 445.0, 36.0], kfEcg57EZa, 6491005]
[sidebar, [38.0, 1359.0, 445.0, 36.0], kfEcg57EZa, 6491005]
