[1650, 934]
[folio, [364.0, 80.0, 263.0, 36.0], 53_2SRQlck, 5766573]
[paragraph, [96.0, 137.0, 791.0, 36.0], LfYjGPT8Bp, 5766573]
[paragraph, [96.0, 173.0, 791.0, 36.0], LfYjGPT8Bp, 5766573]
[paragraph, [96.0, 209.0, 791.0, 36.0], LfYjGPT8Bp, 5766573]
[paragraph, [96.0, 245.0, 791.0, 36.0], LfYjGPT8Bp, 5766573]
[paragraph, [96.0, 281.0, 791.0, 36.0], LfYjGPT8Bp, 5766573]
[paragraph, [96.0, 317.0, 791.0, 36.0], LfYjGPT8Bp, 5766573]
[paragraph, [96.0, 353.0, 791.0, 36.0], LfYjGPT8Bp, 5766573]
[paragraph, [96.0, 389.0, 791.0, 36.0], LfYjGPT8Bp, 5766573]
[paragraph, [96.0, 425.0, 791.0, 36.0], LfYjGPT8Bp, 5766573]
[paragraph, [103.0, 484.0, 776.0, 36.0], shoonya_3sITN0TCDWH6LS, 5766573]
[paragraph, [103.0, 520.0, 776.0, 36.0], shoonya_3sITN0TCDWH6LS, 5766573]
[paragraph, [103.0, 556.0, 776.0, 36.0], shoonya_3sITN0TCDWH6LS, 5766573]
[paragraph, [103.0, 592.0, 776.0, 36.0], shoonya_3sITN0TCDWH6LS, 5766573]
[paragraph, [103.0, 628.0, 776.0, 36.0], shoonya_3sITN0TCDWH6LS, 5766573]
[paragraph, [103.0, 664.0, 776.0, 36.0], shoonya_3sITN0TCDWH6LS, 5766573]
[paragraph, [103.0, 700.0, 776.0, 36.0], shoonya_3sITN0TCDWH6LS, 5766573]
[paragraph, [103.0, 736.0, 776.0, 36.0], shoonya_3sITN0TCDWH6LS, 5766573]
[paragraph, [103.0, 772.0, 776.0, 36.0], shoonya_3sITN0TCDWH6LS, 5766573]
[paragraph, [103.0, 808.0, 776.0, 36.0], shoonya_3sITN0TCDWH6LS, 5766573]
[paragraph, [103.0, 844.0, 776.0, 36.0], shoonya_3sITN0TCDWH6LS, 5766573]
[paragraph, [103.0, 880.0, 776.0, 36.0], shoonya_3sITN0TCDWH6LS, 5766573]
[paragraph, [103.0, 916.0, 776.0, 36.0], shoonya_3sITN0TCDWH6LS, 5766573]
[paragraph, [103.0, 952.0, 776.0, 36.0], shoonya_3sITN0TCDWH6LS, 5766573]
[paragraph, [103.0, 988.0, 776.0, 36.0], shoonya_3sITN0TCDWH6LS, 5766573]
[paragraph, [107.0, 1041.0, 774.0, 36.0], shoonya_0sXP50U3XWQ43M, 5766573]
[paragraph, [107.0, 1077.0, 774.0, 36.0], shoonya_0sXP50U3XWQ43M, 5766573]
[paragraph, [107.0, 1113.0, 774.0, 36.0], shoonya_0sXP50U3XWQ43M, 5766573]
[section-title, [101.0, 1182.0, 778.0, 49.5], 10iUeFrNdk, 5766573]
[section-title, [101.0, 1231.5, 778.0, 49.5], 10iUeFrNdk, 5766573]
[paragraph, [110.0, 1291.0, 771.0, 36.0], shoonya_2sTQTSNB6OKDDG, 5766573]
[paragraph, [110.0, 1327.0, 771.0, 36.0], shoonya_2sTQTSNB6OKDDG, 5766573]
[paragraph, [110.0, 1363.0, 771.0, 36.0], shoonya_2sTQTSNB6OKDDG, 5766573]
[paragraph, [110.0, 1399.0, 771.0, 36.0], shoonya_2sTQTSNB6OKDDG, 5766573]
