[1606, 1056]
[folio, [440.0, 104.0, 160.0, 36.0], shoonya_2sS75N8RYBOY6F, 5683574]
[section-title, [396.0, 164.0, 260.0, 49.5], shoonya_3s3XAQZ54Q7OE6, 5683574]
[paragraph, [101.0, 227.0, 854.0, 36.0], shoonya_0sB34WSCNJKXOV, 5683574]
[paragraph, [101.0, 263.0, 854.0, 36.0], shoonya_0sB34WSCNJKXOV, 5683574]
[paragraph, [101.0, 299.0, 854.0, 36.0], shoonya_0sB34WSCNJKXOV, 5683574]
[paragraph, [101.0, 335.0, 854.0, 36.0], shoonya_0sB34WSCNJKXOV, 5683574]
[paragraph, [101.0, 371.0, 854.0, 36.0], shoonya_0sB34WSCNJKXOV, 5683574]
[paragraph, [101.0, 407.0, 854.0, 36.0], shoonya_0sB34WSCNJKXOV, 5683574]
[paragraph, [102.0, 463.0, 845.0, 36.0], shoonya_4sUO96GNH6CS4Z, 5683574]
[paragraph, [102.0, 499.0, 845.0, 36.0], shoonya_4sUO96GNH6CS4Z, 5683574]
[paragraph, [102.0, 535.0, 845.0, 36.0], shoonya_4sUO96GNH6CS4Z, 5683574]
[paragraph, [102.0, 571.0, 845.0, 36.0], shoonya_4sUO96GNH6CS4Z, 5683574]
[paragraph, [102.0, 607.0, 845.0, 36.0], shoonya_4sUO96GNH6CS4Z, 5683574]
[paragraph, [102.0, 643.0, 845.0, 36.0], shoonya_4sUO96GNH6CS4Z, 5683574]
[paragraph, [102.0, 679.0, 845.0, 36.0], shoonya_4sUO96GNH6CS4Z, 5683574]
[paragraph, [102.0, 715.0, 845.0, 36.0], shoonya_4sUO96GNH6CS4Z, 5683574]
[paragraph, [106.0, 781.0, 843.0, 36.0], shoonya_1sWTFI8VHSOK37, 5683574]
[paragraph, [106.0, 817.0, 843.0, 36.0], shoonya_1sWTFI8VHSOK37, 5683574]
[paragraph, [106.0, 853.0, 843.0, 36.0], shoonya_1sWTFI8VHSOK37, 5683574]
[paragraph, [106.0, 889.0, 843.0, 36.0], shoonya_1sWTFI8VHSOK37, 5683574]
[paragraph, [106.0, 925.0, 843.0, 36.0], shoonya_1sWTFI8VHSOK37, 5683574]
[paragraph, [106.0, 961.0, 843.0, 36.0], shoonya_1sWTFI8VHSOK37, 5683574]
[paragraph, [106.0, 997.0, 843.0, 36.0], shoonya_1sWTFI8VHSOK37, 5683574]
[paragraph, [106.0, 1033.0, 843.0, 36.0], shoonya_1sWTFI8VHSOK37, 5683574]
[paragraph, [106.0, 1069.0, 843.0, 36.0], shoonya_1sWTFI8VHSOK37, 5683574]
[paragraph, [106.0, 1105.0, 843.0, 36.0], shoonya_1sWTFI8VHSOK37, 5683574]
[paragraph, [106.0, 1141.0, 843.0, 36.0], shoonya_1sWTFI8VHSOK37, 5683574]
[paragraph, [106.0, 1177.0, 843.0, 36.0], shoonya_1sWTFI8VHSOK37, 5683574]
[paragraph, [106.0, 1213.0, 843.0, 36.0], shoonya_1sWTFI8VHSOK37, 5683574]
[paragraph, [106.0, 1249.0, 843.0, 36.0], shoonya_1sWTFI8VHSOK37, 5683574]
[paragraph, [106.0, 1285.0, 843.0, 36.0], shoonya_1sWTFI8VHSOK37, 5683574]
[paragraph, [106.0, 1321.0, 843.0, 36.0], shoonya_1sWTFI8VHSOK37, 5683574]
[paragraph, [106.0, 1357.0, 843.0, 36.0], shoonya_1sWTFI8VHSOK37, 5683574]
[paragraph, [106.0, 1393.0, 843.0, 36.0], shoonya_1sWTFI8VHSOK37, 5683574]
[paragraph, [106.0, 1429.0, 843.0, 36.0], shoonya_1sWTFI8VHSOK37, 5683574]
[paragraph, [106.0, 1465.0, 843.0, 36.0], shoonya_1sWTFI8VHSOK37, 5683574]
