[1255, 930]
[chapter-title, [318.0, 55.0, 162.0, 30.0], shoonya_9s0WTV7KE4IR41, 5776654]
[paragraph, [87.0, 94.0, 625.0, 18.0], shoonya_0sG3PS9IWPP71H, 5776654]
[paragraph, [87.0, 112.0, 625.0, 18.0], shoonya_0sG3PS9IWPP71H, 5776654]
[paragraph, [87.0, 130.0, 625.0, 18.0], shoonya_0sG3PS9IWPP71H, 5776654]
[paragraph, [87.0, 148.0, 625.0, 18.0], shoonya_0sG3PS9IWPP71H, 5776654]
[paragraph, [87.0, 166.0, 625.0, 18.0], shoonya_0sG3PS9IWPP71H, 5776654]
[paragraph, [87.0, 184.0, 625.0, 18.0], shoonya_0sG3PS9IWPP71H, 5776654]
[paragraph, [87.0, 202.0, 625.0, 18.0], shoonya_0sG3PS9IWPP71H, 5776654]
[paragraph, [87.0, 220.0, 625.0, 18.0], shoonya_0sG3PS9IWPP71H, 5776654]
[paragraph, [87.0, 238.0, 625.0, 18.0], shoonya_0sG3PS9IWPP71H, 5776654]
[paragraph, [87.0, 256.0, 625.0, 18.0], shoonya_0sG3PS9IWPP71H, 5776654]
[paragraph, [87.0, 274.0, 625.0, 18.0], shoonya_0sG3PS9IWPP71H, 5776654]
[paragraph, [87.0, 292.0, 625.0, 18.0], shoonya_0sG3PS9IWPP71H, 5776654]
[paragraph, [88.0, 319.0, 621.0, 18.0], shoonya_1s4R56SHKIS254, 5776654]
[paragraph, [88.0, 337.0, 621.0, 18.0], shoonya_1s4R56SHKIS254, 5776654]
[paragraph, [88.0, 355.0, 621.0, 18.0], shoonya_1s4R56SHKIS254, 5776654]
[paragraph, [88.0, 373.0, 621.0, 18.0], shoonya_1s4R56SHKIS254, 5776654]
[paragraph, [88.0, 391.0, 621.0, 18.0], shoonya_1s4R56SHKIS254, 5776654]
[paragraph, [88.0, 409.0, 621.0, 18.0], shoonya_1s4R56SHKIS254, 5776654]
[paragraph, [88.0, 427.0, 621.0, 18.0], shoonya_1s4R56SHKIS254, 5776654]
[paragraph, [88.0, 445.0, 621.0, 18.0], shoonya_1s4R56SHKIS254, 5776654]
[paragraph, [88.0, 463.0, 621.0, 18.0], shoonya_1s4R56SHKIS254, 5776654]
[paragraph, [88.0, 481.0, 621.0, 18.0], shoonya_1s4R56SHKIS254, 5776654]
[paragraph, [88.0, 499.0, 621.0, 18.0], shoonya_1s4R56SHKIS254, 5776654]
[paragraph, [89.0, 517.0, 623.0, 18.0], shoonya_7sB8ZEJGT5FKCA, 5776654]
[paragraph, [89.0, 535.0, 623.0, 18.0], shoonya_7sB8ZEJGT5FKCA, 5776654]
[paragraph, [89.0, 553.0, 623.0, 18.0], shoonya_7sB8ZEJGT5FKCA, 5776654]
[paragraph, [89.0, 571.0, 623.0, 18.0], shoonya_7sB8ZEJGT5FKCA, 5776654]
[paragraph, [88.0, 592.0, 621.0, 18.0], shoonya_5sS056SNA43V40, 5776654]
[paragraph, [88.0, 610.0, 621.0, 18.0], shoonya_5sS056SNA43V40, 5776654]
[paragraph, [88.0, 628.0, 621.0, 18.0], shoonya_5sS056SNA43V40, 5776654]
[paragraph, [88.0, 646.0, 621.0, 18.0], shoonya_5sS056SNA43V40, 5776654]
[paragraph, [110.0, 666.0, 272.0, 18.0], shoonya_8sCFCHSM3ZWWFD, 5776654]
[paragraph, [88.0, 693.0, 621.0, 18.0], shoonya_4s7BG0FNVAXXEW, 5776654]
[paragraph, [88.0, 711.0, 621.0, 18.0], shoonya_4s7BG0FNVAXXEW, 5776654]
[paragraph, [88.0, 729.0, 621.0, 18.0], shoonya_4s7BG0FNVAXXEW, 5776654]
[paragraph, [88.0, 747.0, 621.0, 18.0], shoonya_4s7BG0FNVAXXEW, 5776654]
[paragraph, [125.0, 767.0, 584.0, 18.0], shoonya_10s8DBU2M226UM, 5776654]
[paragraph, [88.0, 788.0, 624.0, 18.0], shoonya_6sN0FYAP9AAEJY, 5776654]
[paragraph, [88.0, 806.0, 624.0, 18.0], shoonya_6sN0FYAP9AAEJY, 5776654]
[paragraph, [88.0, 824.0, 624.0, 18.0], shoonya_6sN0FYAP9AAEJY, 5776654]
[paragraph, [88.0, 842.0, 624.0, 18.0], shoonya_6sN0FYAP9AAEJY, 5776654]
[paragraph, [88.0, 867.0, 622.0, 18.0], shoonya_2s67O9XB2TFEFS, 5776654]
[paragraph, [88.0, 885.0, 622.0, 18.0], shoonya_2s67O9XB2TFEFS, 5776654]
[paragraph, [88.0, 903.0, 622.0, 18.0], shoonya_2s67O9XB2TFEFS, 5776654]
[paragraph, [88.0, 921.0, 622.0, 18.0], shoonya_2s67O9XB2TFEFS, 5776654]
[paragraph, [88.0, 939.0, 622.0, 18.0], shoonya_2s67O9XB2TFEFS, 5776654]
[paragraph, [88.0, 957.0, 622.0, 18.0], shoonya_2s67O9XB2TFEFS, 5776654]
[paragraph, [89.0, 991.0, 626.0, 18.0], shoonya_3sJDFKDCBRJGWB, 5776654]
[paragraph, [89.0, 1009.0, 626.0, 18.0], shoonya_3sJDFKDCBRJGWB, 5776654]
[paragraph, [89.0, 1027.0, 626.0, 18.0], shoonya_3sJDFKDCBRJGWB, 5776654]
[paragraph, [89.0, 1045.0, 626.0, 18.0], shoonya_3sJDFKDCBRJGWB, 5776654]
[paragraph, [89.0, 1063.0, 626.0, 18.0], shoonya_3sJDFKDCBRJGWB, 5776654]
