[1004, 650]
[paragraph, [56.0, 96.0, 539.0, 18.0], BobZ1T3wpR, 5740921]
[paragraph, [56.0, 114.0, 539.0, 18.0], BobZ1T3wpR, 5740921]
[paragraph, [56.0, 132.0, 539.0, 18.0], BobZ1T3wpR, 5740921]
[paragraph, [56.0, 150.0, 539.0, 18.0], BobZ1T3wpR, 5740921]
[paragraph, [56.0, 168.0, 539.0, 18.0], BobZ1T3wpR, 5740921]
[paragraph, [56.0, 186.0, 539.0, 18.0], BobZ1T3wpR, 5740921]
[paragraph, [56.0, 204.0, 539.0, 18.0], BobZ1T3wpR, 5740921]
[paragraph, [56.0, 222.0, 539.0, 18.0], BobZ1T3wpR, 5740921]
[paragraph, [56.0, 240.0, 539.0, 18.0], BobZ1T3wpR, 5740921]
[paragraph, [56.0, 258.0, 539.0, 18.0], BobZ1T3wpR, 5740921]
[paragraph, [56.0, 276.0, 539.0, 18.0], BobZ1T3wpR, 5740921]
[paragraph, [56.0, 294.0, 539.0, 18.0], BobZ1T3wpR, 5740921]
[paragraph, [56.0, 312.0, 539.0, 18.0], BobZ1T3wpR, 5740921]
[paragraph, [56.0, 330.0, 539.0, 18.0], BobZ1T3wpR, 5740921]
[paragraph, [56.0, 348.0, 539.0, 18.0], BobZ1T3wpR, 5740921]
[paragraph, [56.0, 366.0, 539.0, 18.0], BobZ1T3wpR, 5740921]
[paragraph, [56.0, 384.0, 539.0, 18.0], BobZ1T3wpR, 5740921]
[paragraph, [56.0, 402.0, 539.0, 18.0], BobZ1T3wpR, 5740921]
[paragraph, [56.0, 420.0, 539.0, 18.0], BobZ1T3wpR, 5740921]
[paragraph, [56.0, 438.0, 539.0, 18.0], BobZ1T3wpR, 5740921]
[paragraph, [56.0, 456.0, 539.0, 18.0], BobZ1T3wpR, 5740921]
[paragraph, [56.0, 474.0, 539.0, 18.0], BobZ1T3wpR, 5740921]
[paragraph, [56.0, 492.0, 539.0, 18.0], BobZ1T3wpR, 5740921]
[paragraph, [56.0, 510.0, 539.0, 18.0], BobZ1T3wpR, 5740921]
[paragraph, [56.0, 528.0, 539.0, 18.0], BobZ1T3wpR, 5740921]
[paragraph, [60.0, 548.0, 540.0, 18.0], q-GKU29WGB, 5740921]
[paragraph, [60.0, 566.0, 540.0, 18.0], q-GKU29WGB, 5740921]
[paragraph, [60.0, 584.0, 540.0, 18.0], q-GKU29WGB, 5740921]
[paragraph, [60.0, 602.0, 540.0, 18.0], q-GKU29WGB, 5740921]
[paragraph, [60.0, 620.0, 540.0, 18.0], q-GKU29WGB, 5740921]
[paragraph, [60.0, 638.0, 540.0, 18.0], q-GKU29WGB, 5740921]
[paragraph, [60.0, 656.0, 540.0, 18.0], q-GKU29WGB, 5740921]
[paragraph, [60.0, 674.0, 540.0, 18.0], q-GKU29WGB, 5740921]
[paragraph, [60.0, 692.0, 540.0, 18.0], q-GKU29WGB, 5740921]
[paragraph, [60.0, 710.0, 540.0, 18.0], q-GKU29WGB, 5740921]
[paragraph, [60.0, 728.0, 540.0, 18.0], q-GKU29WGB, 5740921]
[paragraph, [60.0, 746.0, 540.0, 18.0], q-GKU29WGB, 5740921]
[paragraph, [60.0, 764.0, 540.0, 18.0], q-GKU29WGB, 5740921]
[paragraph, [60.0, 782.0, 540.0, 18.0], q-GKU29WGB, 5740921]
[paragraph, [60.0, 800.0, 540.0, 18.0], q-GKU29WGB, 5740921]
[paragraph, [60.0, 818.0, 540.0, 18.0], q-GKU29WGB, 5740921]
[paragraph, [60.0, 836.0, 540.0, 18.0], q-GKU29WGB, 5740921]
[paragraph, [60.0, 854.0, 540.0, 18.0], q-GKU29WGB, 5740921]
[paragraph, [60.0, 886.0, 543.0, 18.0], Tv05SFg0RM, 5740921]
[paragraph, [60.0, 904.0, 543.0, 18.0], Tv05SFg0RM, 5740921]
[paragraph, [60.0, 922.0, 543.0, 18.0], Tv05SFg0RM, 5740921]
[paragraph, [60.0, 940.0, 543.0, 18.0], Tv05SFg0RM, 5740921]
[footnote, [354.0, 966.0, 236.0, 18.0], O93vLIPLfR, 5740921]
