[1823, 1375]
[headline, [396.0, 185.0, 572.0, 37.5], shoonya_0s6YBFNMFYZYX4, 5683638]
[paragraph, [698.0, 343.0, 199.0, 36.0], qXw_kah2gc, 5683638]
[paragraph, [113.0, 348.0, 564.0, 36.0], GRbVBDDXaY, 5683638]
[paragraph, [113.0, 384.0, 564.0, 36.0], GRbVBDDXaY, 5683638]
[paragraph, [113.0, 420.0, 564.0, 36.0], GRbVBDDXaY, 5683638]
[paragraph, [113.0, 456.0, 564.0, 36.0], GRbVBDDXaY, 5683638]
[paragraph, [113.0, 492.0, 564.0, 36.0], GRbVBDDXaY, 5683638]
[paragraph, [113.0, 528.0, 564.0, 36.0], GRbVBDDXaY, 5683638]
[paragraph, [113.0, 564.0, 564.0, 36.0], GRbVBDDXaY, 5683638]
[paragraph, [113.0, 600.0, 564.0, 36.0], GRbVBDDXaY, 5683638]
[paragraph, [113.0, 636.0, 564.0, 36.0], GRbVBDDXaY, 5683638]
[paragraph, [113.0, 672.0, 564.0, 36.0], GRbVBDDXaY, 5683638]
[paragraph, [113.0, 708.0, 564.0, 36.0], GRbVBDDXaY, 5683638]
[paragraph, [113.0, 744.0, 564.0, 36.0], GRbVBDDXaY, 5683638]
[paragraph, [113.0, 780.0, 564.0, 36.0], GRbVBDDXaY, 5683638]
[paragraph, [113.0, 816.0, 564.0, 36.0], GRbVBDDXaY, 5683638]
[paragraph, [113.0, 852.0, 564.0, 36.0], GRbVBDDXaY, 5683638]
[paragraph, [113.0, 888.0, 564.0, 36.0], GRbVBDDXaY, 5683638]
[paragraph, [113.0, 924.0, 564.0, 36.0], GRbVBDDXaY, 5683638]
[paragraph, [113.0, 960.0, 564.0, 36.0], GRbVBDDXaY, 5683638]
[paragraph, [113.0, 996.0, 564.0, 36.0], GRbVBDDXaY, 5683638]
[paragraph, [763.0, 389.0, 441.0, 36.0], 2d3A6c_PHV, 5683638]
[paragraph, [763.0, 425.0, 441.0, 36.0], 2d3A6c_PHV, 5683638]
[paragraph, [763.0, 461.0, 441.0, 36.0], 2d3A6c_PHV, 5683638]
[paragraph, [763.0, 497.0, 441.0, 36.0], 2d3A6c_PHV, 5683638]
[paragraph, [763.0, 533.0, 441.0, 36.0], 2d3A6c_PHV, 5683638]
[paragraph, [753.0, 594.0, 451.0, 36.0], qxusTv9Vuc, 5683638]
[paragraph, [753.0, 630.0, 451.0, 36.0], qxusTv9Vuc, 5683638]
[paragraph, [753.0, 666.0, 451.0, 36.0], qxusTv9Vuc, 5683638]
[paragraph, [753.0, 702.0, 451.0, 36.0], qxusTv9Vuc, 5683638]
[paragraph, [753.0, 738.0, 451.0, 36.0], qxusTv9Vuc, 5683638]
[paragraph, [749.0, 790.0, 465.0, 36.0], dkn7s7iB2h, 5683638]
[paragraph, [749.0, 826.0, 465.0, 36.0], dkn7s7iB2h, 5683638]
[paragraph, [749.0, 862.0, 465.0, 36.0], dkn7s7iB2h, 5683638]
[paragraph, [749.0, 898.0, 465.0, 36.0], dkn7s7iB2h, 5683638]
[paragraph, [749.0, 934.0, 465.0, 36.0], dkn7s7iB2h, 5683638]
[paragraph, [693.0, 987.0, 575.0, 36.0], Nqj3XbLZY2, 5683638]
[paragraph, [693.0, 1023.0, 575.0, 36.0], Nqj3XbLZY2, 5683638]
[paragraph, [693.0, 1059.0, 575.0, 36.0], Nqj3XbLZY2, 5683638]
[paragraph, [693.0, 1095.0, 575.0, 36.0], Nqj3XbLZY2, 5683638]
[paragraph, [693.0, 1131.0, 575.0, 36.0], Nqj3XbLZY2, 5683638]
[paragraph, [693.0, 1167.0, 575.0, 36.0], Nqj3XbLZY2, 5683638]
[paragraph, [693.0, 1203.0, 575.0, 36.0], Nqj3XbLZY2, 5683638]
[paragraph, [693.0, 1239.0, 575.0, 36.0], Nqj3XbLZY2, 5683638]
[paragraph, [693.0, 1275.0, 575.0, 36.0], Nqj3XbLZY2, 5683638]
[paragraph, [116.0, 1047.0, 547.0, 36.0], Ahhqfs96Ke, 5683638]
[paragraph, [116.0, 1083.0, 547.0, 36.0], Ahhqfs96Ke, 5683638]
[paragraph, [116.0, 1119.0, 547.0, 36.0], Ahhqfs96Ke, 5683638]
[paragraph, [116.0, 1155.0, 547.0, 36.0], Ahhqfs96Ke, 5683638]
[paragraph, [104.0, 1228.0, 572.0, 36.0], isnmaYFEfK, 5683638]
[paragraph, [104.0, 1264.0, 572.0, 36.0], isnmaYFEfK, 5683638]
[paragraph, [104.0, 1300.0, 572.0, 36.0], isnmaYFEfK, 5683638]
[paragraph, [104.0, 1336.0, 572.0, 36.0], isnmaYFEfK, 5683638]
[paragraph, [810.0, 1338.0, 411.0, 36.0], 06_slnYQGX, 5683638]
[paragraph, [810.0, 1374.0, 411.0, 36.0], 06_slnYQGX, 5683638]
[paragraph, [810.0, 1410.0, 411.0, 36.0], 06_slnYQGX, 5683638]
[paragraph, [810.0, 1446.0, 411.0, 36.0], 06_slnYQGX, 5683638]
[paragraph, [810.0, 1482.0, 411.0, 36.0], 06_slnYQGX, 5683638]
[paragraph, [810.0, 1518.0, 411.0, 36.0], 06_slnYQGX, 5683638]
[reference, [523.0, 1405.0, 152.0, 36.0], X9xfrbr_yH, 5683638]
[paragraph, [115.0, 1448.0, 566.0, 36.0], -IKr7DQqMq, 5683638]
[paragraph, [115.0, 1484.0, 566.0, 36.0], -IKr7DQqMq, 5683638]
[paragraph, [115.0, 1520.0, 566.0, 36.0], -IKr7DQqMq, 5683638]
[paragraph, [115.0, 1556.0, 566.0, 36.0], -IKr7DQqMq, 5683638]
[paragraph, [115.0, 1592.0, 566.0, 36.0], -IKr7DQqMq, 5683638]
[paragraph, [115.0, 1628.0, 566.0, 36.0], -IKr7DQqMq, 5683638]
[paragraph, [115.0, 1664.0, 566.0, 36.0], -IKr7DQqMq, 5683638]
[paragraph, [703.0, 1590.0, 566.0, 36.0], ytJ4LvdDbr, 5683638]
[paragraph, [703.0, 1626.0, 566.0, 36.0], ytJ4LvdDbr, 5683638]
[paragraph, [703.0, 1662.0, 566.0, 36.0], ytJ4LvdDbr, 5683638]
