[584, 411]
[paragraph, [61.0, 150.0, 317.0, 18.0], VfB0CFNNyg, 6493339]
[paragraph, [59.0, 214.0, 322.0, 18.0], shoonya_0sFMZE9RR8SVF4, 6493339]
[paragraph, [59.0, 232.0, 322.0, 18.0], shoonya_0sFMZE9RR8SVF4, 6493339]
[paragraph, [59.0, 250.0, 322.0, 18.0], shoonya_0sFMZE9RR8SVF4, 6493339]
[paragraph, [59.0, 268.0, 322.0, 18.0], shoonya_0sFMZE9RR8SVF4, 6493339]
[paragraph, [59.0, 286.0, 322.0, 18.0], shoonya_0sFMZE9RR8SVF4, 6493339]
[paragraph, [59.0, 304.0, 322.0, 18.0], shoonya_0sFMZE9RR8SVF4, 6493339]
[paragraph, [59.0, 322.0, 322.0, 18.0], shoonya_0sFMZE9RR8SVF4, 6493339]
[paragraph, [59.0, 340.0, 322.0, 18.0], shoonya_0sFMZE9RR8SVF4, 6493339]
[paragraph, [59.0, 358.0, 322.0, 18.0], shoonya_0sFMZE9RR8SVF4, 6493339]
[paragraph, [59.0, 376.0, 322.0, 18.0], shoonya_0sFMZE9RR8SVF4, 6493339]
[paragraph, [59.0, 394.0, 322.0, 18.0], shoonya_0sFMZE9RR8SVF4, 6493339]
[paragraph, [59.0, 412.0, 322.0, 18.0], shoonya_0sFMZE9RR8SVF4, 6493339]
[paragraph, [59.0, 430.0, 322.0, 18.0], shoonya_0sFMZE9RR8SVF4, 6493339]
[paragraph, [59.0, 448.0, 322.0, 18.0], shoonya_0sFMZE9RR8SVF4, 6493339]
[paragraph, [59.0, 466.0, 322.0, 18.0], shoonya_0sFMZE9RR8SVF4, 6493339]
[paragraph, [59.0, 484.0, 322.0, 18.0], shoonya_0sFMZE9RR8SVF4, 6493339]
[paragraph, [59.0, 502.0, 322.0, 18.0], shoonya_0sFMZE9RR8SVF4, 6493339]
