[975, 571]
[paragraph, [17.0, 73.0, 521.0, 18.0], shoonya_1s1YESBINBR4IX, 5776309]
[paragraph, [17.0, 91.0, 521.0, 18.0], shoonya_1s1YESBINBR4IX, 5776309]
[paragraph, [17.0, 109.0, 521.0, 18.0], shoonya_1s1YESBINBR4IX, 5776309]
[paragraph, [17.0, 127.0, 521.0, 18.0], shoonya_1s1YESBINBR4IX, 5776309]
[paragraph, [17.0, 145.0, 521.0, 18.0], shoonya_1s1YESBINBR4IX, 5776309]
[paragraph, [17.0, 163.0, 521.0, 18.0], shoonya_1s1YESBINBR4IX, 5776309]
[paragraph, [17.0, 181.0, 521.0, 18.0], shoonya_1s1YESBINBR4IX, 5776309]
[paragraph, [17.0, 199.0, 521.0, 18.0], shoonya_1s1YESBINBR4IX, 5776309]
[paragraph, [17.0, 217.0, 521.0, 18.0], shoonya_1s1YESBINBR4IX, 5776309]
[paragraph, [17.0, 235.0, 521.0, 18.0], shoonya_1s1YESBINBR4IX, 5776309]
[paragraph, [17.0, 253.0, 521.0, 18.0], shoonya_1s1YESBINBR4IX, 5776309]
[paragraph, [17.0, 271.0, 521.0, 18.0], shoonya_1s1YESBINBR4IX, 5776309]
[paragraph, [21.0, 293.0, 514.0, 18.0], shoonya_2sXQ0RC14FWS8B, 5776309]
[paragraph, [21.0, 311.0, 514.0, 18.0], shoonya_2sXQ0RC14FWS8B, 5776309]
[paragraph, [21.0, 329.0, 514.0, 18.0], shoonya_2sXQ0RC14FWS8B, 5776309]
[paragraph, [21.0, 347.0, 514.0, 18.0], shoonya_2sXQ0RC14FWS8B, 5776309]
[paragraph, [21.0, 365.0, 514.0, 18.0], shoonya_2sXQ0RC14FWS8B, 5776309]
[paragraph, [21.0, 383.0, 514.0, 18.0], shoonya_2sXQ0RC14FWS8B, 5776309]
[paragraph, [21.0, 401.0, 514.0, 18.0], shoonya_2sXQ0RC14FWS8B, 5776309]
[paragraph, [21.0, 419.0, 514.0, 18.0], shoonya_2sXQ0RC14FWS8B, 5776309]
[paragraph, [21.0, 437.0, 514.0, 18.0], shoonya_2sXQ0RC14FWS8B, 5776309]
[paragraph, [21.0, 455.0, 514.0, 18.0], shoonya_2sXQ0RC14FWS8B, 5776309]
[paragraph, [21.0, 473.0, 514.0, 18.0], shoonya_2sXQ0RC14FWS8B, 5776309]
[paragraph, [21.0, 491.0, 514.0, 18.0], shoonya_2sXQ0RC14FWS8B, 5776309]
[paragraph, [21.0, 509.0, 514.0, 18.0], shoonya_2sXQ0RC14FWS8B, 5776309]
[paragraph, [21.0, 527.0, 514.0, 18.0], shoonya_2sXQ0RC14FWS8B, 5776309]
[paragraph, [23.0, 548.0, 512.0, 18.0], shoonya_3sJZ91OLYXYHEG, 5776309]
[paragraph, [23.0, 566.0, 512.0, 18.0], shoonya_3sJZ91OLYXYHEG, 5776309]
[paragraph, [23.0, 584.0, 512.0, 18.0], shoonya_3sJZ91OLYXYHEG, 5776309]
[paragraph, [23.0, 602.0, 512.0, 18.0], shoonya_3sJZ91OLYXYHEG, 5776309]
[paragraph, [23.0, 620.0, 512.0, 18.0], shoonya_3sJZ91OLYXYHEG, 5776309]
[paragraph, [23.0, 638.0, 512.0, 18.0], shoonya_3sJZ91OLYXYHEG, 5776309]
[paragraph, [23.0, 656.0, 512.0, 18.0], shoonya_3sJZ91OLYXYHEG, 5776309]
[paragraph, [23.0, 681.0, 511.0, 18.0], shoonya_0s0IUD8F8O5WE1, 5776309]
[paragraph, [23.0, 699.0, 511.0, 18.0], shoonya_0s0IUD8F8O5WE1, 5776309]
[paragraph, [23.0, 717.0, 511.0, 18.0], shoonya_0s0IUD8F8O5WE1, 5776309]
[paragraph, [23.0, 735.0, 511.0, 18.0], shoonya_0s0IUD8F8O5WE1, 5776309]
[paragraph, [23.0, 753.0, 511.0, 18.0], shoonya_0s0IUD8F8O5WE1, 5776309]
[paragraph, [23.0, 771.0, 511.0, 18.0], shoonya_0s0IUD8F8O5WE1, 5776309]
[paragraph, [23.0, 789.0, 511.0, 18.0], shoonya_0s0IUD8F8O5WE1, 5776309]
[paragraph, [23.0, 807.0, 511.0, 18.0], shoonya_0s0IUD8F8O5WE1, 5776309]
[paragraph, [23.0, 825.0, 511.0, 18.0], shoonya_0s0IUD8F8O5WE1, 5776309]
[paragraph, [23.0, 843.0, 511.0, 18.0], shoonya_0s0IUD8F8O5WE1, 5776309]
[paragraph, [23.0, 861.0, 511.0, 18.0], shoonya_0s0IUD8F8O5WE1, 5776309]
[paragraph, [23.0, 879.0, 511.0, 18.0], shoonya_0s0IUD8F8O5WE1, 5776309]
