[2339, 1656]
[contact-info, [713.0, 198.0, 293.0, 36.0], shoonya_9s6RENSABV5IP3, 5687711]
[contact-info, [713.0, 234.0, 293.0, 36.0], shoonya_9s6RENSABV5IP3, 5687711]
[contact-info, [713.0, 270.0, 293.0, 36.0], shoonya_9s6RENSABV5IP3, 5687711]
[paragraph, [203.0, 457.0, 1274.0, 36.0], shoonya_1sF1CHV2TKE8HJ, 5687711]
[paragraph, [203.0, 493.0, 1274.0, 36.0], shoonya_1sF1CHV2TKE8HJ, 5687711]
[paragraph, [203.0, 529.0, 1274.0, 36.0], shoonya_1sF1CHV2TKE8HJ, 5687711]
[paragraph, [203.0, 565.0, 1274.0, 36.0], shoonya_1sF1CHV2TKE8HJ, 5687711]
[paragraph, [203.0, 601.0, 1274.0, 36.0], shoonya_1sF1CHV2TKE8HJ, 5687711]
[paragraph, [203.0, 637.0, 1274.0, 36.0], shoonya_1sF1CHV2TKE8HJ, 5687711]
[paragraph, [203.0, 673.0, 1274.0, 36.0], shoonya_1sF1CHV2TKE8HJ, 5687711]
[paragraph, [203.0, 830.0, 1270.0, 36.0], shoonya_2sIXJJ27A0RA96, 5687711]
[paragraph, [203.0, 866.0, 1270.0, 36.0], shoonya_2sIXJJ27A0RA96, 5687711]
[paragraph, [203.0, 902.0, 1270.0, 36.0], shoonya_2sIXJJ27A0RA96, 5687711]
[paragraph, [203.0, 938.0, 1270.0, 36.0], shoonya_2sIXJJ27A0RA96, 5687711]
[paragraph, [204.0, 1002.0, 1267.0, 36.0], shoonya_5s8GEHI6LYWNPO, 5687711]
[paragraph, [204.0, 1038.0, 1267.0, 36.0], shoonya_5s8GEHI6LYWNPO, 5687711]
[paragraph, [204.0, 1074.0, 1267.0, 36.0], shoonya_5s8GEHI6LYWNPO, 5687711]
[paragraph, [204.0, 1110.0, 1267.0, 36.0], shoonya_5s8GEHI6LYWNPO, 5687711]
[paragraph, [204.0, 1146.0, 1267.0, 36.0], shoonya_5s8GEHI6LYWNPO, 5687711]
[paragraph, [205.0, 1212.0, 1269.0, 36.0], shoonya_4sMDE56FIZ4K1N, 5687711]
[paragraph, [205.0, 1248.0, 1269.0, 36.0], shoonya_4sMDE56FIZ4K1N, 5687711]
[paragraph, [205.0, 1284.0, 1269.0, 36.0], shoonya_4sMDE56FIZ4K1N, 5687711]
[paragraph, [204.0, 1338.0, 1267.0, 36.0], shoonya_3s7HHWFN9Q6ITY, 5687711]
[paragraph, [204.0, 1374.0, 1267.0, 36.0], shoonya_3s7HHWFN9Q6ITY, 5687711]
[paragraph, [204.0, 1410.0, 1267.0, 36.0], shoonya_3s7HHWFN9Q6ITY, 5687711]
[paragraph, [204.0, 1446.0, 1267.0, 36.0], shoonya_3s7HHWFN9Q6ITY, 5687711]
[paragraph, [204.0, 1482.0, 1267.0, 36.0], shoonya_3s7HHWFN9Q6ITY, 5687711]
[paragraph, [203.0, 1632.0, 1269.0, 36.0], shoonya_0s9ELFVKTBTQG0, 5687711]
[paragraph, [203.0, 1668.0, 1269.0, 36.0], shoonya_0s9ELFVKTBTQG0, 5687711]
[paragraph, [203.0, 1704.0, 1269.0, 36.0], shoonya_0s9ELFVKTBTQG0, 5687711]
[paragraph, [203.0, 1740.0, 1269.0, 36.0], shoonya_0s9ELFVKTBTQG0, 5687711]
[ordered-list, [201.0, 1881.0, 1274.0, 36.0], eSgUwfOhZ0, 5687711]
[ordered-list, [201.0, 1917.0, 1274.0, 36.0], eSgUwfOhZ0, 5687711]
[ordered-list, [201.0, 1953.0, 1274.0, 36.0], eSgUwfOhZ0, 5687711]
[ordered-list, [201.0, 1989.0, 1274.0, 36.0], eSgUwfOhZ0, 5687711]
[ordered-list, [201.0, 2025.0, 1274.0, 36.0], eSgUwfOhZ0, 5687711]
[ordered-list, [201.0, 2061.0, 1274.0, 36.0], eSgUwfOhZ0, 5687711]
[ordered-list, [201.0, 2097.0, 1274.0, 36.0], eSgUwfOhZ0, 5687711]
[ordered-list, [201.0, 2133.0, 1274.0, 36.0], eSgUwfOhZ0, 5687711]
