[792, 612]
[folio, [67.0, 33.0, 55.0, 18.0], tOrWdxuzvj, 6515873]
[headline, [55.0, 274.0, 290.0, 25.5], 5eoPL0okZ7, 6515873]
[headline, [55.0, 299.5, 290.0, 25.5], 5eoPL0okZ7, 6515873]
[headline, [55.0, 325.0, 290.0, 25.5], 5eoPL0okZ7, 6515873]
[headline, [55.0, 350.5, 290.0, 25.5], 5eoPL0okZ7, 6515873]
[headline, [55.0, 376.0, 290.0, 25.5], 5eoPL0okZ7, 6515873]
[headline, [55.0, 401.5, 290.0, 25.5], 5eoPL0okZ7, 6515873]
[paragraph, [389.0, 395.0, 166.0, 18.0], ObusDPoQ2d, 6515873]
[paragraph, [389.0, 413.0, 166.0, 18.0], ObusDPoQ2d, 6515873]
[paragraph, [389.0, 431.0, 166.0, 18.0], ObusDPoQ2d, 6515873]
[author, [50.0, 437.0, 169.0, 18.0], 8fNHCbm0Pf, 6515873]
[quote, [255.0, 443.0, 101.0, 18.0], mod4bf5q1y, 6515873]
[paragraph, [394.0, 459.0, 162.0, 18.0], wAGOqteK45, 6515873]
[paragraph, [394.0, 477.0, 162.0, 18.0], wAGOqteK45, 6515873]
[paragraph, [394.0, 495.0, 162.0, 18.0], wAGOqteK45, 6515873]
[paragraph, [394.0, 513.0, 162.0, 18.0], wAGOqteK45, 6515873]
[paragraph, [53.0, 464.0, 167.0, 18.0], BN5rJcbjWq, 6515873]
[paragraph, [53.0, 482.0, 167.0, 18.0], BN5rJcbjWq, 6515873]
[paragraph, [53.0, 500.0, 167.0, 18.0], BN5rJcbjWq, 6515873]
[paragraph, [53.0, 518.0, 167.0, 18.0], BN5rJcbjWq, 6515873]
[paragraph, [53.0, 536.0, 167.0, 18.0], BN5rJcbjWq, 6515873]
[paragraph, [53.0, 554.0, 167.0, 18.0], BN5rJcbjWq, 6515873]
[paragraph, [53.0, 572.0, 167.0, 18.0], BN5rJcbjWq, 6515873]
[paragraph, [223.0, 481.0, 166.0, 18.0], 1GfsnkDSfs, 6515873]
[paragraph, [223.0, 499.0, 166.0, 18.0], 1GfsnkDSfs, 6515873]
[paragraph, [223.0, 517.0, 166.0, 18.0], 1GfsnkDSfs, 6515873]
[paragraph, [393.0, 543.0, 162.0, 18.0], UUtLsf-CU3, 6515873]
[paragraph, [393.0, 561.0, 162.0, 18.0], UUtLsf-CU3, 6515873]
[paragraph, [393.0, 579.0, 162.0, 18.0], UUtLsf-CU3, 6515873]
[paragraph, [393.0, 597.0, 162.0, 18.0], UUtLsf-CU3, 6515873]
[paragraph, [393.0, 615.0, 162.0, 18.0], UUtLsf-CU3, 6515873]
[quote, [230.0, 552.0, 155.0, 18.0], QoqEAy216p, 6515873]
[paragraph, [222.0, 587.0, 163.0, 18.0], YMejAodC2z, 6515873]
[paragraph, [222.0, 605.0, 163.0, 18.0], YMejAodC2z, 6515873]
[paragraph, [222.0, 623.0, 163.0, 18.0], YMejAodC2z, 6515873]
[paragraph, [222.0, 641.0, 163.0, 18.0], YMejAodC2z, 6515873]
[paragraph, [222.0, 659.0, 163.0, 18.0], YMejAodC2z, 6515873]
[paragraph, [222.0, 677.0, 163.0, 18.0], YMejAodC2z, 6515873]
[paragraph, [222.0, 695.0, 163.0, 18.0], YMejAodC2z, 6515873]
[paragraph, [222.0, 713.0, 163.0, 18.0], YMejAodC2z, 6515873]
[paragraph, [222.0, 731.0, 163.0, 18.0], YMejAodC2z, 6515873]
[paragraph, [55.0, 590.0, 165.0, 18.0], DFp0B0G4K6, 6515873]
[paragraph, [55.0, 608.0, 165.0, 18.0], DFp0B0G4K6, 6515873]
[paragraph, [55.0, 626.0, 165.0, 18.0], DFp0B0G4K6, 6515873]
[paragraph, [55.0, 644.0, 165.0, 18.0], DFp0B0G4K6, 6515873]
[paragraph, [55.0, 662.0, 165.0, 18.0], DFp0B0G4K6, 6515873]
[paragraph, [55.0, 680.0, 165.0, 18.0], DFp0B0G4K6, 6515873]
[paragraph, [55.0, 698.0, 165.0, 18.0], DFp0B0G4K6, 6515873]
[paragraph, [390.0, 638.0, 167.0, 18.0], 9AdBnoYyRe, 6515873]
[paragraph, [390.0, 656.0, 167.0, 18.0], 9AdBnoYyRe, 6515873]
[paragraph, [390.0, 674.0, 167.0, 18.0], 9AdBnoYyRe, 6515873]
[paragraph, [390.0, 692.0, 167.0, 18.0], 9AdBnoYyRe, 6515873]
[paragraph, [390.0, 710.0, 167.0, 18.0], 9AdBnoYyRe, 6515873]
[paragraph, [390.0, 728.0, 167.0, 18.0], 9AdBnoYyRe, 6515873]
[paragraph, [55.0, 725.0, 165.0, 18.0], tqRlANB0wj, 6515873]
