[2339, 1656]
[headline, [676.0, 190.0, 305.0, 67.5], ukpX21xle6, 5752963]
[paragraph, [182.0, 325.0, 473.0, 36.0], w1-wXSCF6j, 5752963]
[paragraph, [182.0, 361.0, 473.0, 36.0], w1-wXSCF6j, 5752963]
[paragraph, [182.0, 397.0, 473.0, 36.0], w1-wXSCF6j, 5752963]
[paragraph, [182.0, 433.0, 473.0, 36.0], w1-wXSCF6j, 5752963]
[paragraph, [182.0, 469.0, 473.0, 36.0], w1-wXSCF6j, 5752963]
[paragraph, [172.0, 643.0, 495.0, 36.0], ZzpEYqDRgt, 5752963]
[paragraph, [172.0, 679.0, 495.0, 36.0], ZzpEYqDRgt, 5752963]
[paragraph, [172.0, 715.0, 495.0, 36.0], ZzpEYqDRgt, 5752963]
[paragraph, [172.0, 751.0, 495.0, 36.0], ZzpEYqDRgt, 5752963]
[paragraph, [172.0, 787.0, 495.0, 36.0], ZzpEYqDRgt, 5752963]
[paragraph, [172.0, 823.0, 495.0, 36.0], ZzpEYqDRgt, 5752963]
[paragraph, [170.0, 954.0, 512.0, 36.0], BvbWSZwQJT, 5752963]
[paragraph, [170.0, 990.0, 512.0, 36.0], BvbWSZwQJT, 5752963]
[paragraph, [170.0, 1026.0, 512.0, 36.0], BvbWSZwQJT, 5752963]
[paragraph, [170.0, 1062.0, 512.0, 36.0], BvbWSZwQJT, 5752963]
[paragraph, [170.0, 1098.0, 512.0, 36.0], BvbWSZwQJT, 5752963]
[paragraph, [170.0, 1134.0, 512.0, 36.0], BvbWSZwQJT, 5752963]
[paragraph, [166.0, 1284.0, 558.0, 36.0], TYb9m9ygzR, 5752963]
[paragraph, [166.0, 1320.0, 558.0, 36.0], TYb9m9ygzR, 5752963]
[paragraph, [166.0, 1356.0, 558.0, 36.0], TYb9m9ygzR, 5752963]
[paragraph, [166.0, 1392.0, 558.0, 36.0], TYb9m9ygzR, 5752963]
[paragraph, [166.0, 1428.0, 558.0, 36.0], TYb9m9ygzR, 5752963]
[author, [960.0, 1591.0, 338.0, 36.0], 0NveFpimmL, 5752963]
[author, [960.0, 1627.0, 338.0, 36.0], 0NveFpimmL, 5752963]
[author, [960.0, 1663.0, 338.0, 36.0], 0NveFpimmL, 5752963]
[author, [960.0, 1699.0, 338.0, 36.0], 0NveFpimmL, 5752963]
[paragraph, [188.0, 1595.0, 498.0, 36.0], aiRWyrNVCH, 5752963]
[paragraph, [188.0, 1631.0, 498.0, 36.0], aiRWyrNVCH, 5752963]
[paragraph, [188.0, 1667.0, 498.0, 36.0], aiRWyrNVCH, 5752963]
[paragraph, [188.0, 1703.0, 498.0, 36.0], aiRWyrNVCH, 5752963]
[paragraph, [188.0, 1739.0, 498.0, 36.0], aiRWyrNVCH, 5752963]
[paragraph, [188.0, 1775.0, 498.0, 36.0], aiRWyrNVCH, 5752963]
[paragraph, [182.0, 1938.0, 491.0, 36.0], ZGf4XJWu4i, 5752963]
[paragraph, [182.0, 1974.0, 491.0, 36.0], ZGf4XJWu4i, 5752963]
[paragraph, [182.0, 2010.0, 491.0, 36.0], ZGf4XJWu4i, 5752963]
[paragraph, [182.0, 2046.0, 491.0, 36.0], ZGf4XJWu4i, 5752963]
[paragraph, [182.0, 2082.0, 491.0, 36.0], ZGf4XJWu4i, 5752963]
[folio, [271.0, 2243.0, 435.0, 36.0], Rx6paQSeaV, 5752963]
[folio, [271.0, 2279.0, 435.0, 36.0], Rx6paQSeaV, 5752963]
