[1787, 1218]
[paragraph, [95.0, 92.0, 1026.0, 36.0], shoonya_1s3NALZFN3XHTE, 5651283]
[paragraph, [95.0, 128.0, 1026.0, 36.0], shoonya_1s3NALZFN3XHTE, 5651283]
[paragraph, [95.0, 164.0, 1026.0, 36.0], shoonya_1s3NALZFN3XHTE, 5651283]
[paragraph, [108.0, 214.0, 998.0, 36.0], shoonya_0sCEJRZTZ6IFKJ, 5651283]
[paragraph, [108.0, 250.0, 998.0, 36.0], shoonya_0sCEJRZTZ6IFKJ, 5651283]
[paragraph, [161.0, 292.0, 875.0, 36.0], gXXDtjQzGl, 5651283]
[paragraph, [89.0, 327.0, 1033.0, 36.0], wtHCqJesz4, 5651283]
[paragraph, [89.0, 363.0, 1033.0, 36.0], wtHCqJesz4, 5651283]
[paragraph, [89.0, 399.0, 1033.0, 36.0], wtHCqJesz4, 5651283]
[paragraph, [89.0, 435.0, 1033.0, 36.0], wtHCqJesz4, 5651283]
[paragraph, [89.0, 471.0, 1033.0, 36.0], wtHCqJesz4, 5651283]
[paragraph, [89.0, 507.0, 1033.0, 36.0], wtHCqJesz4, 5651283]
[paragraph, [89.0, 543.0, 1033.0, 36.0], wtHCqJesz4, 5651283]
[paragraph, [153.0, 567.0, 800.0, 36.0], SoV4-dR1fX, 5651283]
[paragraph, [80.0, 610.0, 1045.0, 36.0], V5GT-9EHVx, 5651283]
[paragraph, [80.0, 646.0, 1045.0, 36.0], V5GT-9EHVx, 5651283]
[paragraph, [80.0, 682.0, 1045.0, 36.0], V5GT-9EHVx, 5651283]
[paragraph, [80.0, 718.0, 1045.0, 36.0], V5GT-9EHVx, 5651283]
[paragraph, [80.0, 754.0, 1045.0, 36.0], V5GT-9EHVx, 5651283]
[paragraph, [80.0, 790.0, 1045.0, 36.0], V5GT-9EHVx, 5651283]
[paragraph, [86.0, 842.0, 1046.0, 36.0], vpgBvYSyj5, 5651283]
[paragraph, [86.0, 878.0, 1046.0, 36.0], vpgBvYSyj5, 5651283]
[paragraph, [99.0, 923.0, 1022.0, 36.0], 3pdmFbxQQ4, 5651283]
[paragraph, [99.0, 959.0, 1022.0, 36.0], 3pdmFbxQQ4, 5651283]
[paragraph, [99.0, 995.0, 1022.0, 36.0], 3pdmFbxQQ4, 5651283]
[paragraph, [99.0, 1031.0, 1022.0, 36.0], 3pdmFbxQQ4, 5651283]
[paragraph, [99.0, 1067.0, 1022.0, 36.0], 3pdmFbxQQ4, 5651283]
[paragraph, [99.0, 1103.0, 1022.0, 36.0], 3pdmFbxQQ4, 5651283]
[paragraph, [99.0, 1139.0, 1022.0, 36.0], 3pdmFbxQQ4, 5651283]
[paragraph, [105.0, 1192.0, 1004.0, 36.0], HTSp2ShkbN, 5651283]
[paragraph, [105.0, 1228.0, 1004.0, 36.0], HTSp2ShkbN, 5651283]
[paragraph, [105.0, 1264.0, 1004.0, 36.0], HTSp2ShkbN, 5651283]
[paragraph, [105.0, 1300.0, 1004.0, 36.0], HTSp2ShkbN, 5651283]
[paragraph, [105.0, 1336.0, 1004.0, 36.0], HTSp2ShkbN, 5651283]
[paragraph, [105.0, 1372.0, 1004.0, 36.0], HTSp2ShkbN, 5651283]
[paragraph, [105.0, 1408.0, 1004.0, 36.0], HTSp2ShkbN, 5651283]
[paragraph, [105.0, 1444.0, 1004.0, 36.0], HTSp2ShkbN, 5651283]
[paragraph, [149.0, 1477.0, 777.0, 36.0], GOuut_J16b, 5651283]
[paragraph, [108.0, 1517.0, 1009.0, 36.0], vApZ2lN5sa, 5651283]
[paragraph, [108.0, 1553.0, 1009.0, 36.0], vApZ2lN5sa, 5651283]
