[2640, 2040]
[section-title, [263.0, 163.0, 1448.0, 79.5], gr4uvI_zWU, 5697606]
[ordered-list, [254.0, 281.0, 1703.0, 46.5], GAop5V0se1, 5697606]
[ordered-list, [254.0, 327.5, 1703.0, 46.5], GAop5V0se1, 5697606]
[ordered-list, [254.0, 374.0, 1703.0, 46.5], GAop5V0se1, 5697606]
[ordered-list, [254.0, 420.5, 1703.0, 46.5], GAop5V0se1, 5697606]
[ordered-list, [254.0, 467.0, 1703.0, 46.5], GAop5V0se1, 5697606]
[ordered-list, [254.0, 513.5, 1703.0, 46.5], GAop5V0se1, 5697606]
[ordered-list, [254.0, 560.0, 1703.0, 46.5], GAop5V0se1, 5697606]
[ordered-list, [254.0, 606.5, 1703.0, 46.5], GAop5V0se1, 5697606]
[ordered-list, [254.0, 653.0, 1703.0, 46.5], GAop5V0se1, 5697606]
[ordered-list, [254.0, 699.5, 1703.0, 46.5], GAop5V0se1, 5697606]
[ordered-list, [254.0, 746.0, 1703.0, 46.5], GAop5V0se1, 5697606]
[footnote, [82.0, 2516.0, 185.0, 46.5], vLM-j_0eDY, 5697606]
[footnote, [82.0, 2562.5, 185.0, 46.5], vLM-j_0eDY, 5697606]
