[2000, 1414]
[headline, [67.0, 93.0, 494.0, 67.5], shoonya_1s48HS2U3SMPO2, 6514873]
[headline, [67.0, 160.5, 494.0, 67.5], shoonya_1s48HS2U3SMPO2, 6514873]
[headline, [67.0, 228.0, 494.0, 67.5], shoonya_1s48HS2U3SMPO2, 6514873]
[headline, [67.0, 295.5, 494.0, 67.5], shoonya_1s48HS2U3SMPO2, 6514873]
[headline, [67.0, 363.0, 494.0, 67.5], shoonya_1s48HS2U3SMPO2, 6514873]
[headline, [67.0, 430.5, 494.0, 67.5], shoonya_1s48HS2U3SMPO2, 6514873]
[headline, [67.0, 498.0, 494.0, 67.5], shoonya_1s48HS2U3SMPO2, 6514873]
[headline, [67.0, 565.5, 494.0, 67.5], shoonya_1s48HS2U3SMPO2, 6514873]
[headline, [67.0, 633.0, 494.0, 67.5], shoonya_1s48HS2U3SMPO2, 6514873]
[headline, [67.0, 700.5, 494.0, 67.5], shoonya_1s48HS2U3SMPO2, 6514873]
[headline, [67.0, 768.0, 494.0, 67.5], shoonya_1s48HS2U3SMPO2, 6514873]
[headline, [67.0, 835.5, 494.0, 67.5], shoonya_1s48HS2U3SMPO2, 6514873]
[headline, [67.0, 903.0, 494.0, 67.5], shoonya_1s48HS2U3SMPO2, 6514873]
[headline, [67.0, 970.5, 494.0, 67.5], shoonya_1s48HS2U3SMPO2, 6514873]
[headline, [67.0, 1038.0, 494.0, 67.5], shoonya_1s48HS2U3SMPO2, 6514873]
[headline, [67.0, 1105.5, 494.0, 67.5], shoonya_1s48HS2U3SMPO2, 6514873]
[headline, [67.0, 1173.0, 494.0, 67.5], shoonya_1s48HS2U3SMPO2, 6514873]
[headline, [67.0, 1240.5, 494.0, 67.5], shoonya_1s48HS2U3SMPO2, 6514873]
[headline, [67.0, 1308.0, 494.0, 67.5], shoonya_1s48HS2U3SMPO2, 6514873]
[headline, [67.0, 1375.5, 494.0, 67.5], shoonya_1s48HS2U3SMPO2, 6514873]
[folio, [72.0, 1761.0, 275.0, 36.0], Z_IIocVn9z, 6514873]
